"PROT","HOLD","FEAT","IMP","value","sd"
"HA","H10N7","two_mer",0.9003,0.992354774662623,0.00294836799430855
"HA","H10N7","CTDc",0.0218,0.990515895801315,0.00445306631894912
"HA","H10N7","CTDd",0,0.990377865833856,0.0034508973819923
"HA","H10N7","CTDt",0,0.991844922209926,0.00337771549638897
"HA","H10N7","triad",0.0751,0.992213728043373,0.00253260874221944
"HA","H10N7","pseaac",0.0028,0.99017841666502,0.00350949207519887
"HA","H16N3","two_mer",0.8584,0.992699746631142,0.00140350188731857
"HA","H16N3","CTDc",0.0217,0.990184639582362,0.00168047784606364
"HA","H16N3","CTDd",0,0.990444087451631,0.00120855166191878
"HA","H16N3","CTDt",0,0.991761878760323,0.00175956333295729
"HA","H16N3","triad",0.1199,0.992592877389497,0.00120834716565333
"HA","H16N3","pseaac",0,0.989935138589961,0.00190426526191195
"HA","H17N10","two_mer",1,0.993184925366954,0.00229924038142791
"HA","H17N10","CTDc",0,0.990594611187568,0.00238493862876941
"HA","H17N10","CTDd",0,0.991038673338169,0.00251571719433173
"HA","H17N10","CTDt",0,0.992210466961297,0.00223353538651324
"HA","H17N10","triad",0,0.992788363817235,0.00309243679670482
"HA","H17N10","pseaac",0,0.990533830846211,0.00289503573720209
"HA","H18N11","two_mer",0.7338,0.992525944915694,0.0028209279132855
"HA","H18N11","CTDc",0.0512,0.990460089237126,0.00320238497954206
"HA","H18N11","CTDd",0,0.990159811203546,0.0030515319728692
"HA","H18N11","CTDt",0.0116,0.991779057623892,0.00232094166280427
"HA","H18N11","triad",0.1996,0.992384070797479,0.0025323206192055
"HA","H18N11","pseaac",0.0038,0.990522997970072,0.00235521046684952
"HA","H1N1","two_mer",0.707,0.983913035599169,0.00730396082478381
"HA","H1N1","CTDc",0.0465,0.980164564924304,0.00551002886246552
"HA","H1N1","CTDd",0.0107,0.981567410063628,0.00761519000706241
"HA","H1N1","CTDt",0.0114,0.984327442665763,0.00759025493151969
"HA","H1N1","triad",0.2245,0.984690478643566,0.00734494847147351
"HA","H1N1","pseaac",0,0.981784052502176,0.0084604485382169
"HA","H1N2","two_mer",1,0.99276328717529,0.00239482985938631
"HA","H1N2","CTDc",0,0.989763347537558,0.0024494710002919
"HA","H1N2","CTDd",0,0.990049583075479,0.0025968679605108
"HA","H1N2","CTDt",0,0.991707422535052,0.00214589046111662
"HA","H1N2","triad",0,0.992207665588694,0.00251467341893601
"HA","H1N2","pseaac",0,0.989617329472551,0.00268843973789135
"HA","H3N2","two_mer",0.9873,0.991219417920892,0.0042293527359869
"HA","H3N2","CTDc",0,0.989053087089899,0.00346427879637256
"HA","H3N2","CTDd",0,0.989025153114601,0.00411268091919784
"HA","H3N2","CTDt",0,0.990826044008897,0.00418611142109082
"HA","H3N2","triad",0,0.990251936977573,0.00298771598621561
"HA","H3N2","pseaac",0.0127,0.987846463372958,0.00259549171531773
"HA","H3N6","two_mer",1,0.993237482899921,0.00202417998997813
"HA","H3N6","CTDc",0,0.991076096795653,0.00286315053946867
"HA","H3N6","CTDd",0,0.990582337193678,0.00201815287000856
"HA","H3N6","CTDt",0,0.992454226461717,0.00270793266745675
"HA","H3N6","triad",0,0.992108314087619,0.00175847432038345
"HA","H3N6","pseaac",0,0.990653173095947,0.00312754064508095
"HA","H3N8","two_mer",0.8763,0.99313715767196,0.00273238022202853
"HA","H3N8","CTDc",0.0221,0.991275433511509,0.00289235224336277
"HA","H3N8","CTDd",0,0.991174129176722,0.0025533233411246
"HA","H3N8","CTDt",0,0.992422089971147,0.00238712531621651
"HA","H3N8","triad",0.1017,0.992999966537705,0.00281932159332581
"HA","H3N8","pseaac",0,0.990379099793602,0.0025777958278308
"HA","H4N2","two_mer",1,0.993018353031666,0.00230910575412166
"HA","H4N2","CTDc",0,0.990593223636026,0.00329155672112585
"HA","H4N2","CTDd",0,0.990800535829249,0.00325957817471926
"HA","H4N2","CTDt",0,0.99220594971129,0.00274605025829194
"HA","H4N2","triad",0,0.991712774440542,0.00345797221256897
"HA","H4N2","pseaac",0,0.990638859563553,0.00279452408336448
"HA","H4N6","two_mer",0.8891,0.993155998674503,0.000757190972327282
"HA","H4N6","CTDc",0.019,0.99099510563018,0.00163272334257469
"HA","H4N6","CTDd",0,0.990893096130503,0.00140665432594276
"HA","H4N6","CTDt",0,0.992409121538289,0.000906126122428648
"HA","H4N6","triad",0.0918,0.992271768711191,0.00188535130443527
"HA","H4N6","pseaac",0,0.99080120535711,0.00214549383509452
"HA","H5N1","two_mer",0.9967,0.994900977775999,0.00277048156248493
"HA","H5N1","CTDc",0,0.992583345166266,0.00461085779204836
"HA","H5N1","CTDd",0,0.991797642078872,0.00306186814706847
"HA","H5N1","CTDt",0,0.993355308698013,0.00324734644740253
"HA","H5N1","triad",0.0033,0.994192220491799,0.00286596712197343
"HA","H5N1","pseaac",0,0.991826376229802,0.0032136773984449
"HA","H5N2","two_mer",0.8664,0.99350078073216,0.00196240827989967
"HA","H5N2","CTDc",0.0124,0.991323950499743,0.0032327067855687
"HA","H5N2","CTDd",0,0.991478284014498,0.00342106736396548
"HA","H5N2","CTDt",0,0.99211333474958,0.00308176504749963
"HA","H5N2","triad",0.117,0.993007428269484,0.00267643984249805
"HA","H5N2","pseaac",0.0042,0.989945804556452,0.00275630163845444
"HA","H5N3","two_mer",0.8469,0.992958466090787,0.00140197735291013
"HA","H5N3","CTDc",0.0233,0.991219950584736,0.0012265984920765
"HA","H5N3","CTDd",0,0.990683776556624,0.000799916264581565
"HA","H5N3","CTDt",0,0.992022052603608,0.00110395141318792
"HA","H5N3","triad",0.1298,0.992852698729697,0.0014257228440359
"HA","H5N3","pseaac",0,0.990517185406263,0.000962691851106904
"HA","H5N5","two_mer",1,0.992236766393802,0.0025672797560663
"HA","H5N5","CTDc",0,0.990387900563165,0.00208713662843209
"HA","H5N5","CTDd",0,0.990065975773109,0.00311611279556216
"HA","H5N5","CTDt",0,0.99163667753905,0.00197869700394849
"HA","H5N5","triad",0,0.991391467535697,0.00244294709395884
"HA","H5N5","pseaac",0,0.989673327331685,0.00123248677511889
"HA","H5N6","two_mer",1,0.992339621584989,0.00247663935065296
"HA","H5N6","CTDc",0,0.990028762102289,0.00413984336387927
"HA","H5N6","CTDd",0,0.990070251164591,0.00395608048913923
"HA","H5N6","CTDt",0,0.991396845567842,0.00327040813483189
"HA","H5N6","triad",0,0.99094862644214,0.00282346249933291
