"PROT","HOLD","FEAT","CLASS","IMP","value","sd"
"HA","H10N7","two_mer","Canidae",0.0151,0.966153102873297,0.00576417216371531
"HA","H10N7","two_mer","Equidae",0.0111,0.942703955572398,0.0102434781286593
"HA","H10N7","two_mer","Hominidae",0.2153,0.953542470951011,0.010277837577874
"HA","H10N7","two_mer","Phyllostomidae",0.0056,0.950221191832242,0.00406474457270004
"HA","H10N7","two_mer","Suidae",0.2089,0.958408997989556,0.00444660029264073
"HA","H10N7","CTDc","Canidae",0.0057,0.951108841008088,0.0063516465534967
"HA","H10N7","CTDc","Equidae",0.0027,0.966153102873297,0.00576417216371531
"HA","H10N7","CTDc","Hominidae",0.0289,0.942703955572398,0.0102434781286593
"HA","H10N7","CTDc","Phyllostomidae",0.0023,0.953542470951011,0.010277837577874
"HA","H10N7","CTDc","Suidae",0.0392,0.950221191832242,0.00406474457270004
"HA","H10N7","CTDd","Canidae",0.0025,0.958408997989556,0.00444660029264073
"HA","H10N7","CTDd","Equidae",0.0118,0.951108841008088,0.0063516465534967
"HA","H10N7","CTDd","Hominidae",0.0279,0.966153102873297,0.00576417216371531
"HA","H10N7","CTDd","Phyllostomidae",0.0032,0.942703955572398,0.0102434781286593
"HA","H10N7","CTDd","Suidae",0.0548,0.953542470951011,0.010277837577874
"HA","H10N7","CTDt","Canidae",0.0039,0.950221191832242,0.00406474457270004
"HA","H10N7","CTDt","Equidae",0.0049,0.958408997989556,0.00444660029264073
"HA","H10N7","CTDt","Hominidae",0.042,0.951108841008088,0.0063516465534967
"HA","H10N7","CTDt","Phyllostomidae",0.0036,0.966153102873297,0.00576417216371531
"HA","H10N7","CTDt","Suidae",0.0502,0.942703955572398,0.0102434781286593
"HA","H10N7","triad","Canidae",0.0118,0.953542470951011,0.010277837577874
"HA","H10N7","triad","Equidae",0.0092,0.950221191832242,0.00406474457270004
"HA","H10N7","triad","Hominidae",0.0533,0.958408997989556,0.00444660029264073
"HA","H10N7","triad","Phyllostomidae",0.0023,0.951108841008088,0.0063516465534967
"HA","H10N7","triad","Suidae",0.1029,0.966153102873297,0.00576417216371531
"HA","H10N7","pseaac","Canidae",0.0022,0.942703955572398,0.0102434781286593
"HA","H10N7","pseaac","Equidae",0.0047,0.953542470951011,0.010277837577874
"HA","H10N7","pseaac","Hominidae",0.0215,0.950221191832242,0.00406474457270004
"HA","H10N7","pseaac","Phyllostomidae",0.0028,0.958408997989556,0.00444660029264073
"HA","H10N7","pseaac","Suidae",0.0498,0.951108841008088,0.0063516465534967
"HA","H16N3","two_mer","Canidae",0.0108,0.967513798123712,0.00379575377437001
"HA","H16N3","two_mer","Equidae",0.0115,0.942984862510927,0.00601454117641888
"HA","H16N3","two_mer","Hominidae",0.1757,0.956906791848948,0.00614766499986164
"HA","H16N3","two_mer","Phyllostomidae",0.0103,0.949173448219031,0.00990515764646919
"HA","H16N3","two_mer","Suidae",0.2805,0.960663698465949,0.00497259618126172
"HA","H16N3","CTDc","Canidae",0.0042,0.952266881945135,0.00918324351407763
"HA","H16N3","CTDc","Equidae",0.006,0.967513798123712,0.00379575377437001
"HA","H16N3","CTDc","Hominidae",0.0446,0.942984862510927,0.00601454117641888
"HA","H16N3","CTDc","Phyllostomidae",0.002,0.956906791848948,0.00614766499986164
"HA","H16N3","CTDc","Suidae",0.0587,0.949173448219031,0.00990515764646919
"HA","H16N3","CTDd","Canidae",0.0036,0.960663698465949,0.00497259618126172
"HA","H16N3","CTDd","Equidae",0.0073,0.952266881945135,0.00918324351407763
"HA","H16N3","CTDd","Hominidae",0.0532,0.967513798123712,0.00379575377437001
"HA","H16N3","CTDd","Phyllostomidae",0.0046,0.942984862510927,0.00601454117641888
"HA","H16N3","CTDd","Suidae",0.0762,0.956906791848948,0.00614766499986164
"HA","H16N3","CTDt","Canidae",0.0029,0.949173448219031,0.00990515764646919
"HA","H16N3","CTDt","Equidae",0.0075,0.960663698465949,0.00497259618126172
"HA","H16N3","CTDt","Hominidae",0.0121,0.952266881945135,0.00918324351407763
"HA","H16N3","CTDt","Phyllostomidae",0.0012,0.967513798123712,0.00379575377437001
"HA","H16N3","CTDt","Suidae",0.0415,0.942984862510927,0.00601454117641888
"HA","H16N3","triad","Canidae",0.0075,0.956906791848948,0.00614766499986164
"HA","H16N3","triad","Equidae",0.0049,0.949173448219031,0.00990515764646919
"HA","H16N3","triad","Hominidae",0.0728,0.960663698465949,0.00497259618126172
"HA","H16N3","triad","Phyllostomidae",0.0027,0.952266881945135,0.00918324351407763
"HA","H16N3","triad","Suidae",0.0278,0.967513798123712,0.00379575377437001
"HA","H16N3","pseaac","Canidae",0.002,0.942984862510927,0.00601454117641888
"HA","H16N3","pseaac","Equidae",0.0077,0.956906791848948,0.00614766499986164
"HA","H16N3","pseaac","Hominidae",0.0251,0.949173448219031,0.00990515764646919
"HA","H16N3","pseaac","Phyllostomidae",0.0012,0.960663698465949,0.00497259618126172
"HA","H16N3","pseaac","Suidae",0.0338,0.952266881945135,0.00918324351407763
"HA","H17N10","two_mer","Canidae",0.0122,0.969230738443985,0.00485562791864466
"HA","H17N10","two_mer","Equidae",0.0135,0.946155241644477,0.00457489487749604
"HA","H17N10","two_mer","Hominidae",0.1979,0.956702045857473,0.00417178025986928
"HA","H17N10","two_mer","Phyllostomidae",0.0025,0.953187732543897,0.0065612818156937
"HA","H17N10","two_mer","Suidae",0.2677,0.959122771446515,0.00521972486797136
"HA","H17N10","CTDc","Canidae",0.0073,0.951871465864575,0.00470796989365511
"HA","H17N10","CTDc","Equidae",0.0028,0.969230738443985,0.00485562791864466
"HA","H17N10","CTDc","Hominidae",0.0215,0.946155241644477,0.00457489487749604
"HA","H17N10","CTDc","Phyllostomidae",0.0059,0.956702045857473,0.00417178025986928
"HA","H17N10","CTDc","Suidae",0.035,0.953187732543897,0.0065612818156937
"HA","H17N10","CTDd","Canidae",0.0034,0.959122771446515,0.00521972486797136
"HA","H17N10","CTDd","Equidae",0.0063,0.951871465864575,0.00470796989365511
"HA","H17N10","CTDd","Hominidae",0.0279,0.969230738443985,0.00485562791864466
"HA","H17N10","CTDd","Phyllostomidae",0.0017,0.946155241644477,0.00457489487749604
"HA","H17N10","CTDd","Suidae",0.0556,0.956702045857473,0.00417178025986928
"HA","H17N10","CTDt","Canidae",0.0026,0.953187732543897,0.0065612818156937
"HA","H17N10","CTDt","Equidae",0.0051,0.959122771446515,0.00521972486797136
"HA","H17N10","CTDt","Hominidae",0.0443,0.951871465864575,0.00470796989365511
"HA","H17N10","CTDt","Phyllostomidae",0.0018,0.969230738443985,0.00485562791864466
"HA","H17N10","CTDt","Suidae",0.026,0.946155241644477,0.00457489487749604
"HA","H17N10","triad","Canidae",0.0084,0.956702045857473,0.00417178025986928
"HA","H17N10","triad","Equidae",0.0101,0.953187732543897,0.0065612818156937
"HA","H17N10","triad","Hominidae",0.0494,0.959122771446515,0.00521972486797136
"HA","H17N10","triad","Phyllostomidae",0.0037,0.951871465864575,0.00470796989365511
"HA","H17N10","triad","Suidae",0.095,0.969230738443985,0.00485562791864466
"HA","H17N10","pseaac","Canidae",0.001,0.946155241644477,0.00457489487749604
"HA","H17N10","pseaac","Equidae",0.0037,0.956702045857473,0.00417178025986928
"HA","H17N10","pseaac","Hominidae",0.0221,0.953187732543897,0.0065612818156937
"HA","H17N10","pseaac","Phyllostomidae",9e-04,0.959122771446515,0.00521972486797136
"HA","H17N10","pseaac","Suidae",0.0645,0.951871465864575,0.00470796989365511
"HA","H18N11","two_mer","Canidae",0.0153,0.963946597986658,0.00265046499743759
"HA","H18N11","two_mer","Equidae",0.0153,0.943284102478112,0.00253474464117129
"HA","H18N11","two_mer","Hominidae",0.1761,0.953835253466602,0.00447305814734084
"HA","H18N11","two_mer","Phyllostomidae",3e-04,0.949440127327771,0.00445799325061561
"HA","H18N11","two_mer","Suidae",0.2401,0.958011802458879,0.00286283666254413
"HA","H18N11","CTDc","Canidae",0.0035,0.95119909337166,0.00534774432316942
"HA","H18N11","CTDc","Equidae",0.0056,0.963946597986658,0.00265046499743759
