"","Iteration","Lh","Tree.No","No.Off.Parmeters","No.Off.Zero","Model.string","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","Root.P.A.","Root.P.B.","Root.P.D.","Root.P.E.","Root.P.H.","Root.P.P.","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"1",11000,-327.926351,1,3,9,"Z Z 0 Z 1 0 Z 0 0 Z 0 1 1 2 0 1 1 1 1 0 0 0 0 Z 2 0 Z Z Z 1 	0.000000	0.000000	0.181170	0.000000	1.161158	0.181170	0.000000	0.181170	0.181170	0.000000	0.181170	1.161158	1.161158	16.871429	0.181170	1.161158	1.161158	1.161158	1.161158	0.181170	0.181170	0.181170	0.181170	0.000000	16.871429	0.181170	0.000000	0.000000	0.000000	1.161158	0.825482	0.025124	0.015021	0.112661	0.010936	0.010776	0.825482	0.025124	0.015021	0.112661	0.010936	0.010776	
12000	-330.563156	1	3	10	Z Z 0 Z 1 0 0 0 0 Z 0 1 Z 2 Z Z 1 1 1 0 0 Z 0 Z 2 0 Z 0 0 1 ",0,0,0.09762,0,0.946147,0.09762,0.09762,0.09762,0.09762,0,0.09762,0.946147,0,14.951455,0,0,0.946147,0.946147,0.946147,0.09762,0.09762,0,0.09762,0,14.951455,0.09762,0,0.09762,0.09762,0.946147,0.985891,0.004057,0.003117,0.00087,0.003041,0.003025,0.985891,0.004057,0.003117,0.00087,0.003041,0.003025
"2",13000,-330.584847,1,3,9,"Z Z 0 0 1 Z 0 0 0 Z 0 2 2 2 Z Z 1 1 1 0 0 Z 0 Z 2 0 Z 0 0 1 	0.000000	0.000000	0.146584	0.146584	0.753477	0.000000	0.146584	0.146584	0.146584	0.000000	0.146584	14.884394	14.884394	14.884394	0.000000	0.000000	0.753477	0.753477	0.753477	0.146584	0.146584	0.000000	0.146584	0.000000	14.884394	0.146584	0.000000	0.146584	0.146584	0.753477	0.985260	0.000022	0.001337	0.000352	0.006557	0.006472	0.985260	0.000022	0.001337	0.000352	0.006557	0.006472	
14000	-331.019946	1	3	7	Z Z 0 0 1 0 0 Z 0 1 Z 2 2 0 2 2 1 1 0 0 0 0 0 0 2 0 Z Z Z 1 ",0,0,0.236615,0.236615,0.759774,0.236615,0.236615,0,0.236615,0.759774,0,14.80739,14.80739,0.236615,14.80739,14.80739,0.759774,0.759774,0.236615,0.236615,0.236615,0.236615,0.236615,0.236615,14.80739,0.236615,0,0,0,0.759774,0.447288,0.023672,0.09069,0.416411,0.012293,0.009646,0.447288,0.023672,0.09069,0.416411,0.012293,0.009646
"3",15000,-328.994577,1,3,7,"Z 0 0 0 1 0 0 0 0 Z Z Z 2 0 2 Z 1 1 1 1 0 Z 0 0 2 0 0 0 Z 1 	0.000000	0.079837	0.079837	0.079837	0.891092	0.079837	0.079837	0.079837	0.079837	0.000000	0.000000	0.000000	15.505726	0.079837	15.505726	0.000000	0.891092	0.891092	0.891092	0.891092	0.079837	0.000000	0.079837	0.079837	15.505726	0.079837	0.079837	0.079837	0.000000	0.891092	0.991618	0.002441	0.001073	0.000566	0.002145	0.002157	0.991618	0.002441	0.001073	0.000566	0.002145	0.002157	
16000	-332.086761	1	3	9	Z Z 0 Z 1 Z 0 1 0 0 Z 1 2 0 Z Z 1 1 2 1 0 Z 0 0 2 0 0 0 Z 1 ",0,0,0.169187,0,0.767544,0,0.169187,0.767544,0.169187,0.169187,0,0.767544,15.320309,0.169187,0,0,0.767544,0.767544,15.320309,0.767544,0.169187,0,0.169187,0.169187,15.320309,0.169187,0.169187,0.169187,0,0.767544,0.972728,0.000417,0.004396,0.006123,0.008217,0.00812,0.972728,0.000417,0.004396,0.006123,0.008217,0.00812
"4",17000,-329.091443,1,3,6,"Z Z 0 0 1 1 1 0 0 0 0 1 2 Z 2 1 1 1 Z 1 0 0 0 Z 2 0 0 0 Z 1 	0.000000	0.000000	0.095756	0.095756	0.744133	0.744133	0.744133	0.095756	0.095756	0.095756	0.095756	0.744133	14.405671	0.000000	14.405671	0.744133	0.744133	0.744133	0.000000	0.744133	0.095756	0.095756	0.095756	0.000000	14.405671	0.095756	0.095756	0.095756	0.000000	0.744133	0.677968	0.166711	0.039546	0.107522	0.004127	0.004127	0.677968	0.166711	0.039546	0.107522	0.004127	0.004127	
18000	-329.825654	1	3	8	0 Z 0 0 1 Z Z 0 0 0 2 1 1 0 2 Z 1 1 Z 1 0 0 Z Z 2 0 0 0 Z 1 ",0.072493,0,0.072493,0.072493,0.914521,0,0,0.072493,0.072493,0.072493,17.919815,0.914521,0.914521,0.072493,17.919815,0,0.914521,0.914521,0,0.914521,0.072493,0.072493,0,0,17.919815,0.072493,0.072493,0.072493,0,0.914521,0.766439,2.5e-05,0.20761,0.02043,0.002661,0.002834,0.766439,2.5e-05,0.20761,0.02043,0.002661,0.002834
"5",19000,-330.668136,1,3,8,"0 0 0 0 1 0 Z Z Z Z 2 0 0 Z 2 Z 1 1 1 1 0 Z 1 Z 2 0 0 0 0 1 	0.072187	0.072187	0.072187	0.072187	0.698659	0.072187	0.000000	0.000000	0.000000	0.000000	21.263711	0.072187	0.072187	0.000000	21.263711	0.000000	0.698659	0.698659	0.698659	0.698659	0.072187	0.000000	0.698659	0.000000	21.263711	0.072187	0.072187	0.072187	0.072187	0.698659	0.754752	0.001305	0.221191	0.014447	0.004911	0.003394	0.754752	0.001305	0.221191	0.014447	0.004911	0.003394	
20000	-332.131201	1	3	5	0 0 0 0 1 Z 1 0 1 Z 2 0 0 Z 2 1 1 1 1 1 0 Z 1 0 2 0 0 Z 0 1 ",0.092506,0.092506,0.092506,0.092506,0.817699,0,0.817699,0.092506,0.817699,0,20.918803,0.092506,0.092506,0,20.918803,0.817699,0.817699,0.817699,0.817699,0.817699,0.092506,0,0.817699,0.092506,20.918803,0.092506,0.092506,0,0.092506,0.817699,0.6586,0.032403,0.199169,0.099304,0.006282,0.004243,0.6586,0.032403,0.199169,0.099304,0.006282,0.004243
"6",21000,-329.975777,1,3,7,"0 Z 0 0 1 0 1 Z Z 0 Z 0 0 1 2 0 1 1 1 1 0 Z 1 Z 2 0 0 Z 0 1 	0.065772	0.000000	0.065772	0.065772	0.780280	0.065772	0.780280	0.000000	0.000000	0.065772	0.000000	0.065772	0.065772	0.780280	22.228659	0.065772	0.780280	0.780280	0.780280	0.780280	0.065772	0.000000	0.780280	0.000000	22.228659	0.065772	0.065772	0.000000	0.065772	0.780280	0.993544	0.001323	0.001143	0.001307	0.001338	0.001345	0.993544	0.001323	0.001143	0.001307	0.001338	0.001345	
22000	-332.841191	1	3	9	Z Z 0 0 1 0 0 0 Z 0 1 0 0 1 2 0 Z 1 1 Z 0 0 1 Z 2 0 Z Z Z 1 ",0,0,0.26202,0.26202,1.166293,0.26202,0.26202,0.26202,0,0.26202,1.166293,0.26202,0.26202,1.166293,14.637117,0.26202,0,1.166293,1.166293,0,0.26202,0.26202,1.166293,0,14.637117,0.26202,0,0,0,1.166293,0.749004,0.106154,0.046499,0.037416,0.031632,0.029295,0.749004,0.106154,0.046499,0.037416,0.031632,0.029295
"7",23000,-326.760894,1,3,9,"0 Z 0 0 1 Z 0 0 Z Z Z 0 0 1 2 0 0 1 1 1 0 0 1 Z 2 0 Z Z Z 1 	0.130444	0.000000	0.130444	0.130444	0.767543	0.000000	0.130444	0.130444	0.000000	0.000000	0.000000	0.130444	0.130444	0.767543	18.805822	0.130444	0.130444	0.767543	0.767543	0.767543	0.130444	0.130444	0.767543	0.000000	18.805822	0.130444	0.000000	0.000000	0.000000	0.767543	0.977982	0.000020	0.004891	0.005398	0.005801	0.005908	0.977982	0.000020	0.004891	0.005398	0.005801	0.005908	
24000	-331.305184	1	3	6	0 Z 0 Z 1 0 0 0 1 0 0 0 0 1 2 Z Z 1 1 1 0 0 1 Z 2 0 0 Z 0 1 ",0.061157,0,0.061157,0,1.167244,0.061157,0.061157,0.061157,1.167244,0.061157,0.061157,0.061157,0.061157,1.167244,17.489838,0,0,1.167244,1.167244,1.167244,0.061157,0.061157,1.167244,0,17.489838,0.061157,0.061157,0,0.061157,1.167244,0.994177,0.001386,0.001346,0.000396,0.001349,0.001346,0.994177,0.001386,0.001346,0.000396,0.001349,0.001346
"8",25000,-331.108682,1,3,7,"0 Z 0 Z 1 1 0 0 1 0 0 0 Z 1 2 Z Z 1 1 1 0 0 1 Z 2 0 0 Z 0 1 	0.077168	0.000000	0.077168	0.000000	1.073754	1.073754	0.077168	0.077168	1.073754	0.077168	0.077168	0.077168	0.000000	1.073754	17.269915	0.000000	0.000000	1.073754	1.073754	1.073754	0.077168	0.077168	1.073754	0.000000	17.269915	0.077168	0.077168	0.000000	0.077168	1.073754	0.763495	0.226484	0.003076	0.000805	0.003076	0.003064	0.763495	0.226484	0.003076	0.000805	0.003076	0.003064	
26000	-329.468037	1	3	11	0 Z 0 0 1 Z Z Z 0 0 Z Z Z 2 2 Z 0 1 Z 1 0 0 1 0 2 0 0 Z Z 1 ",0.084389,0,0.084389,0.084389,1.052211,0,0,0,0.084389,0.084389,0,0,0,12.203514,12.203514,0,0.084389,1.052211,0,1.052211,0.084389,0.084389,1.052211,0.084389,12.203514,0.084389,0.084389,0,0,1.052211,0.992428,4e-06,0.002194,0.000344,0.002492,0.002538,0.992428,4e-06,0.002194,0.000344,0.002492,0.002538
"9",27000,-329.380065,1,3,7,"0 Z 0 0 1 Z 0 1 0 1 0 Z Z 2 2 Z 0 1 0 1 0 0 1 0 2 0 0 Z Z 1 	0.081392	0.000000	0.081392	0.081392	0.700093	0.000000	0.081392	0.700093	0.081392	0.700093	0.081392	0.000000	0.000000	14.823132	14.823132	0.000000	0.081392	0.700093	0.081392	0.700093	0.081392	0.081392	0.700093	0.081392	14.823132	0.081392	0.081392	0.000000	0.000000	0.700093	0.993844	0.000078	0.001975	0.000171	0.001959	0.001972	0.993844	0.000078	0.001975	0.000171	0.001959	0.001972	
28000	-331.721617	1	3	9	0 Z 0 Z 1 Z Z 1 0 1 0 1 0 2 Z Z 0 1 0 1 0 0 1 Z 2 0 0 Z Z 1 ",0.069396,0,0.069396,0,1.023583,0,0,1.023583,0.069396,1.023583,0.069396,1.023583,0.069396,13.559063,0,0,0.069396,1.023583,0.069396,1.023583,0.069396,0.069396,1.023583,0,13.559063,0.069396,0.069396,0,0,1.023583,0.995002,0.000105,0.001454,0.000233,0.001599,0.001608,0.995002,0.000105,0.001454,0.000233,0.001599,0.001608
"10",29000,-331.250775,1,3,9,"0 Z 0 Z 1 Z 0 1 0 Z Z 1 0 2 1 Z 0 1 0 0 0 0 1 Z 2 0 0 Z Z 1 	0.097920	0.000000	0.097920	0.000000	0.931036	0.000000	0.097920	0.931036	0.097920	0.000000	0.000000	0.931036	0.097920	19.084567	0.931036	0.000000	0.097920	0.931036	0.097920	0.097920	0.097920	0.097920	0.931036	0.000000	19.084567	0.097920	0.097920	0.000000	0.000000	0.931036	0.991288	0.000013	0.002378	0.000125	0.003081	0.003116	0.991288	0.000013	0.002378	0.000125	0.003081	0.003116	
30000	-332.657781	1	3	12	0 Z 0 Z 1 Z 0 1 Z 0 Z Z 0 Z 2 0 0 1 0 Z 0 0 1 Z 2 0 Z Z Z 1 ",0.112086,0,0.112086,0,0.83998,0,0.112086,0.83998,0,0.112086,0,0,0.112086,0,10.159769,0.112086,0.112086,0.83998,0.112086,0,0.112086,0.112086,0.83998,0,10.159769,0.112086,0,0,0,0.83998,0.985427,0.000184,0.002791,0.003542,0.00395,0.004107,0.985427,0.000184,0.002791,0.003542,0.00395,0.004107
