"","Iteration","Lh","Tree.No","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"1",11000,-191.299617,1,0,4.714871,0,4.714871,4.714871,0,4.714871,4.714871,0,13.02734,13.02734,13.02734,13.02734,13.02734,0,13.02734,0,4.714871,0,13.02734,4.714871,0,0,0,13.02734,4.714871,0,0,0,4.714871,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"2",13000,-189.568895,1,0,5.933442,0,0,5.933442,5.933442,0,5.933442,21.607255,21.607255,21.607255,21.607255,21.607255,21.607255,5.933442,5.933442,21.607255,21.607255,5.933442,21.607255,5.933442,0,0,0,21.607255,5.933442,0,0,0,5.933442,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"3",15000,-190.694352,1,0,7.153577,0,0,7.153577,14.919364,0,7.153577,7.153577,7.153577,14.919364,7.153577,7.153577,7.153577,0,0,14.919364,7.153577,7.153577,14.919364,7.153577,0,0,0,14.919364,7.153577,0,0,0,7.153577,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"4",17000,-193.810163,1,0,0,4.159215,4.159215,4.159215,4.159215,4.159215,4.159215,19.825481,19.825481,19.825481,0,4.159215,4.159215,0,19.825481,19.825481,4.159215,19.825481,19.825481,4.159215,0,4.159215,0,19.825481,4.159215,0,0,4.159215,4.159215,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"5",19000,-191.408625,1,0,0,6.312397,0,6.312397,17.400333,6.312397,0,6.312397,17.400333,6.312397,0,0,6.312397,17.400333,17.400333,17.400333,6.312397,17.400333,17.400333,6.312397,6.312397,0,0,17.400333,6.312397,0,0,0,6.312397,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"6",21000,-193.805915,1,2.814799,0,2.814799,0,2.814799,22.321166,2.814799,22.321166,22.321166,0,0,0,22.321166,22.321166,0,22.321166,22.321166,2.814799,22.321166,0,2.814799,2.814799,0,0,22.321166,2.814799,0,0,0,2.814799,0.166679,0.16667,0.166664,0.16667,0.16666,0.166658
"7",23000,-194.66625,1,0,0,4.510075,0,4.510075,13.140675,0,13.140675,13.140675,0,4.510075,13.140675,13.140675,13.140675,0,13.140675,13.140675,4.510075,13.140675,4.510075,4.510075,0,0,0,13.140675,4.510075,0,0,0,4.510075,0.166666,0.166667,0.166667,0.166667,0.166667,0.166667
"8",25000,-193.454777,1,0,7.743983,0,0,7.743983,21.223285,7.743983,21.223285,7.743983,7.743983,21.223285,21.223285,21.223285,21.223285,7.743983,21.223285,21.223285,7.743983,21.223285,0,7.743983,0,0,0,21.223285,7.743983,0,0,0,7.743983,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"9",27000,-189.326198,1,0,6.544317,0,0,6.544317,6.544317,6.544317,6.544317,0,0,6.544317,6.544317,6.544317,0,6.544317,0,6.544317,6.544317,6.544317,6.544317,6.544317,0,0,0,6.544317,6.544317,0,0,0,6.544317,0.166666,0.166665,0.166666,0.166667,0.166668,0.166668
"10",29000,-191.381801,1,0,1.272936,0,0,13.079073,13.079073,13.079073,0,0,1.272936,13.079073,13.079073,13.079073,13.079073,13.079073,13.079073,13.079073,13.079073,13.079073,13.079073,13.079073,0,0,0,13.079073,13.079073,0,0,0,13.079073,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"11",31000,-192.189153,1,0,1.410613,0,1.410613,9.502678,9.502678,9.502678,1.410613,1.410613,9.502678,9.502678,9.502678,9.502678,9.502678,9.502678,9.502678,1.410613,0,9.502678,9.502678,9.502678,0,0,0,9.502678,9.502678,0,1.410613,0,9.502678,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"12",33000,-191.292687,1,0,0.448536,0,0.448536,12.878178,12.878178,0.448536,0,0,0,12.878178,12.878178,12.878178,0,0.448536,0,0,12.878178,0,0,12.878178,0,0,0,12.878178,12.878178,0,0,0,12.878178,0.166789,0.166777,0.166573,0.166271,0.166795,0.166795
"13",35000,-190.423641,1,0,0,0.632475,0,11.383277,0.632475,0.632475,11.383277,0,0,11.383277,0.632475,0,0,0,0.632475,11.383277,11.383277,0,11.383277,11.383277,0,0,0,11.383277,11.383277,0,0,0,11.383277,0.166775,0.166353,0.166724,0.166582,0.166783,0.166783
"14",37000,-190.431658,1,0,0,0.395985,0,5.967105,5.967105,0.395985,0.395985,0.395985,0,0,0,0.395985,5.967105,0.395985,0,5.967105,0,5.967105,5.967105,5.967105,0,0.395985,0,5.967105,5.967105,0,0,0,5.967105,0.166975,0.166007,0.166563,0.166475,0.166983,0.166998
"15",39000,-190.346695,1,0,0.739856,0.739856,0,7.360115,7.360115,0,0,0.739856,7.360115,7.360115,7.360115,0.739856,0,7.360115,7.360115,7.360115,0,7.360115,7.360115,7.360115,0.739856,0,0.739856,7.360115,7.360115,0,0,0,7.360115,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
