"","Iteration","Lh","Tree.No","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"1",11000,-150.338069,1,0,0.932019,0,0,0.932019,0,0.932019,26.736226,0,0.932019,26.736226,26.736226,26.736226,0.932019,0.932019,0.932019,26.736226,0,0,0,0,0,0.932019,0.932019,26.736226,0.932019,0,0,0,0.932019,0.167532,0.163891,0.165149,0.163827,0.16966,0.169941
"2",13000,-146.565188,1,0,0.71805,0,0,0.71805,0,0.71805,9.159643,0.71805,0,9.159643,9.159643,9.159643,0,0.71805,0.71805,9.159643,0,0,0.71805,0,0.71805,0.71805,0,9.159643,0.71805,0,0,0,0.71805,0.168464,0.164011,0.165521,0.164151,0.168631,0.169222
"3",15000,-147.195103,1,0,1.530412,0,0,1.530412,1.530412,0,24.45267,0,0,24.45267,24.45267,1.530412,0,24.45267,0,24.45267,1.530412,0,0,0,0,1.530412,0,24.45267,1.530412,0,0,0,1.530412,0.16737,0.165067,0.166736,0.165047,0.167871,0.167909
"4",17000,-150.287459,1,0,0.550165,0,0,0.550165,0.550165,0,0,0.550165,0,0,0,22.03642,0.550165,0.550165,0,22.03642,22.03642,0.550165,0,0.550165,0.550165,0.550165,0,22.03642,0.550165,0,0,0,0.550165,0.169254,0.16449,0.164323,0.164342,0.168688,0.168902
"5",19000,-151.475856,1,0,0.952956,0,0,0.952956,16.249474,0.952956,0.952956,0.952956,0,0.952956,0.952956,16.249474,0,0,0,16.249474,0,0.952956,0.952956,0.952956,0.952956,0,0,16.249474,0.952956,0,0,0,0.952956,0.16695,0.16695,0.166953,0.166903,0.166145,0.166098
"6",21000,-151.138743,1,0,0.676493,0,0,0.676493,0,0.676493,0,0.676493,0,0.676493,0.676493,15.771966,0,15.771966,0,15.771966,0.676493,0,0.676493,0.676493,0.676493,0.676493,0.676493,15.771966,0.676493,0,0,0,0.676493,0.171511,0.157773,0.165816,0.157838,0.172753,0.174309
"7",23000,-153.135072,1,0,1.018381,0,0,1.018381,0,0,1.018381,0,0,1.018381,1.018381,11.112336,0,1.018381,11.112336,11.112336,1.018381,1.018381,1.018381,0,1.018381,0,0,11.112336,1.018381,0,0,0,1.018381,0.174194,0.14333,0.161361,0.160363,0.179097,0.181656
"8",25000,-152.967773,1,0,0.60831,0,0,0.60831,0.60831,0.60831,0.60831,0,0,0.60831,0.60831,15.651814,0,0,15.651814,15.651814,15.651814,0.60831,0.60831,0.60831,0.60831,0,0,15.651814,0.60831,0,0,0,0.60831,0.168125,0.16951,0.168865,0.168718,0.162523,0.162259
"9",27000,-151.119022,1,0,1.037158,0,0,1.037158,1.037158,1.037158,1.037158,0,1.037158,0,1.037158,25.574303,1.037158,1.037158,25.574303,25.574303,0,1.037158,1.037158,1.037158,1.037158,1.037158,1.037158,25.574303,1.037158,0,0,0,1.037158,0.16675,0.166737,0.166731,0.166739,0.166534,0.166509
"10",29000,-151.590765,1,0,0.515734,0,0,0.515734,0.515734,0.515734,0.515734,0.515734,0,0,0.515734,19.348689,0.515734,0.515734,0,19.348689,19.348689,0,0.515734,0.515734,0.515734,0.515734,0.515734,19.348689,0.515734,0,0,0.515734,0.515734,0.17318,0.16477,0.164257,0.164405,0.166638,0.16675
