"","Iteration","Lh","Tree.No","qAH","qAP","qHA","qHP","qPA","qPH","RecNode.P.A.","RecNode.P.H.","RecNode.P.P."
"1",11000,-160.020528,1,0.460891,0.460891,0,6.507302,6.507302,6.507302,0.333332,0.333334,0.333333
"2",13000,-162.112239,1,0.355408,0.355408,0,7.727167,7.727167,7.727167,0.333329,0.333337,0.333334
"3",15000,-160.374303,1,0.310339,0.310339,0,5.396734,5.396734,5.396734,0.333299,0.333363,0.333338
"4",17000,-158.509119,1,0.294045,0.294045,0,10.444762,10.444762,10.444762,0.333333,0.333334,0.333333
"5",19000,-160.518612,1,0.303754,0.303754,0,4.831459,4.831459,4.831459,0.333297,0.333365,0.333338
"6",21000,-159.80703,1,0.376922,0.376922,0,5.955555,5.955555,5.955555,0.333325,0.333341,0.333334
"7",23000,-163.255914,1,0.626188,0.626188,0,5.841705,5.841705,5.841705,0.333337,0.33333,0.333333
"8",25000,-158.758153,1,0.664924,0.664924,0,7.935309,7.935309,7.935309,0.333333,0.333333,0.333333
"9",27000,-161.741606,1,0.340205,0.340205,0,5.284611,5.284611,5.284611,0.333315,0.333349,0.333336
"10",29000,-161.734508,1,0.686201,0.686201,0,5.700164,5.700164,5.700164,0.333338,0.33333,0.333333
"11",31000,-159.572353,1,0.527965,0.527965,0,5.261182,5.261182,5.261182,0.333344,0.333323,0.333332
"12",33000,-159.563063,1,0.551286,0.551286,0.551286,5.095549,5.095549,5.095549,0.333335,0.333332,0.333333
"13",35000,-160.350391,1,0.328538,0.328538,0,5.123179,5.123179,5.123179,0.333311,0.333353,0.333336
"14",37000,-162.642578,1,0.324314,0.324314,0,6.873453,6.873453,6.873453,0.333322,0.333343,0.333335
"15",39000,-159.048682,1,0,0.822599,0,6.622509,6.622509,6.622509,0.33331,0.333354,0.333336
"16",41000,-160.432572,1,0.26704,0.26704,0,7.388419,7.388419,7.388419,0.333318,0.333346,0.333335
"17",43000,-158.42461,1,0.539407,0.539407,0,4.633079,4.633079,4.633079,0.333367,0.333303,0.33333
"18",45000,-158.890489,1,0,0.972035,0,6.007916,6.007916,6.007916,0.333314,0.33335,0.333336
"19",47000,-160.346086,1,0.308603,0.308603,0,6.404134,6.404134,6.404134,0.333313,0.333351,0.333336
"20",49000,-159.819592,1,0.457187,0.457187,0.457187,9.896925,9.896925,9.896925,0.333333,0.333333,0.333333
"21",51000,-161.552545,1,0,0.882578,0,4.981066,4.981066,4.981066,0.333282,0.333378,0.33334
"22",53000,-160.174775,1,0.40322,0.40322,0,5.906831,5.906831,5.906831,0.333329,0.333337,0.333334
"23",55000,-159.913777,1,0.493206,0.493206,0,4.986036,4.986036,4.986036,0.333352,0.333317,0.333331
"24",57000,-159.736828,1,0.396627,0.396627,0,4.067719,4.067719,4.067719,0.333441,0.333238,0.333321
"25",59000,-159.674931,1,0.34453,0.34453,0,6.692301,6.692301,6.692301,0.333323,0.333342,0.333335
"26",61000,-160.052875,1,0,1.078095,0,5.927946,5.927946,5.927946,0.333321,0.333344,0.333335
"27",63000,-159.131577,1,0,1.102826,0,9.472451,9.472451,9.472451,0.333333,0.333334,0.333333
"28",65000,-163.708504,1,0.403689,0.403689,0,5.459569,5.459569,5.459569,0.333332,0.333335,0.333334
"29",67000,-160.423463,1,0,1.205186,0,6.830578,6.830578,6.830578,0.33333,0.333337,0.333334
"30",69000,-161.050403,1,0.489799,0.489799,0,8.819072,8.819072,8.819072,0.333333,0.333334,0.333333
"31",71000,-161.333462,1,0.55571,0.55571,0,6.693128,6.693128,6.693128,0.333334,0.333333,0.333333
"32",73000,-159.779407,1,0,1.97947,0,9.275984,9.275984,9.275984,0.333333,0.333333,0.333333
"33",75000,-161.597079,1,0.390221,0.390221,0,9.275245,9.275245,9.275245,0.333333,0.333334,0.333333
"34",77000,-158.964538,1,0,0.583875,0,5.194253,5.194253,5.194253,0.33311,0.333527,0.333363
"35",79000,-158.83898,1,0,0.936395,0,6.764683,6.764683,6.764683,0.33332,0.333345,0.333335
"36",81000,-160.522114,1,0.306126,0.306126,0.306126,7.099048,7.099048,7.099048,0.333326,0.333339,0.333334
"37",83000,-160.534629,1,0.668502,0.668502,0,4.783352,4.783352,4.783352,0.333352,0.333316,0.333332
"38",85000,-158.9705,1,0.423715,0.423715,0,6.719207,6.719207,6.719207,0.33333,0.333336,0.333334
"39",87000,-159.189179,1,0,0.891143,0,8.612412,8.612412,8.612412,0.333331,0.333336,0.333334
"40",89000,-160.47278,1,0,0.95079,0,5.876366,5.876366,5.876366,0.33331,0.333354,0.333336
"41",91000,-160.12109,1,0.443555,0.443555,0,6.136211,6.136211,6.136211,0.333332,0.333335,0.333334
