"","Iteration","Lh","Tree.No","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"1",11000,-350.617884,1,0,0,0.507807,0.507807,0.507807,0,0.507807,0,0.507807,0,0.507807,0.507807,0.507807,0.507807,0,0.507807,0.507807,9.0106,0.507807,9.0106,0.507807,0.507807,0.507807,0,9.0106,0.507807,0,0,0,0.507807,0.010091,0.028665,0.015483,0.291863,0.375665,0.278234
"2",13000,-351.704237,1,0,0,0,0.456994,0.456994,0,0,0,0.456994,0.456994,0.456994,0,0.456994,0.456994,0.456994,0,0,12.469104,0,0,0.456994,0.456994,0.456994,0.456994,12.469104,0.456994,0,0,0,0.456994,0.00439,0.21969,0.004235,0.000559,0.492734,0.278392
"3",15000,-349.899126,1,0,0,0.512576,0.512576,0.512576,0.512576,0,0,0,0,0.512576,0,0.512576,0,0.512576,0.512576,0.512576,10.917502,0.512576,0,0.512576,0.512576,0.512576,0.512576,10.917502,0.512576,0,0,0,0.512576,0.009383,0.001287,0.003874,0.005853,0.579543,0.40006
"4",17000,-347.63735,1,0,0,0.467558,0.467558,0.467558,0,0.467558,0.467558,0.467558,0.467558,0.467558,0.467558,0,0.467558,0.467558,0.467558,0.467558,10.537341,0.467558,0.467558,0.467558,0.467558,0.467558,0.467558,10.537341,0.467558,0,0,0,0.467558,0.012792,0.087398,0.038336,0.038336,0.452567,0.370571
"5",19000,-349.427609,1,0,0,0.486324,0.486324,0.486324,0,0.486324,0.486324,0,0,0,0.486324,0.486324,0.486324,0.486324,10.81833,0.486324,10.81833,0,0.486324,0.486324,0.486324,0.486324,0.486324,10.81833,0.486324,0,0,0,0.486324,0.011367,0.001249,0.051824,0.024322,0.542745,0.368494
"6",21000,-347.912722,1,0,0,0.433443,0.433443,0.433443,0,0.433443,0,0,0,0,0.433443,0.433443,0.433443,0,0,0,11.780898,0,0.433443,0.433443,0.433443,0.433443,0,11.780898,0.433443,0,0,0,0.433443,0.012467,0.000228,0.021645,0.028612,0.622166,0.314882
"7",23000,-349.592844,1,0,0,0.414854,0.414854,0.414854,0,0.414854,0.414854,0.414854,0,0.414854,0.414854,0.414854,0,0.414854,0.414854,0.414854,0.414854,0,0.414854,0.414854,0.414854,0,0,6.541725,0.414854,0,0,0,0.414854,0.011467,0.031262,0.026197,0.026197,0.487642,0.417236
"8",25000,-355.95984,1,0,0.23197,0.23197,0.23197,0.495236,0.23197,0,0.495236,0,0,0.23197,0,0.495236,0,0,0.495236,0,0.495236,0.495236,0.495236,0.23197,0.495236,0,0,8.665534,0.495236,0,0,0,0.495236,0.002707,0.001267,8e-06,0.004908,0.656584,0.334526
"9",27000,-348.857447,1,0,0.523923,0,0.523923,0.523923,0,0.523923,0.523923,0.523923,0,0.523923,0.523923,0.523923,0,0.523923,0,0.523923,0.523923,0,0.523923,0.523923,0.523923,0,0,10.285553,0.523923,0,0,0,0.523923,0.017628,0.04226,0.028462,0.032052,0.499742,0.379857
"10",29000,-349.173232,1,0,0.43848,0,0.43848,0.43848,0.43848,0.43848,0.43848,0.43848,0.43848,0.43848,0.43848,0.43848,0,0.43848,0,0.43848,0,0,0.43848,0.43848,0,0.43848,0,12.513665,0.43848,0,0,0,0.43848,0.022998,0.164139,0.046754,0.054619,0.408526,0.302964
"11",31000,-351.065406,1,0,0.45015,0,0.45015,0.45015,0.45015,0,0.45015,0,0,0.45015,0.45015,0.45015,0,0,0,0.45015,11.91623,0.45015,0.45015,0.45015,0.45015,0.45015,0.45015,11.91623,0.45015,0,0,0,0.45015,0.014065,0.000967,4e-04,0.040135,0.57377,0.370662
"12",33000,-352.257142,1,0,0.404718,0,0.404718,0.404718,0.404718,0.404718,0,0.404718,0,0.404718,0.404718,0.404718,0.404718,0,0.404718,0.404718,0,0,0,0.404718,0.404718,0.404718,0,12.27178,0.404718,0,0,0,0.404718,0.013328,0.05155,0.0201,0.000322,0.574202,0.340498
"13",35000,-352.102027,1,0,0.394186,0.394186,0.394186,0.394186,0.394186,0.394186,0,0.394186,0,0.394186,0,7.716386,0.394186,0,0,0,0.394186,0,7.716386,0.394186,0.394186,0.394186,0.394186,7.716386,0.394186,0,0,0,0.394186,0.005925,0.061417,0.069359,0.171482,0.429385,0.262433
"14",37000,-346.098794,1,0,0.455338,0,0.455338,0.455338,0.455338,0.455338,0,0.455338,0,0.455338,0,6.918583,0.455338,0.455338,0,0.455338,0.455338,6.918583,0,0.455338,0.455338,0,0.455338,6.918583,0.455338,0,0,0,0.455338,0.007969,0.027361,0.05665,0.173009,0.388763,0.346247
"15",39000,-347.626058,1,0,0.444577,0,0.444577,0.444577,0,0.444577,0,0,0.444577,0.444577,0.444577,11.081113,0.444577,0.444577,0.444577,0,11.081113,0,11.081113,0.444577,0.444577,0.444577,0,11.081113,0.444577,0,0,0,0.444577,0.006052,0.075796,0.165052,0.205767,0.357174,0.190159
"16",41000,-348.221088,1,0,0.408906,0,0.408906,0.408906,0,0.408906,0.408906,0,0.408906,0.408906,0,11.836725,0,0.408906,0.408906,0,11.836725,0,0.408906,0.408906,0,0.408906,0.408906,11.836725,0.408906,0,0,0,0.408906,0,1,0,0,0,0
"17",43000,-348.502894,1,0,0.431697,0,0.431697,0.431697,0,0,0.431697,0.431697,0.431697,0.431697,0,7.621636,0.431697,0.431697,0,0.431697,0,0.431697,0.431697,0.431697,0.431697,0.431697,0.431697,7.621636,0.431697,0,0,0,0.431697,0.00954,0.09744,0.035444,0.040404,0.444438,0.372733
"18",45000,-350.624016,1,0,0.40359,0,0.40359,0.40359,0,0.40359,0,0,0.40359,0.40359,0,9.552881,0.40359,0.40359,0,0,0,0.40359,0.40359,0.40359,0,0.40359,0.40359,9.552881,0.40359,0,0,0,0.40359,0,1,0,0,0,0
"19",47000,-353.110973,1,0,0.591006,0,0.591006,0.591006,0,0,0.591006,0.591006,0.591006,0.591006,0.591006,12.757467,0.591006,0.591006,0,0.591006,0.591006,0.591006,0,0.591006,0.591006,0.591006,0.591006,12.757467,0.591006,0,0,0,0.591006,0.018668,0.085465,0.042203,0.018271,0.449677,0.385716
"20",49000,-347.753305,1,0,0.44763,0,0.44763,0.44763,0,0,0.44763,0,0.44763,0.44763,0.44763,0.44763,0.44763,0.44763,0.44763,0.44763,0.44763,0.44763,0.44763,0.44763,0.44763,0,0.44763,9.743756,0.44763,0,0,0,0.44763,0.011531,0.072794,0.040775,0.040775,0.504683,0.329442
"21",51000,-352.887386,1,0,0,0.49486,0.49486,0.49486,0,0.49486,0,0,0,0.49486,0.49486,0.49486,0.49486,0.49486,0.49486,0.49486,9.08834,0,0,0.49486,0.49486,0.49486,0,9.08834,0.49486,0,0,0,0.49486,0.013891,0.000747,0.044335,0.005038,0.550943,0.385046
"22",53000,-347.000849,1,0,0,0.360012,0.360012,0.360012,0,0,0.360012,0,0.360012,0.360012,0.360012,0,0.360012,0.360012,0.360012,0.360012,8.128549,0,0.360012,0.360012,0.360012,0,0,8.128549,0.360012,0,0,0,0.360012,0.008697,0.080373,0.037986,0.024696,0.54977,0.298477
"23",55000,-346.074643,1,0,0,0.576259,0.576259,0.576259,0,0.576259,0.576259,0.576259,0.576259,0.576259,0.576259,0.576259,0,0.576259,0.576259,0.576259,9.144998,0.576259,0.576259,0.576259,0,0.576259,0.576259,9.144998,0.576259,0,0,0,0.576259,0.021799,0.109916,0.038947,0.056734,0.39524,0.377363
"24",57000,-348.512016,1,0,0,0.442069,0.442069,0.442069,0.442069,0.442069,0,0,0,0.442069,0.442069,0,0,0.442069,0,0.442069,10.787411,0.442069,0.442069,0.442069,0.442069,0,0.442069,10.787411,0.442069,0,0,0,0.442069,0.01333,0.000963,0.027356,0.043959,0.563024,0.351367
"25",59000,-349.376552,1,0,0,0.529688,0.529688,0.529688,0,0.529688,0,0,0.529688,0.529688,0,0,0.529688,0,0.529688,0,10.115121,0.529688,0.529688,0.529688,0.529688,0.529688,0,10.115121,0.529688,0,0,0,0.529688,0.006672,0.100404,0.002034,0.005252,0.521814,0.363824
"26",61000,-349.291791,1,0,0,0.409494,0.409494,0.409494,0,0.409494,0,0.409494,0.409494,0.409494,0,0,0.409494,0.409494,9.055619,0.409494,9.055619,0,0.409494,0.409494,0.409494,0.409494,0,9.055619,0.409494,0,0,0,0.409494,0.00529,0.151213,0.004231,0.005524,0.505947,0.327795
"27",63000,-356.9057,1,0,0,0.311982,0.311982,0.660878,0.311982,0.660878,0.660878,0.311982,0.311982,0.311982,0,0.660878,0,0.311982,0.660878,0,12.275875,0.311982,0.311982,0.311982,0.660878,0.660878,0,12.275875,0.660878,0,0,0,0.660878,0.005975,0.053553,0.000668,0.00125,0.495912,0.442643
"28",65000,-344.983572,1,0,0,0.435262,0.435262,0.435262,0.435262,0.435262,0.435262,0,0.435262,0,0.435262,0.435262,0.435262,0,0.435262,0,12.578303,0.435262,0,0.435262,0.435262,0,0,12.578303,0.435262,0,0,0,0.435262,0.016202,0.063547,0.027974,0.02666,0.522789,0.342828
"29",67000,-346.898585,1,0,0.422497,0.422497,0.422497,0.422497,0,0.422497,0.422497,0.422497,0.422497,0.422497,0.422497,11.718537,0.422497,0.422497,0,0.422497,11.718537,0.422497,11.718537,0.422497,0,0,0.422497,11.718537,0.422497,0,0,0,0.422497,0.012364,0.197265,0.242895,0.320366,0.11815,0.10896
"30",69000,-347.564323,1,0,0,0.404416,0.404416,0.404416,0.404416,0.404416,0.404416,0,0,0.404416,0,0,0.404416,0.404416,0,0,9.022179,0,0,0.404416,0.404416,0.404416,0.404416,9.022179,0.404416,0,0,0,0.404416,0.00474,0.001594,0.004918,0.000436,0.57392,0.414392
"31",71000,-348.17552,1,0,0,0.410635,0.410635,0.410635,0.410635,0,0.410635,0,0.410635,0,0,14.906683,0.410635,0,0.410635,14.906683,14.906683,0,0,0.410635,0.410635,0,0,14.906683,0.410635,0,0,0,0.410635,0.025925,0.037863,0.030716,0.008604,0.484337,0.412555
