"","Iteration","Lh","Tree.No","No.Off.Parmeters","No.Off.Zero","Model.string","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","Root.P.A.","Root.P.B.","Root.P.D.","Root.P.E.","Root.P.H.","Root.P.P.","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"1",11000,-275.818959,1,2,10,"Z 1 Z Z 1 1 1 Z 1 1 Z 1 0 0 1 Z 1 1 Z 1 1 Z 1 1 0 1 Z 1 Z 1 	0.000000	2.468221	0.000000	0.000000	2.468221	2.468221	2.468221	0.000000	2.468221	2.468221	0.000000	2.468221	26.720035	26.720035	2.468221	0.000000	2.468221	2.468221	0.000000	2.468221	2.468221	0.000000	2.468221	2.468221	26.720035	2.468221	0.000000	2.468221	0.000000	2.468221	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
12000	-273.391957	1	2	12	Z 1 Z Z 1 1 Z Z Z Z 0 1 0 0 1 Z 1 1 1 1 Z 1 1 Z 0 1 Z 1 Z 1 ",0,2.740408,0,0,2.740408,2.740408,0,0,0,0,43.028167,2.740408,43.028167,43.028167,2.740408,0,2.740408,2.740408,2.740408,2.740408,0,2.740408,2.740408,0,43.028167,2.740408,0,2.740408,0,2.740408,0.166669,0.166659,0.166668,0.166666,0.166669,0.166669,0.166669,0.166659,0.166668,0.166666,0.166669,0.166669
"2",13000,-265.840552,1,3,13,"Z 2 Z Z 1 2 Z 2 2 Z Z 2 0 Z 2 Z 1 2 Z 1 2 Z 1 Z 0 1 Z 2 Z 1 	0.000000	1.127870	0.000000	0.000000	4.538720	1.127870	0.000000	1.127870	1.127870	0.000000	0.000000	1.127870	31.606148	0.000000	1.127870	0.000000	4.538720	1.127870	0.000000	4.538720	1.127870	0.000000	4.538720	0.000000	31.606148	4.538720	0.000000	1.127870	0.000000	4.538720	0.166689	0.166636	0.166651	0.166653	0.166684	0.166687	0.166689	0.166636	0.166651	0.166653	0.166684	0.166687	
14000	-275.791243	1	2	11	Z 1 1 Z 1 Z 1 1 1 Z Z Z 1 0 1 1 1 1 1 1 Z 1 1 Z 0 1 Z Z Z 1 ",0,2.236831,2.236831,0,2.236831,0,2.236831,2.236831,2.236831,0,0,0,2.236831,26.768016,2.236831,2.236831,2.236831,2.236831,2.236831,2.236831,0,2.236831,2.236831,0,26.768016,2.236831,0,0,0,2.236831,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"3",15000,-280.526761,1,2,12,"Z 1 1 Z 1 Z Z 1 Z Z 0 1 1 0 1 1 Z 1 1 Z Z Z 1 1 0 1 1 Z Z 1 	0.000000	2.696510	2.696510	0.000000	2.696510	0.000000	0.000000	2.696510	0.000000	0.000000	25.142880	2.696510	2.696510	25.142880	2.696510	2.696510	0.000000	2.696510	2.696510	0.000000	0.000000	0.000000	2.696510	2.696510	25.142880	2.696510	2.696510	0.000000	0.000000	2.696510	0.166668	0.166665	0.166667	0.166668	0.166666	0.166666	0.166668	0.166665	0.166667	0.166668	0.166666	0.166666	
16000	-274.658024	1	2	14	Z 1 1 Z 1 Z Z 1 Z Z Z 1 Z 0 1 1 1 1 1 Z 1 Z 1 Z 0 1 Z Z Z 1 ",0,1.966986,1.966986,0,1.966986,0,0,1.966986,0,0,0,1.966986,0,36.581659,1.966986,1.966986,1.966986,1.966986,1.966986,0,1.966986,0,1.966986,0,36.581659,1.966986,0,0,0,1.966986,0.167548,0.161673,0.168009,0.166141,0.168307,0.168322,0.167548,0.161673,0.168009,0.166141,0.168307,0.168322
"4",17000,-271.767512,1,3,8,"Z 2 2 Z 1 2 1 1 2 Z Z 1 1 Z 1 2 1 2 Z 2 2 2 2 Z 0 1 2 Z 2 1 	0.000000	0.968908	0.968908	0.000000	5.098291	0.968908	5.098291	5.098291	0.968908	0.000000	0.000000	5.098291	5.098291	0.000000	5.098291	0.968908	5.098291	0.968908	0.000000	0.968908	0.968908	0.968908	0.968908	0.000000	23.991516	5.098291	0.968908	0.000000	0.968908	5.098291	0.166670	0.166663	0.166664	0.166662	0.166670	0.166670	0.166670	0.166663	0.166664	0.166662	0.166670	0.166670	
18000	-271.205190	1	3	6	Z 2 2 2 1 2 Z 1 Z 1 1 Z 2 2 2 2 1 2 Z 2 Z 2 2 2 0 1 2 2 2 1 ",0,0.366975,0.366975,0.366975,5.490194,0.366975,0,5.490194,0,5.490194,5.490194,0,0.366975,0.366975,0.366975,0.366975,5.490194,0.366975,0,0.366975,0,0.366975,0.366975,0.366975,40.906234,5.490194,0.366975,0.366975,0.366975,5.490194,0.166683,0.166645,0.166685,0.166625,0.166681,0.166681,0.166683,0.166645,0.166685,0.166625,0.166681,0.166681
"5",19000,-275.659434,1,3,3,"2 2 2 Z 1 1 1 1 2 1 1 1 2 2 2 2 1 2 1 2 2 1 2 2 0 1 2 Z Z 1 	0.162139	0.162139	0.162139	0.000000	3.827789	3.827789	3.827789	3.827789	0.162139	3.827789	3.827789	3.827789	0.162139	0.162139	0.162139	0.162139	3.827789	0.162139	3.827789	0.162139	0.162139	3.827789	0.162139	0.162139	26.306219	3.827789	0.162139	0.000000	0.000000	3.827789	0.166667	0.166667	0.166667	0.166666	0.166667	0.166667	0.166667	0.166667	0.166667	0.166666	0.166667	0.166667	
20000	-272.383109	1	3	7	Z 2 2 2 1 2 1 Z 2 2 1 1 1 2 2 2 Z 2 1 2 2 Z 2 Z 0 1 2 Z Z 2 ",0,0.956905,0.956905,0.956905,4.272847,0.956905,4.272847,0,0.956905,0.956905,4.272847,4.272847,4.272847,0.956905,0.956905,0.956905,0,0.956905,4.272847,0.956905,0.956905,0,0.956905,0,27.486493,4.272847,0.956905,0,0,0.956905,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"6",21000,-274.790954,1,2,13,"Z Z 1 Z 1 1 1 Z Z 1 Z 1 0 1 Z Z 1 1 1 1 1 Z 1 Z 0 1 Z Z Z 1 	0.000000	0.000000	3.217525	0.000000	3.217525	3.217525	3.217525	0.000000	0.000000	3.217525	0.000000	3.217525	21.322704	3.217525	0.000000	0.000000	3.217525	3.217525	3.217525	3.217525	3.217525	0.000000	3.217525	0.000000	21.322704	3.217525	0.000000	0.000000	0.000000	3.217525	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
22000	-276.716362	1	2	14	Z 1 Z 1 1 1 Z Z Z Z Z 1 0 1 0 Z 1 1 Z 1 Z Z 1 Z 0 1 Z Z 1 1 ",0,2.203562,0,2.203562,2.203562,2.203562,0,0,0,0,0,2.203562,27.51266,2.203562,27.51266,0,2.203562,2.203562,0,2.203562,0,0,2.203562,0,27.51266,2.203562,0,0,2.203562,2.203562,0.166637,0.166718,0.166668,0.166688,0.166644,0.166645,0.166637,0.166718,0.166668,0.166688,0.166644,0.166645
"7",23000,-281.443046,1,2,10,"Z 1 Z Z 1 Z 1 1 1 1 1 1 0 Z 0 Z 1 1 Z 1 1 Z 1 1 0 1 Z Z 1 1 	0.000000	3.588983	0.000000	0.000000	3.588983	0.000000	3.588983	3.588983	3.588983	3.588983	3.588983	3.588983	53.282235	0.000000	53.282235	0.000000	3.588983	3.588983	0.000000	3.588983	3.588983	0.000000	3.588983	3.588983	53.282235	3.588983	0.000000	0.000000	3.588983	3.588983	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
24000	-277.743121	1	2	10	Z 1 Z Z 1 1 Z 1 1 Z 1 1 0 1 Z 1 1 1 1 1 Z Z 1 1 0 1 1 Z Z 1 ",0,2.588729,0,0,2.588729,2.588729,0,2.588729,2.588729,0,2.588729,2.588729,21.989033,2.588729,0,2.588729,2.588729,2.588729,2.588729,2.588729,0,0,2.588729,2.588729,21.989033,2.588729,2.588729,0,0,2.588729,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"8",25000,-280.672505,1,2,8,"Z 1 Z Z 1 1 1 1 1 Z 1 Z 0 1 Z 1 1 1 1 1 1 1 1 1 0 1 1 Z Z 1 	0.000000	3.068085	0.000000	0.000000	3.068085	3.068085	3.068085	3.068085	3.068085	0.000000	3.068085	0.000000	18.359899	3.068085	0.000000	3.068085	3.068085	3.068085	3.068085	3.068085	3.068085	3.068085	3.068085	3.068085	18.359899	3.068085	3.068085	0.000000	0.000000	3.068085	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
26000	-275.491885	1	2	9	Z 1 Z Z 1 Z 1 1 1 1 Z 1 0 1 1 1 1 1 1 1 1 Z 1 Z 0 1 1 Z Z 1 ",0,2.906815,0,0,2.906815,0,2.906815,2.906815,2.906815,2.906815,0,2.906815,25.900279,2.906815,2.906815,2.906815,2.906815,2.906815,2.906815,2.906815,2.906815,0,2.906815,0,25.900279,2.906815,2.906815,0,0,2.906815,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"9",27000,-277.323408,1,2,10,"Z 1 Z Z 1 1 1 1 Z 1 1 1 0 1 1 Z 1 1 Z 1 1 Z 1 Z 0 1 1 Z Z 1 	0.000000	2.350093	0.000000	0.000000	2.350093	2.350093	2.350093	2.350093	0.000000	2.350093	2.350093	2.350093	19.806836	2.350093	2.350093	0.000000	2.350093	2.350093	0.000000	2.350093	2.350093	0.000000	2.350093	0.000000	19.806836	2.350093	2.350093	0.000000	0.000000	2.350093	0.166667	0.166666	0.166666	0.166666	0.166667	0.166667	0.166667	0.166666	0.166666	0.166666	0.166667	0.166667	
28000	-270.944791	1	2	9	Z 1 Z Z 1 1 1 1 Z 1 1 1 0 1 1 1 1 1 1 1 Z 1 1 Z 0 1 Z Z Z 1 ",0,3.570832,0,0,3.570832,3.570832,3.570832,3.570832,0,3.570832,3.570832,3.570832,28.589778,3.570832,3.570832,3.570832,3.570832,3.570832,3.570832,3.570832,0,3.570832,3.570832,0,28.589778,3.570832,0,0,0,3.570832,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
"10",29000,-272.396326,1,2,10,"Z 1 Z Z 1 1 1 Z Z 1 1 1 0 1 1 1 Z 1 Z 1 1 1 1 1 0 1 Z Z Z 1 	0.000000	3.473057	0.000000	0.000000	3.473057	3.473057	3.473057	0.000000	0.000000	3.473057	3.473057	3.473057	34.852602	3.473057	3.473057	3.473057	0.000000	3.473057	0.000000	3.473057	3.473057	3.473057	3.473057	3.473057	34.852602	3.473057	0.000000	0.000000	0.000000	3.473057	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	
30000	-275.316557	1	2	11	Z 1 Z Z 1 Z 1 Z 1 1 1 1 0 1 1 1 Z 1 Z 1 Z 1 1 1 0 1 Z Z Z 1 ",0,4.280891,0,0,4.280891,0,4.280891,0,4.280891,4.280891,4.280891,4.280891,20.725557,4.280891,4.280891,4.280891,0,4.280891,0,4.280891,0,4.280891,4.280891,4.280891,20.725557,4.280891,0,0,0,4.280891,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667
