Group,Protein,Identity,Clusters
Avian,01PB2,100,15507
Avian,02PB1,100,15447
Avian,03PA,100,15441
Avian,04HA,100,15380
Avian,05NP,100,14682
Avian,06NA,100,15442
Avian,07M1,100,15335
Avian,07M2,100,15124
Avian,08NS1,100,15293
Avian,08NEP,100,15228
Avian,01PB2,95,135
Avian,02PB1,95,77
Avian,03PA,95,2404
Avian,04HA,95,1943
Avian,05NP,95,52
Avian,06NA,95,544
Avian,07M1,95,33
Avian,07M2,95,555
Avian,08NS1,95,554
Avian,08NEP,95,437
Avian,01PB2,85,33
Avian,02PB1,85,36
Avian,03PA,85,19
Avian,04HA,85,46
Avian,05NP,85,8
Avian,06NA,85,36
Avian,07M1,85,3
Avian,07M2,85,58
Avian,08NS1,85,115
Avian,08NEP,85,29
Avian,01PB2,75,18
Avian,02PB1,75,27
Avian,03PA,75,11
Avian,04HA,75,28
Avian,05NP,75,5
Avian,06NA,75,25
Avian,07M1,75,3
Avian,07M2,75,14
Avian,08NS1,75,5
Avian,08NEP,75,9
Mammalian,01PB2,100,21880
Mammalian,02PB1,100,21829
Mammalian,03PA,100,21856
Mammalian,04HA,100,22106
Mammalian,05NP,100,21865
Mammalian,06NA,100,21845
Mammalian,07M1,100,21791
Mammalian,07M2,100,21770
Mammalian,08NS1,100,21737
Mammalian,08NEP,100,21760
Mammalian,01PB2,95,2081
Mammalian,02PB1,95,1623
Mammalian,03PA,95,1758
Mammalian,04HA,95,2038
Mammalian,05NP,95,70
Mammalian,06NA,95,294
Mammalian,07M1,95,130
Mammalian,07M2,95,291
Mammalian,08NS1,95,517
Mammalian,08NEP,95,231
Mammalian,01PB2,85,27
Mammalian,02PB1,85,62
Mammalian,03PA,85,25
Mammalian,04HA,85,32
Mammalian,05NP,85,9
Mammalian,06NA,85,21
Mammalian,07M1,85,2
Mammalian,07M2,85,18
Mammalian,08NS1,85,35
Mammalian,08NEP,85,17
Mammalian,01PB2,75,17
Mammalian,02PB1,75,29
Mammalian,03PA,75,12
Mammalian,04HA,75,20
Mammalian,05NP,75,6
Mammalian,06NA,75,13
Mammalian,07M1,75,1
Mammalian,07M2,75,7
Mammalian,08NS1,75,5
Mammalian,08NEP,75,2
