"var","AUC_loss","Protein"
"CTDC_solventaccess.G3.pb2",0.005198228,"01PB2"
"CTDC_solventaccess.G1.pb2",0.004508699,"01PB2"
"CTDC_hydrophobicity_PRAM900101.G2.pb2",0.00442182,"01PB2"
"CTDC_polarizability.G1.pb2",0.004211109,"01PB2"
"CTDC_secondarystruct.G2.pb2",0.004200602,"01PB2"
"CTDC_hydrophobicity_PONP930101.G2.pb2",0.004014681,"01PB2"
"CTDT_charge.Tr2332.pb2",0.003967508,"01PB2"
"PAAC_Xc2.lambda2.pb2",0.003763545,"01PB2"
"CTDC_charge.G3.pb2",0.003565394,"01PB2"
"CTDT_hydrophobicity_PONP930101.Tr1221.pb2",0.002952621,"01PB2"
"CTDC_hydrophobicity_PONP930101.G3.pb2",0.002707956,"01PB2"
"CTDC_hydrophobicity_ZIMJ680101.G2.pb2",0.002155035,"01PB2"
"CTDC_charge.G1.pb2",0.001903637,"01PB2"
"DPC_EN.pb2",0.001748596,"01PB2"
"CTDC_normwaalsvolume.G2.pb2",0.001522098,"01PB2"
"CTriad_g3.g4.g6.pb2",0.001376303,"01PB2"
"PAAC_Xc1.F.pb2",0.001321008,"01PB2"
"CTDT_hydrophobicity_FASG890101.Tr2332.pb2",0.00132032,"01PB2"
"CTDC_polarizability.G2.pb2",0.00130573,"01PB2"
"CTDD_hydrophobicity_PONP930101.3.residue50.pb2",0.001221671,"01PB2"
"CTDC_hydrophobicity_FASG890101.G1.pb2",0.001214312,"01PB2"
"CTDT_secondarystruct.Tr1221.pb2",0.001197492,"01PB2"
"CTDD_hydrophobicity_ZIMJ680101.1.residue75.pb2",0.001175772,"01PB2"
"DPC_DL.pb2",0.001166674,"01PB2"
"DPC_NK.pb2",0.001153676,"01PB2"
"CTriad_g3.g5.g3.pb2",0.001153586,"01PB2"
"DPC_AP.pb2",0.001057753,"01PB2"
"DPC_QY.pb2",0.000965296,"01PB2"
"DPC_TM.pb2",0.000916589,"01PB2"
"CTDT_hydrophobicity_CASG920101.Tr1221.pb2",0.000915524,"01PB2"
"DPC_RQ.pb2",0.000908819,"01PB2"
"CTriad_g6.g6.g1.pb2",0.000897474,"01PB2"
"DPC_RS.pb2",0.000881921,"01PB2"
"CTriad_g2.g6.g2.pb2",0.000851999,"01PB2"
"CTDC_hydrophobicity_ENGD860101.G1.pb2",0.000825212,"01PB2"
"CTDC_hydrophobicity_PONP930101.G1.pb2",0.000817843,"01PB2"
"CTDC_hydrophobicity_CASG920101.G2.pb2",0.000815229,"01PB2"
"CTriad_g5.g2.g6.pb2",0.00080762,"01PB2"
"CTriad_g6.g1.g6.pb2",0.000785398,"01PB2"
"DPC_AV.pb2",0.000780662,"01PB2"
"CTriad_g2.g4.g6.pb2",0.000736433,"01PB2"
"CTriad_g5.g6.g2.pb2",0.000695365,"01PB2"
"DPC_RD.pb2",0.000694099,"01PB2"
"CTriad_g4.g3.g4.pb2",0.000631513,"01PB2"
"CTDD_polarity.2.residue100.pb2",0.000631396,"01PB2"
"DPC_RN.pb2",0.000629667,"01PB2"
"CTriad_g6.g2.g1.pb2",0.000624236,"01PB2"
"DPC_SR.pb2",0.000600048,"01PB2"
"CTriad_g3.g3.g1.pb2",0.000596553,"01PB2"
"CTDC_polarity.G3.pb2",0.000581763,"01PB2"
"CTDD_hydrophobicity_ARGP820101.2.residue75.pb2",0.000576553,"01PB2"
"DPC_DK.pb2",0.000576058,"01PB2"
"CTDC_polarity.G2.pb2",0.000573352,"01PB2"
"DPC_DT.pb2",0.000563031,"01PB2"
"CTDD_hydrophobicity_FASG890101.3.residue100.pb2",0.000542292,"01PB2"
"CTriad_g3.g1.g6.pb2",0.000541938,"01PB2"
"CTDC_hydrophobicity_FASG890101.G2.pb2",0.000534476,"01PB2"
"PAAC_Xc1.L.pb2",0.000533795,"01PB2"
"DPC_LF.pb2",0.000532396,"01PB2"
"CTDC_hydrophobicity_FASG890101.G3.pb2",0.000516425,"01PB2"
"CTDT_hydrophobicity_PRAM900101.Tr1331.pb2",0.000506095,"01PB2"
"DPC_TG.pb2",0.000501995,"01PB2"
"CTriad_g6.g2.g3.pb2",0.000489853,"01PB2"
"CTDD_secondarystruct.3.residue25.pb2",0.000484033,"01PB2"
"CTDD_solventaccess.1.residue100.pb2",0.000480524,"01PB2"
"CTriad_g6.g3.g4.pb2",0.000476528,"01PB2"
"DPC_QI.pb2",0.000470451,"01PB2"
"CTDC_secondarystruct.G1.pb2",0.000469128,"01PB2"
"CTriad_g1.g4.g3.pb2",0.000465789,"01PB2"
"CTDD_hydrophobicity_CASG920101.2.residue75.pb2",0.000464445,"01PB2"
"DPC_GL.pb2",0.000464329,"01PB2"
"CTDT_hydrophobicity_PONP930101.Tr1331.pb2",0.000462878,"01PB2"
"CTDC_hydrophobicity_CASG920101.G1.pb2",0.00045865,"01PB2"
"CTriad_g5.g3.g5.pb2",0.000449432,"01PB2"
"CTDD_hydrophobicity_PONP930101.1.residue50.pb2",0.000447897,"01PB2"
"CTriad_g3.g4.g4.pb2",0.000440757,"01PB2"
"CTriad_g2.g2.g3.pb2",0.000430915,"01PB2"
"CTriad_g3.g4.g2.pb2",0.000417936,"01PB2"
"CTDD_hydrophobicity_FASG890101.2.residue100.pb2",0.000410917,"01PB2"
"CTDD_normwaalsvolume.1.residue50.pb2",0.000405613,"01PB2"
"PAAC_Xc1.V.pb2",0.000382044,"01PB2"
"CTDD_polarizability.1.residue0.pb2",0.000372306,"01PB2"
"DPC_NV.pb2",0.000348119,"01PB2"
"DPC_PE.pb2",0.000343839,"01PB2"
"CTDD_hydrophobicity_PONP930101.1.residue75.pb2",0.000325551,"01PB2"
"DPC_GT.pb2",0.000319116,"01PB2"
"CTDD_hydrophobicity_ARGP820101.1.residue0.pb2",0.00031585,"01PB2"
"CTriad_g6.g2.g6.pb2",0.000310912,"01PB2"
"CTDD_solventaccess.3.residue25.pb2",0.000294808,"01PB2"
"CTriad_g7.g4.g6.pb2",0.000293485,"01PB2"
"CTDD_polarizability.2.residue50.pb2",0.000285633,"01PB2"
"CTDD_hydrophobicity_PRAM900101.3.residue75.pb2",0.000279419,"01PB2"
"CTriad_g5.g1.g5.pb2",0.000277966,"01PB2"
"CTriad_g5.g4.g6.pb2",0.000276025,"01PB2"
"CTriad_g4.g6.g7.pb2",0.000271386,"01PB2"
"CTriad_g6.g3.g3.pb2",0.000271197,"01PB2"
"DPC_KV.pb2",0.000270546,"01PB2"
"CTriad_g4.g1.g5.pb2",0.00026771,"01PB2"
"CTDD_hydrophobicity_ZIMJ680101.2.residue25.pb2",0.000267059,"01PB2"
"DPC_KT.pb2",0.000266192,"01PB2"
"DPC_VP.pb2",0.000258856,"01PB2"
"CTDD_polarity.3.residue25.pb2",0.00025604,"01PB2"
"CTDD_hydrophobicity_PONP930101.1.residue0.pb2",0.00025274,"01PB2"
"DPC_FY.pb2",0.000251991,"01PB2"
"CTriad_g4.g4.g2.pb2",0.000248911,"01PB2"
"DPC_ET.pb2",0.000246831,"01PB2"
"CTDD_secondarystruct.3.residue75.pb2",0.00024569,"01PB2"
"DPC_NG.pb2",0.000240042,"01PB2"
"CTriad_g6.g1.g2.pb2",0.000237252,"01PB2"
"CTriad_g2.g4.g4.pb2",0.000234951,"01PB2"
"DPC_MR.pb2",0.00023411,"01PB2"
"CTriad_g2.g5.g4.pb2",0.000231638,"01PB2"
"CTDD_hydrophobicity_ENGD860101.2.residue50.pb2",0.000230005,"01PB2"
"CTDD_hydrophobicity_ARGP820101.1.residue25.pb2",0.000220997,"01PB2"
"CTriad_g4.g3.g2.pb2",0.000220503,"01PB2"
"CTDD_hydrophobicity_PRAM900101.1.residue75.pb2",0.000215705,"01PB2"
"CTriad_g3.g2.g5.pb2",0.000210717,"01PB2"
"DPC_CK.pb2",0.00021034,"01PB2"
"CTDD_hydrophobicity_CASG920101.1.residue25.pb2",0.000206747,"01PB2"
"CTDD_normwaalsvolume.3.residue75.pb2",0.000206413,"01PB2"
"DPC_NI.pb2",0.000206397,"01PB2"
"CTDT_charge.Tr1221.pb2",0.000206324,"01PB2"
"CTriad_g5.g5.g5.pb2",0.000200057,"01PB2"
"DPC_SI.pb2",0.000199938,"01PB2"
"DPC_NE.pb2",0.000199678,"01PB2"
"DPC_LL.pb2",0.000193014,"01PB2"
"CTDD_hydrophobicity_CASG920101.3.residue50.pb2",0.00019283,"01PB2"
"CTriad_g1.g2.g1.pb2",0.000191853,"01PB2"
"CTriad_g1.g2.g4.pb2",0.000190616,"01PB2"
"DPC_VN.pb2",0.000190287,"01PB2"
"DPC_HM.pb2",0.000188393,"01PB2"
"CTDD_hydrophobicity_CASG920101.1.residue0.pb2",0.000185709,"01PB2"
"DPC_DM.pb2",0.000184637,"01PB2"
"DPC_LE.pb2",0.000182541,"01PB2"
"DPC_AD.pb2",0.000174355,"01PB2"
"CTDD_hydrophobicity_ZIMJ680101.1.residue50.pb2",0.000166361,"01PB2"
"DPC_KG.pb2",0.000166252,"01PB2"
"CTDD_hydrophobicity_ZIMJ680101.3.residue100.pb2",0.000164353,"01PB2"
"DPC_KI.pb2",0.000164216,"01PB2"
"CTDD_charge.3.residue0.pb2",0.000164172,"01PB2"
"DPC_TW.pb2",0.00015983,"01PB2"
"CTriad_g3.g7.g4.pb2",0.000159829,"01PB2"
"DPC_GQ.pb2",0.000157919,"01PB2"
"CTriad_g3.g3.g5.pb2",0.000157714,"01PB2"
"CTDD_hydrophobicity_PRAM900101.3.residue50.pb2",0.000157268,"01PB2"
"DPC_MQ.pb2",0.000155549,"01PB2"
"CTDD_hydrophobicity_CASG920101.2.residue50.pb2",0.000155032,"01PB2"
"CTriad_g6.g5.g5.pb2",0.000153958,"01PB2"
"DPC_FS.pb2",0.000153874,"01PB2"
"PAAC_Xc1.Q.pb2",0.000151174,"01PB2"
"CTDD_hydrophobicity_PONP930101.2.residue0.pb2",0.000150908,"01PB2"
"CTDD_polarizability.3.residue50.pb2",0.000148624,"01PB2"
"CTriad_g6.g4.g4.pb2",0.00014692,"01PB2"
"DPC_SP.pb2",0.000146104,"01PB2"
"CTriad_g2.g6.g3.pb2",0.00014523,"01PB2"
"DPC_RI.pb2",0.000144772,"01PB2"
"CTDD_hydrophobicity_FASG890101.2.residue50.pb2",0.000138776,"01PB2"
"DPC_KS.pb2",0.000138695,"01PB2"
"DPC_RK.pb2",0.000137559,"01PB2"
"CTDT_hydrophobicity_CASG920101.Tr2332.pb2",0.00013752,"01PB2"
"DPC_RF.pb2",0.000136136,"01PB2"
"DPC_QF.pb2",0.000135044,"01PB2"
"CTDC_hydrophobicity_PRAM900101.G1.pb2",0.00013426,"01PB2"
"CTDD_solventaccess.2.residue0.pb2",0.00013421,"01PB2"
"CTriad_g5.g6.g3.pb2",0.000133584,"01PB2"
"CTriad_g3.g6.g6.pb2",0.000131774,"01PB2"
"CTriad_g3.g5.g5.pb2",0.000130348,"01PB2"
"DPC_IE.pb2",0.000127237,"01PB2"
"DPC_YF.pb2",0.000125525,"01PB2"
"DPC_TT.pb2",0.000123605,"01PB2"
"DPC_WT.pb2",0.000123231,"01PB2"
"DPC_FT.pb2",0.000123123,"01PB2"
"CTDD_hydrophobicity_PONP930101.2.residue100.pb2",0.000120456,"01PB2"
"CTriad_g1.g1.g2.pb2",0.000119812,"01PB2"
"CTriad_g5.g2.g2.pb2",0.000119343,"01PB2"
"DPC_QV.pb2",0.000118579,"01PB2"
"DPC_DS.pb2",0.000116072,"01PB2"
"CTDD_secondarystruct.1.residue0.pb2",0.000115487,"01PB2"
"CTDC_hydrophobicity_ENGD860101.G2.pb2",0.000114801,"01PB2"
"CTDT_hydrophobicity_ARGP820101.Tr1331.pb2",0.000114484,"01PB2"
"DPC_EG.pb2",0.000114184,"01PB2"
"DPC_AQ.pb2",0.000113971,"01PB2"
"DPC_YI.pb2",0.000112938,"01PB2"
"DPC_LK.pb2",0.000112879,"01PB2"
"DPC_MS.pb2",0.000111246,"01PB2"
"DPC_ED.pb2",0.000110627,"01PB2"
"DPC_SE.pb2",0.000109751,"01PB2"
"DPC_VM.pb2",0.000108974,"01PB2"
"CTriad_g6.g5.g6.pb2",0.000106281,"01PB2"
"CTriad_g1.g6.g5.pb2",0.000106255,"01PB2"
"CTriad_g4.g6.g6.pb2",0.000104508,"01PB2"
"CTDD_hydrophobicity_FASG890101.1.residue0.pb2",0.000103553,"01PB2"
"CTDD_hydrophobicity_ENGD860101.3.residue0.pb2",0.000101869,"01PB2"
"DPC_LA.pb2",0.000101594,"01PB2"
"CTDD_hydrophobicity_ARGP820101.2.residue0.pb2",0.00010145,"01PB2"
"DPC_WM.pb2",0.000101302,"01PB2"
"DPC_PK.pb2",0.000101006,"01PB2"
"CTDD_hydrophobicity_CASG920101.3.residue25.pb2",0.000100307,"01PB2"
"DPC_HK.pb2",9.95e-05,"01PB2"
"DPC_SL.pb2",9.59e-05,"01PB2"
"DPC_WN.pb2",9.58e-05,"01PB2"
"DPC_LW.pb2",9.55e-05,"01PB2"
"CTriad_g5.g2.g1.pb2",9.41e-05,"01PB2"
"CTDD_hydrophobicity_ENGD860101.3.residue100.pb2",9.4e-05,"01PB2"
"DPC_NY.pb2",9.35e-05,"01PB2"
"DPC_ND.pb2",9.34e-05,"01PB2"
"CTDD_solventaccess.2.residue75.pb2",9.34e-05,"01PB2"
"CTDD_hydrophobicity_ENGD860101.2.residue0.pb2",9.29e-05,"01PB2"
"CTDD_polarity.2.residue25.pb2",9.24e-05,"01PB2"
"CTriad_g6.g4.g3.pb2",9.15e-05,"01PB2"
"DPC_PM.pb2",9.15e-05,"01PB2"
"DPC_FA.pb2",9.15e-05,"01PB2"
"CTDD_hydrophobicity_PRAM900101.1.residue0.pb2",8.96e-05,"01PB2"
"DPC_YM.pb2",8.85e-05,"01PB2"
"DPC_TE.pb2",8.84e-05,"01PB2"
"CTriad_g5.g6.g6.pb2",8.64e-05,"01PB2"
"CTDD_polarizability.1.residue25.pb2",8.32e-05,"01PB2"
"DPC_YP.pb2",8.26e-05,"01PB2"
"CTriad_g3.g4.g5.pb2",8.16e-05,"01PB2"
"CTDD_polarizability.2.residue0.pb2",7.99e-05,"01PB2"
"DPC_HA.pb2",7.84e-05,"01PB2"
"CTDD_hydrophobicity_ARGP820101.1.residue50.pb2",7.74e-05,"01PB2"
"DPC_EL.pb2",7.46e-05,"01PB2"
"DPC_PN.pb2",7.25e-05,"01PB2"
"CTDD_polarity.2.residue0.pb2",7.2e-05,"01PB2"
"CTDD_secondarystruct.1.residue50.pb2",7.06e-05,"01PB2"
"DPC_EQ.pb2",7.02e-05,"01PB2"
"CTriad_g2.g7.g5.pb2",6.88e-05,"01PB2"
"DPC_MW.pb2",6.86e-05,"01PB2"
"CTDD_hydrophobicity_PONP930101.3.residue75.pb2",6.84e-05,"01PB2"
"DPC_TY.pb2",6.79e-05,"01PB2"
"CTDD_hydrophobicity_PONP930101.2.residue75.pb2",6.72e-05,"01PB2"
"CTriad_g5.g3.g6.pb2",6.68e-05,"01PB2"
"CTDD_hydrophobicity_CASG920101.3.residue0.pb2",6.6e-05,"01PB2"
"CTriad_g1.g5.g6.pb2",6.56e-05,"01PB2"
"CTriad_g3.g6.g5.pb2",6.54e-05,"01PB2"
"DPC_TP.pb2",6.48e-05,"01PB2"
"DPC_YL.pb2",6.45e-05,"01PB2"
"CTriad_g2.g1.g4.pb2",6.39e-05,"01PB2"
"CTDD_normwaalsvolume.1.residue0.pb2",6.37e-05,"01PB2"
"CTDT_solventaccess.Tr2332.pb2",6.26e-05,"01PB2"
"DPC_AY.pb2",6.25e-05,"01PB2"
"DPC_PP.pb2",6.09e-05,"01PB2"
"CTDD_hydrophobicity_ARGP820101.3.residue0.pb2",6.06e-05,"01PB2"
"DPC_LM.pb2",5.99e-05,"01PB2"
"CTDD_hydrophobicity_PRAM900101.1.residue50.pb2",5.92e-05,"01PB2"
"CTDD_hydrophobicity_PRAM900101.2.residue100.pb2",5.82e-05,"01PB2"
"DPC_DE.pb2",5.8e-05,"01PB2"
"CTriad_g3.g3.g6.pb2",5.77e-05,"01PB2"
"DPC_II.pb2",5.73e-05,"01PB2"
"DPC_RE.pb2",5.72e-05,"01PB2"
"CTDD_hydrophobicity_PRAM900101.3.residue0.pb2",5.66e-05,"01PB2"
"CTDD_hydrophobicity_CASG920101.1.residue50.pb2",5.59e-05,"01PB2"
"DPC_IN.pb2",5.58e-05,"01PB2"
"DPC_AR.pb2",5.54e-05,"01PB2"
"CTDD_secondarystruct.1.residue25.pb2",5.47e-05,"01PB2"
"CTDD_hydrophobicity_PRAM900101.3.residue100.pb2",5.37e-05,"01PB2"
"DPC_DP.pb2",5.36e-05,"01PB2"
"CTriad_g4.g6.g4.pb2",5.22e-05,"01PB2"
"CTriad_g4.g7.g5.pb2",4.88e-05,"01PB2"
"CTriad_g1.g3.g3.pb2",4.78e-05,"01PB2"
"CTDD_solventaccess.2.residue25.pb2",4.54e-05,"01PB2"
