,var,AUC_loss
1031,CTDT_charge.Tr1221.ha,0.00706658
1034,CTDT_secondarystruct.Tr1221.ha,0.005225871
1038,CTDT_solventaccess.Tr1331.ha,0.004226324
1014,CTDT_hydrophobicity_CASG920101.Tr1331.ha,0.004115506
1006,CTDT_hydrophobicity_ARGP820101.Tr2332.ha,0.003746598
1029,CTDT_polarizability.Tr1331.ha,0.003410854
1004,CTDT_hydrophobicity_ARGP820101.Tr1221.ha,0.003333596
1008,CTDT_hydrophobicity_ZIMJ680101.Tr1331.ha,0.003084428
348,PAAC_Xc1.C.ha,0.002913294
842,CTDD_hydrophobicity_ZIMJ680101.2.residue25.ha,0.002715861
345,PAAC_Xc1.R.ha,0.002424411
547,DPC_LA.ha,0.002280165
442,DPC_ES.ha,0.002201811
376,DPC_AL.ha,0.001969364
576,DPC_ML.ha,0.001965756
40,CTriad_g1.g6.g5.ha,0.001917025
897,CTDD_hydrophobicity_FASG890101.1.residue25.ha,0.001863818
523,DPC_IT.ha,0.001851897
359,PAAC_Xc1.S.ha,0.001713191
1028,CTDT_polarizability.Tr1221.ha,0.001691804
1020,CTDT_hydrophobicity_FASG890101.Tr1331.ha,0.001649951
719,DPC_VP.ha,0.001532396
137,CTriad_g3.g6.g4.ha,0.00150091
208,CTriad_g5.g2.g5.ha,0.001466102
701,DPC_TR.ha,0.001418391
709,DPC_VD.ha,0.001410709
481,DPC_GR.ha,0.001323606
471,DPC_GF.ha,0.001322402
1035,CTDT_secondarystruct.Tr1331.ha,0.001301373
783,CTDC_hydrophobicity_ENGD860101.G2.ha,0.001286178
627,DPC_QA.ha,0.001284164
750,DPC_YE.ha,0.001283771
263,CTriad_g6.g3.g4.ha,0.001242437
515,DPC_IK.ha,0.001209457
764,DPC_YV.ha,0.001204773
379,DPC_AP.ha,0.001181964
380,DPC_AQ.ha,0.001172499
378,DPC_AN.ha,0.001167895
466,DPC_FY.ha,0.001150645
712,DPC_VG.ha,0.001148506
527,DPC_KA.ha,0.001131123
500,DPC_HQ.ha,0.001079806
557,DPC_LM.ha,0.001064956
603,DPC_NT.ha,0.001021412
131,CTriad_g3.g5.g5.ha,0.001021029
483,DPC_GT.ha,0.001015358
766,DPC_YY.ha,0.001012539
616,DPC_PL.ha,0.000990509
463,DPC_FT.ha,0.000988757
1001,CTDT_hydrophobicity_PRAM900101.Tr1221.ha,0.00097536
455,DPC_FK.ha,0.000966476
488,DPC_HC.ha,0.000955412
618,DPC_PN.ha,0.000942987
858,CTDD_hydrophobicity_PONP930101.2.residue50.ha,0.000931948
79,CTriad_g2.g5.g2.ha,0.000929479
434,DPC_EI.ha,0.000927912
192,CTriad_g4.g7.g3.ha,0.000927362
397,DPC_CM.ha,0.000917529
620,DPC_PQ.ha,0.000912024
424,DPC_DV.ha,0.000904424
366,PAAC_Xc2.lambda3.ha,0.000897334
165,CTriad_g4.g3.g4.ha,0.000896086
26,CTriad_g1.g4.g5.ha,0.000881098
472,DPC_GG.ha,0.000880486
447,DPC_FA.ha,0.000852652
120,CTriad_g3.g4.g1.ha,0.000852255
122,CTriad_g3.g4.g3.ha,0.000844978
526,DPC_IY.ha,0.000842125
754,DPC_YI.ha,0.000841597
456,DPC_FL.ha,0.000841014
1017,CTDT_hydrophobicity_ENGD860101.Tr1331.ha,0.000840802
1016,CTDT_hydrophobicity_ENGD860101.Tr1221.ha,0.000839436
667,DPC_SA.ha,0.000836712
432,DPC_EG.ha,0.00081122
598,DPC_NN.ha,0.000805543
173,CTriad_g4.g4.g5.ha,0.000799905
240,CTriad_g5.g7.g2.ha,0.000785925
169,CTriad_g4.g4.g1.ha,0.000779644
368,DPC_AC.ha,0.000779322
542,DPC_KS.ha,0.000774076
477,DPC_GM.ha,0.000770255
371,DPC_AF.ha,0.000764393
1011,CTDT_hydrophobicity_PONP930101.Tr1331.ha,0.000762794
683,DPC_ST.ha,0.000759791
995,CTDD_solventaccess.2.residue100.ha,0.000758947
284,CTriad_g6.g6.g4.ha,0.000758199
307,CTriad_g7.g2.g6.ha,0.000758092
595,DPC_NK.ha,0.000753466
899,CTDD_hydrophobicity_FASG890101.1.residue75.ha,0.000740796
139,CTriad_g3.g6.g6.ha,0.000730007
670,DPC_SE.ha,0.000728268
579,DPC_MP.ha,0.000727668
140,CTriad_g3.g6.g7.ha,0.000726979
734,DPC_WI.ha,0.000723552
