,var,AUC_loss
882,CTDD_hydrophobicity_ENGD860101.1.residue25.m1,0.009254874
963,CTDD_charge.2.residue50.m1,0.008834823
788,CTDC_normwaalsvolume.G1.m1,0.007577212
819,CTDD_hydrophobicity_PRAM900101.3.residue75.m1,0.007329505
923,CTDD_normwaalsvolume.3.residue50.m1,0.00629004
789,CTDC_normwaalsvolume.G2.m1,0.00614444
793,CTDC_polarity.G3.m1,0.005845939
772,CTDC_hydrophobicity_ARGP820101.G3.m1,0.005484817
879,CTDD_hydrophobicity_CASG920101.3.residue75.m1,0.005428551
798,CTDC_charge.G2.m1,0.005342779
792,CTDC_polarity.G2.m1,0.005219956
838,CTDD_hydrophobicity_ZIMJ680101.1.residue50.m1,0.005163555
973,CTDD_secondarystruct.1.residue50.m1,0.004860946
867,CTDD_hydrophobicity_CASG920101.1.residue25.m1,0.004805423
907,CTDD_hydrophobicity_FASG890101.3.residue25.m1,0.004739276
823,CTDD_hydrophobicity_ARGP820101.1.residue50.m1,0.004677247
785,CTDC_hydrophobicity_FASG890101.G1.m1,0.004345139
844,CTDD_hydrophobicity_ZIMJ680101.2.residue75.m1,0.004195529
979,CTDD_secondarystruct.2.residue75.m1,0.004177181
937,CTDD_polarity.3.residue25.m1,0.00414169
948,CTDD_polarizability.2.residue50.m1,0.003977799
919,CTDD_normwaalsvolume.2.residue75.m1,0.003944601
878,CTDD_hydrophobicity_CASG920101.3.residue50.m1,0.003920104
974,CTDD_secondarystruct.1.residue75.m1,0.00384604
863,CTDD_hydrophobicity_PONP930101.3.residue50.m1,0.003776793
842,CTDD_hydrophobicity_ZIMJ680101.2.residue25.m1,0.003463058
873,CTDD_hydrophobicity_CASG920101.2.residue50.m1,0.003438416
904,CTDD_hydrophobicity_FASG890101.2.residue75.m1,0.003380362
755,DPC_YK.m1,0.003287392
672,DPC_SG.m1,0.00324699
352,PAAC_Xc1.H.m1,0.003187055
917,CTDD_normwaalsvolume.2.residue25.m1,0.00314039
918,CTDD_normwaalsvolume.2.residue50.m1,0.00298117
953,CTDD_polarizability.3.residue50.m1,0.002941529
972,CTDD_secondarystruct.1.residue25.m1,0.002884098
933,CTDD_polarity.2.residue50.m1,0.002808551
864,CTDD_hydrophobicity_PONP930101.3.residue75.m1,0.002768132
781,CTDC_hydrophobicity_CASG920101.G3.m1,0.002657229
897,CTDD_hydrophobicity_FASG890101.1.residue25.m1,0.002638728
834,CTDD_hydrophobicity_ARGP820101.3.residue75.m1,0.002628478
943,CTDD_polarizability.1.residue50.m1,0.002612604
929,CTDD_polarity.1.residue75.m1,0.002588498
813,CTDD_hydrophobicity_PRAM900101.2.residue50.m1,0.002576526
767,CTDC_hydrophobicity_PRAM900101.G1.m1,0.002557988
839,CTDD_hydrophobicity_ZIMJ680101.1.residue75.m1,0.002542724
777,CTDC_hydrophobicity_PONP930101.G2.m1,0.002520502
833,CTDD_hydrophobicity_ARGP820101.3.residue50.m1,0.002492777
983,CTDD_secondarystruct.3.residue50.m1,0.002424292
894,CTDD_hydrophobicity_ENGD860101.3.residue75.m1,0.002403945
773,CTDC_hydrophobicity_ZIMJ680101.G1.m1,0.002395599
876,CTDD_hydrophobicity_CASG920101.3.residue0.m1,0.0023904
898,CTDD_hydrophobicity_FASG890101.1.residue50.m1,0.002340935
152,CTriad_g4.g1.g5.m1,0.002317016
992,CTDD_solventaccess.2.residue25.m1,0.002294997
801,CTDC_secondarystruct.G2.m1,0.00226821
982,CTDD_secondarystruct.3.residue25.m1,0.002256543
761,DPC_YR.m1,0.002245724
914,CTDD_normwaalsvolume.1.residue75.m1,0.002130834
812,CTDD_hydrophobicity_PRAM900101.2.residue25.m1,0.002117511
909,CTDD_hydrophobicity_FASG890101.3.residue75.m1,0.002091843
804,CTDC_solventaccess.G2.m1,0.002058354
976,CTDD_secondarystruct.2.residue0.m1,0.002024883
827,CTDD_hydrophobicity_ARGP820101.2.residue25.m1,0.002022929
858,CTDD_hydrophobicity_PONP930101.2.residue50.m1,0.00201599
952,CTDD_polarizability.3.residue25.m1,0.002005857
872,CTDD_hydrophobicity_CASG920101.2.residue25.m1,0.001990527
899,CTDD_hydrophobicity_FASG890101.1.residue75.m1,0.001979436
994,CTDD_solventaccess.2.residue75.m1,0.001965626
922,CTDD_normwaalsvolume.3.residue25.m1,0.001954667
932,CTDD_polarity.2.residue25.m1,0.001951118
248,CTriad_g6.g1.g3.m1,0.001917135
822,CTDD_hydrophobicity_ARGP820101.1.residue25.m1,0.001915763
984,CTDD_secondarystruct.3.residue75.m1,0.001896838
893,CTDD_hydrophobicity_ENGD860101.3.residue50.m1,0.001877234
892,CTDD_hydrophobicity_ENGD860101.3.residue25.m1,0.001854844
887,CTDD_hydrophobicity_ENGD860101.2.residue25.m1,0.001843736
847,CTDD_hydrophobicity_ZIMJ680101.3.residue25.m1,0.001817243
849,CTDD_hydrophobicity_ZIMJ680101.3.residue75.m1,0.001791173
853,CTDD_hydrophobicity_PONP930101.1.residue50.m1,0.001783186
372,DPC_AG.m1,0.001771679
949,CTDD_polarizability.2.residue75.m1,0.001726188
596,DPC_NL.m1,0.001704259
912,CTDD_normwaalsvolume.1.residue25.m1,0.001640849
947,CTDD_polarizability.2.residue25.m1,0.00156713
989,CTDD_solventaccess.1.residue75.m1,0.001548057
808,CTDD_hydrophobicity_PRAM900101.1.residue50.m1,0.001519284
703,DPC_TT.m1,0.001513308
100,CTriad_g3.g1.g2.m1,0.001474773
641,DPC_QR.m1,0.001410832
913,CTDD_normwaalsvolume.1.residue50.m1,0.001356167
993,CTDD_solventaccess.2.residue50.m1,0.001311272
555,DPC_LK.m1,0.001248965
869,CTDD_hydrophobicity_CASG920101.1.residue75.m1,0.001229904
826,CTDD_hydrophobicity_ARGP820101.2.residue0.m1,0.001226776
859,CTDD_hydrophobicity_PONP930101.2.residue75.m1,0.001207959
716,DPC_VL.m1,0.001207874
902,CTDD_hydrophobicity_FASG890101.2.residue25.m1,0.00120357
938,CTDD_polarity.3.residue50.m1,0.001183282
978,CTDD_secondarystruct.2.residue50.m1,0.001181271
877,CTDD_hydrophobicity_CASG920101.3.residue25.m1,0.001170891
589,DPC_ND.m1,0.001148022
90,CTriad_g2.g6.g6.m1,0.001146373
774,CTDC_hydrophobicity_ZIMJ680101.G2.m1,0.001125827
166,CTriad_g4.g3.g5.m1,0.001124577
795,CTDC_polarizability.G2.m1,0.001124329
281,CTriad_g6.g6.g1.m1,0.001117373
381,DPC_AR.m1,0.001109948
552,DPC_LG.m1,0.001088914
713,DPC_VH.m1,0.001054018
556,DPC_LL.m1,0.001029219
977,CTDD_secondarystruct.2.residue25.m1,0.001021807
935,CTDD_polarity.2.residue100.m1,0.001021281
903,CTDD_hydrophobicity_FASG890101.2.residue50.m1,0.001020021
374,DPC_AI.m1,0.001010591
828,CTDD_hydrophobicity_ARGP820101.2.residue50.m1,0.000988837
874,CTDD_hydrophobicity_CASG920101.2.residue75.m1,0.000957927
957,CTDD_charge.1.residue25.m1,0.000934498
908,CTDD_hydrophobicity_FASG890101.3.residue50.m1,0.000925703
523,DPC_IT.m1,0.000919484
232,CTriad_g5.g6.g1.m1,0.000915728
962,CTDD_charge.2.residue25.m1,0.000912771
888,CTDD_hydrophobicity_ENGD860101.2.residue50.m1,0.000870603
769,CTDC_hydrophobicity_PRAM900101.G3.m1,0.000851634
156,CTriad_g4.g2.g2.m1,0.00084524
884,CTDD_hydrophobicity_ENGD860101.1.residue75.m1,0.000825627
515,DPC_IK.m1,0.000798462
514,DPC_II.m1,0.000791411
852,CTDD_hydrophobicity_PONP930101.1.residue25.m1,0.000784694
135,CTriad_g3.g6.g2.m1,0.000723778
924,CTDD_normwaalsvolume.3.residue75.m1,0.000716502
998,CTDD_solventaccess.3.residue50.m1,0.00071538
268,CTriad_g6.g4.g2.m1,0.00070544
434,DPC_EI.m1,0.000702084
562,DPC_LS.m1,0.000701229
267,CTriad_g6.g4.g1.m1,0.000674223
127,CTriad_g3.g5.g1.m1,0.000661243
928,CTDD_polarity.1.residue50.m1,0.000660634
452,DPC_FG.m1,0.000657762
212,CTriad_g5.g3.g2.m1,0.000653463
883,CTDD_hydrophobicity_ENGD860101.1.residue50.m1,0.000644163
832,CTDD_hydrophobicity_ARGP820101.3.residue25.m1,0.000604562
817,CTDD_hydrophobicity_PRAM900101.3.residue25.m1,0.000590984
889,CTDD_hydrophobicity_ENGD860101.2.residue75.m1,0.000590902
85,CTriad_g2.g6.g1.m1,0.000564525
987,CTDD_solventaccess.1.residue25.m1,0.000551419
115,CTriad_g3.g3.g3.m1,0.000546689
441,DPC_ER.m1,0.000542835
796,CTDC_polarizability.G3.m1,0.000538973
474,DPC_GI.m1,0.000512698
129,CTriad_g3.g5.g3.m1,0.000508534
254,CTriad_g6.g2.g2.m1,0.000499016
519,DPC_IP.m1,0.000497861
71,CTriad_g2.g4.g1.m1,0.000485324
150,CTriad_g4.g1.g3.m1,0.000477173
802,CTDC_secondarystruct.G3.m1,0.000476191
814,CTDD_hydrophobicity_PRAM900101.2.residue75.m1,0.000468546
651,DPC_RF.m1,0.000464771
18,CTriad_g1.g3.g4.m1,0.000436946
52,CTriad_g2.g1.g3.m1,0.00043659
367,DPC_AA.m1,0.000422923
829,CTDD_hydrophobicity_ARGP820101.2.residue75.m1,0.000419329
597,DPC_NM.m1,0.000416401
490,DPC_HE.m1,0.000409802
516,DPC_IL.m1,0.000394656
997,CTDD_solventaccess.3.residue25.m1,0.000394607
791,CTDC_polarity.G1.m1,0.000385129
794,CTDC_polarizability.G1.m1,0.00038067
445,DPC_EW.m1,0.000378208
857,CTDD_hydrophobicity_PONP930101.2.residue25.m1,0.000369513
618,DPC_PN.m1,0.000369122
698,DPC_TN.m1,0.000363897
375,DPC_AK.m1,0.000363078
475,DPC_GK.m1,0.000356249
868,CTDD_hydrophobicity_CASG920101.1.residue50.m1,0.000352773
482,DPC_GS.m1,0.000348434
807,CTDD_hydrophobicity_PRAM900101.1.residue25.m1,0.000337923
563,DPC_LT.m1,0.000333678
38,CTriad_g1.g6.g3.m1,0.000332711
758,DPC_YN.m1,0.000331662
592,DPC_NG.m1,0.000324394
387,DPC_CA.m1,0.000322232
124,CTriad_g3.g4.g5.m1,0.000317779
711,DPC_VF.m1,0.000313283
616,DPC_PL.m1,0.000311995
569,DPC_MD.m1,0.000308385
532,DPC_KG.m1,0.000305136
557,DPC_LM.m1,0.000302161
263,CTriad_g6.g3.g4.m1,0.000301736
377,DPC_AM.m1,0.0003005
674,DPC_SI.m1,0.000296313
558,DPC_LN.m1,0.000293721
99,CTriad_g3.g1.g1.m1,0.000293388
695,DPC_TK.m1,0.000291333
688,DPC_TC.m1,0.000288894
783,CTDC_hydrophobicity_ENGD860101.G2.m1,0.000285025
255,CTriad_g6.g2.g3.m1,0.000281228
799,CTDC_charge.G3.m1,0.000272512
155,CTriad_g4.g2.g1.m1,0.000270981
679,DPC_SP.m1,0.000269634
988,CTDD_solventaccess.1.residue50.m1,0.000267068
690,DPC_TE.m1,0.000265962
529,DPC_KD.m1,0.000264023
570,DPC_ME.m1,0.000257011
655,DPC_RK.m1,0.000255775
696,DPC_TL.m1,0.000247228
215,CTriad_g5.g3.g5.m1,0.000246784
