,var,AUC_loss
492,DPC_HG.na,0.002637604
791,CTDC_polarity.G1.na,0.002481945
789,CTDC_normwaalsvolume.G2.na,0.002301768
872,CTDD_hydrophobicity_CASG920101.2.residue25.na,0.001949061
771,CTDC_hydrophobicity_ARGP820101.G2.na,0.001816859
781,CTDC_hydrophobicity_CASG920101.G3.na,0.001778533
774,CTDC_hydrophobicity_ZIMJ680101.G2.na,0.001670232
685,DPC_SW.na,0.001561955
362,PAAC_Xc1.Y.na,0.001496485
350,PAAC_Xc1.E.na,0.001406476
1020,CTDT_hydrophobicity_FASG890101.Tr1331.na,0.001393899
784,CTDC_hydrophobicity_ENGD860101.G3.na,0.001387118
560,DPC_LQ.na,0.001369667
797,CTDC_charge.G1.na,0.001320163
131,CTriad_g3.g5.g5.na,0.001281523
798,CTDC_charge.G2.na,0.001277243
352,PAAC_Xc1.H.na,0.00123323
357,PAAC_Xc1.F.na,0.001225067
344,PAAC_Xc1.A.na,0.001161386
769,CTDC_hydrophobicity_PRAM900101.G3.na,0.001154897
1018,CTDT_hydrophobicity_ENGD860101.Tr2332.na,0.001149758
1038,CTDT_solventaccess.Tr1331.na,0.001133984
1005,CTDT_hydrophobicity_ARGP820101.Tr1331.na,0.001088339
802,CTDC_secondarystruct.G3.na,0.00108736
55,CTriad_g2.g1.g6.na,0.001034101
824,CTDD_hydrophobicity_ARGP820101.1.residue75.na,0.001033891
44,CTriad_g1.g7.g2.na,0.000982452
171,CTriad_g4.g4.g3.na,0.000944836
1008,CTDT_hydrophobicity_ZIMJ680101.Tr1331.na,0.000853857
57,CTriad_g2.g2.g1.na,0.000826208
353,PAAC_Xc1.I.na,0.00082505
794,CTDC_polarizability.G1.na,0.000788225
289,CTriad_g6.g7.g2.na,0.000766223
501,DPC_HR.na,0.000762759
86,CTriad_g2.g6.g2.na,0.000757685
346,PAAC_Xc1.N.na,0.000740317
768,CTDC_hydrophobicity_PRAM900101.G2.na,0.000729333
1011,CTDT_hydrophobicity_PONP930101.Tr1331.na,0.000725402
754,DPC_YI.na,0.000688277
386,DPC_AY.na,0.000686761
378,DPC_AN.na,0.000676412
403,DPC_CT.na,0.00066794
303,CTriad_g7.g2.g2.na,0.000665597
792,CTDC_polarity.G2.na,0.000656346
197,CTriad_g5.g1.g1.na,0.000651157
59,CTriad_g2.g2.g3.na,0.000642276
662,DPC_RS.na,0.000641271
805,CTDC_solventaccess.G3.na,0.00064122
776,CTDC_hydrophobicity_PONP930101.G1.na,0.000633932
349,PAAC_Xc1.Q.na,0.000633902
626,DPC_PY.na,0.00061112
312,CTriad_g7.g3.g4.na,0.000611023
187,CTriad_g4.g6.g5.na,0.000605326
33,CTriad_g1.g5.g5.na,0.000604249
26,CTriad_g1.g4.g5.na,0.000587514
232,CTriad_g5.g6.g1.na,0.00056251
770,CTDC_hydrophobicity_ARGP820101.G1.na,0.000557979
474,DPC_GI.na,0.000553944
134,CTriad_g3.g6.g1.na,0.000539953
752,DPC_YG.na,0.00053746
135,CTriad_g3.g6.g2.na,0.000534887
103,CTriad_g3.g1.g5.na,0.000534337
281,CTriad_g6.g6.g1.na,0.000526559
869,CTDD_hydrophobicity_CASG920101.1.residue75.na,0.000521071
523,DPC_IT.na,0.00050444
157,CTriad_g4.g2.g3.na,0.00050373
170,CTriad_g4.g4.g2.na,0.000494091
58,CTriad_g2.g2.g2.na,0.0004836
112,CTriad_g3.g2.g7.na,0.000481897
982,CTDD_secondarystruct.3.residue25.na,0.000478149
470,DPC_GE.na,0.000473358
914,CTDD_normwaalsvolume.1.residue75.na,0.000472258
656,DPC_RL.na,0.000465802
651,DPC_RF.na,0.000465082
715,DPC_VK.na,0.000460784
877,CTDD_hydrophobicity_CASG920101.3.residue25.na,0.000456163
