,var,AUC_loss
355,PAAC_Xc1.K.np,0.004995106
349,PAAC_Xc1.Q.np,0.003755084
353,PAAC_Xc1.I.np,0.003089082
350,PAAC_Xc1.E.np,0.002845053
875,CTDD_hydrophobicity_CASG920101.2.residue100.np,0.002791895
357,PAAC_Xc1.F.np,0.002453832
882,CTDD_hydrophobicity_ENGD860101.1.residue25.np,0.002309509
352,PAAC_Xc1.H.np,0.00225993
944,CTDD_polarizability.1.residue75.np,0.002189616
887,CTDD_hydrophobicity_ENGD860101.2.residue25.np,0.002072
364,PAAC_Xc2.lambda1.np,0.001933327
363,PAAC_Xc1.V.np,0.001905498
880,CTDD_hydrophobicity_CASG920101.3.residue100.np,0.00177613
225,CTriad_g5.g5.g1.np,0.001727564
358,PAAC_Xc1.P.np,0.001695481
359,PAAC_Xc1.S.np,0.001682294
536,DPC_KL.np,0.00163298
834,CTDD_hydrophobicity_ARGP820101.3.residue75.np,0.001622417
229,CTriad_g5.g5.g5.np,0.001467951
828,CTDD_hydrophobicity_ARGP820101.2.residue50.np,0.001455302
822,CTDD_hydrophobicity_ARGP820101.1.residue25.np,0.001428034
232,CTriad_g5.g6.g1.np,0.001366385
990,CTDD_solventaccess.1.residue100.np,0.001365912
20,CTriad_g1.g3.g6.np,0.001328243
201,CTriad_g5.g1.g5.np,0.001293728
348,PAAC_Xc1.C.np,0.001283251
914,CTDD_normwaalsvolume.1.residue75.np,0.001256946
919,CTDD_normwaalsvolume.2.residue75.np,0.001209525
483,DPC_GT.np,0.001173868
361,PAAC_Xc1.W.np,0.001153913
974,CTDD_secondarystruct.1.residue75.np,0.001152048
535,DPC_KK.np,0.001084855
904,CTDD_hydrophobicity_FASG890101.2.residue75.np,0.001078334
473,DPC_GH.np,0.001037069
281,CTriad_g6.g6.g1.np,0.001002482
949,CTDD_polarizability.2.residue75.np,0.00099322
972,CTDD_secondarystruct.1.residue25.np,0.000983809
827,CTDD_hydrophobicity_ARGP820101.2.residue25.np,0.000981879
169,CTriad_g4.g4.g1.np,0.000970979
638,DPC_QN.np,0.000937324
832,CTDD_hydrophobicity_ARGP820101.3.residue25.np,0.000905321
72,CTriad_g2.g4.g2.np,0.000858298
714,DPC_VI.np,0.000855073
416,DPC_DL.np,0.000843857
629,DPC_QD.np,0.000843319
362,PAAC_Xc1.Y.np,0.000822565
584,DPC_MV.np,0.000816405
661,DPC_RR.np,0.00076689
1009,CTDT_hydrophobicity_ZIMJ680101.Tr2332.np,0.000766735
1026,CTDT_polarity.Tr1331.np,0.000750283
101,CTriad_g3.g1.g3.np,0.000726789
480,DPC_GQ.np,0.000716856
771,CTDC_hydrophobicity_ARGP820101.G2.np,0.000701067
221,CTriad_g5.g4.g4.np,0.000684546
796,CTDC_polarizability.G3.np,0.000683518
106,CTriad_g3.g2.g1.np,0.000680323
802,CTDC_secondarystruct.G3.np,0.000675092
475,DPC_GK.np,0.000655543
862,CTDD_hydrophobicity_PONP930101.3.residue25.np,0.000644796
937,CTDD_polarity.3.residue25.np,0.000641006
963,CTDD_charge.2.residue50.np,0.000636691
899,CTDD_hydrophobicity_FASG890101.1.residue75.np,0.000635757
1024,CTDT_normwaalsvolume.Tr2332.np,0.000630555
895,CTDD_hydrophobicity_ENGD860101.3.residue100.np,0.000626597
820,CTDD_hydrophobicity_PRAM900101.3.residue100.np,0.000624512
735,DPC_WK.np,0.000620096
872,CTDD_hydrophobicity_CASG920101.2.residue25.np,0.000603295
1003,CTDT_hydrophobicity_PRAM900101.Tr2332.np,0.000586583
636,DPC_QL.np,0.000570345
345,PAAC_Xc1.R.np,0.000564389
365,PAAC_Xc2.lambda2.np,0.000560182
209,CTriad_g5.g2.g6.np,0.000558072
874,CTDD_hydrophobicity_CASG920101.2.residue75.np,0.000550487
344,PAAC_Xc1.A.np,0.000537514
1030,CTDT_polarizability.Tr2332.np,0.000534994
772,CTDC_hydrophobicity_ARGP820101.G3.np,0.000524664
87,CTriad_g2.g6.g3.np,0.000513865
849,CTDD_hydrophobicity_ZIMJ680101.3.residue75.np,0.000497388
968,CTDD_charge.3.residue50.np,0.000475567
230,CTriad_g5.g5.g6.np,0.000470616
843,CTDD_hydrophobicity_ZIMJ680101.2.residue50.np,0.000469066
829,CTDD_hydrophobicity_ARGP820101.2.residue75.np,0.000462127
360,PAAC_Xc1.T.np,0.000448279
951,CTDD_polarizability.3.residue0.np,0.000430096
776,CTDC_hydrophobicity_PONP930101.G1.np,0.000421084
864,CTDD_hydrophobicity_PONP930101.3.residue75.np,0.000415431
921,CTDD_normwaalsvolume.3.residue0.np,0.000402711
923,CTDD_normwaalsvolume.3.residue50.np,0.000387827
113,CTriad_g3.g3.g1.np,0.000381287
980,CTDD_secondarystruct.2.residue100.np,0.000379538
841,CTDD_hydrophobicity_ZIMJ680101.2.residue0.np,0.000373882
166,CTriad_g4.g3.g5.np,0.000364969
816,CTDD_hydrophobicity_PRAM900101.3.residue0.np,0.000362142
983,CTDD_secondarystruct.3.residue50.np,0.000350664
30,CTriad_g1.g5.g2.np,0.000347622
926,CTDD_polarity.1.residue0.np,0.00034762
351,PAAC_Xc1.G.np,0.000341407
37,CTriad_g1.g6.g2.np,0.000338004
891,CTDD_hydrophobicity_ENGD860101.3.residue0.np,0.000334134
804,CTDC_solventaccess.G2.np,0.000326027
426,DPC_DY.np,0.000312958
782,CTDC_hydrophobicity_ENGD860101.G1.np,0.000306982
961,CTDD_charge.2.residue0.np,0.000299114
1008,CTDT_hydrophobicity_ZIMJ680101.Tr1331.np,0.000295838
871,CTDD_hydrophobicity_CASG920101.2.residue0.np,0.000293658
821,CTDD_hydrophobicity_ARGP820101.1.residue0.np,0.000283829
922,CTDD_normwaalsvolume.3.residue25.np,0.000282538
792,CTDC_polarity.G2.np,0.000276001
966,CTDD_charge.3.residue0.np,0.000274513
136,CTriad_g3.g6.g3.np,0.000271679
996,CTDD_solventaccess.3.residue0.np,0.000270016
826,CTDD_hydrophobicity_ARGP820101.2.residue0.np,0.000268149
941,CTDD_polarizability.1.residue0.np,0.000265104
446,DPC_EY.np,0.000265055
1018,CTDT_hydrophobicity_ENGD860101.Tr2332.np,0.000264128
356,PAAC_Xc1.M.np,0.000262123
806,CTDD_hydrophobicity_PRAM900101.1.residue0.np,0.000254855
861,CTDD_hydrophobicity_PONP930101.3.residue0.np,0.00025228
886,CTDD_hydrophobicity_ENGD860101.2.residue0.np,0.000250418
150,CTriad_g4.g1.g3.np,0.000232802
664,DPC_RV.np,0.000227876
156,CTriad_g4.g2.g2.np,0.000224863
247,CTriad_g6.g1.g2.np,0.000222083
911,CTDD_normwaalsvolume.1.residue0.np,0.000219424
424,DPC_DV.np,0.00021308
111,CTriad_g3.g2.g6.np,0.000211596
749,DPC_YD.np,0.000206773
855,CTDD_hydrophobicity_PONP930101.1.residue100.np,0.000201665
790,CTDC_normwaalsvolume.G3.np,0.000196311
767,CTDC_hydrophobicity_PRAM900101.G1.np,0.000190777
