,var,AUC_loss
346,PAAC_Xc1.N.pa,0.009674776
878,CTDD_hydrophobicity_CASG920101.3.residue50.pa,0.009432773
349,PAAC_Xc1.Q.pa,0.007153003
824,CTDD_hydrophobicity_ARGP820101.1.residue75.pa,0.006123915
365,PAAC_Xc2.lambda2.pa,0.006081825
865,CTDD_hydrophobicity_PONP930101.3.residue100.pa,0.00570215
894,CTDD_hydrophobicity_ENGD860101.3.residue75.pa,0.005699391
930,CTDD_polarity.1.residue100.pa,0.005672828
822,CTDD_hydrophobicity_ARGP820101.1.residue25.pa,0.005640543
895,CTDD_hydrophobicity_ENGD860101.3.residue100.pa,0.005631868
937,CTDD_polarity.3.residue25.pa,0.005630342
820,CTDD_hydrophobicity_PRAM900101.3.residue100.pa,0.005612128
996,CTDD_solventaccess.3.residue0.pa,0.005310233
929,CTDD_polarity.1.residue75.pa,0.005309463
921,CTDD_normwaalsvolume.3.residue0.pa,0.005247226
983,CTDD_secondarystruct.3.residue50.pa,0.005236675
891,CTDD_hydrophobicity_ENGD860101.3.residue0.pa,0.005028784
362,PAAC_Xc1.Y.pa,0.005018375
360,PAAC_Xc1.T.pa,0.004879222
345,PAAC_Xc1.R.pa,0.00478357
353,PAAC_Xc1.I.pa,0.004624361
853,CTDD_hydrophobicity_PONP930101.1.residue50.pa,0.004607531
898,CTDD_hydrophobicity_FASG890101.1.residue50.pa,0.004236041
953,CTDD_polarizability.3.residue50.pa,0.004145264
361,PAAC_Xc1.W.pa,0.003978804
366,PAAC_Xc2.lambda3.pa,0.003940482
834,CTDD_hydrophobicity_ARGP820101.3.residue75.pa,0.00384996
892,CTDD_hydrophobicity_ENGD860101.3.residue25.pa,0.00368358
872,CTDD_hydrophobicity_CASG920101.2.residue25.pa,0.003679379
825,CTDD_hydrophobicity_ARGP820101.1.residue100.pa,0.00367504
109,CTriad_g3.g2.g4.pa,0.003470512
347,PAAC_Xc1.D.pa,0.003447045
903,CTDD_hydrophobicity_FASG890101.2.residue50.pa,0.003110326
354,PAAC_Xc1.L.pa,0.002231819
541,DPC_KR.pa,0.001879438
795,CTDC_polarizability.G2.pa,0.001569334
791,CTDC_polarity.G1.pa,0.001566147
536,DPC_KL.pa,0.001402714
675,DPC_SK.pa,0.0013862
256,CTriad_g6.g2.g4.pa,0.001338418
509,DPC_ID.pa,0.001312953
601,DPC_NR.pa,0.001284971
595,DPC_NK.pa,0.001273601
402,DPC_CS.pa,0.001245289
727,DPC_WA.pa,0.001242432
672,DPC_SG.pa,0.001217972
592,DPC_NG.pa,0.001207072
908,CTDD_hydrophobicity_FASG890101.3.residue50.pa,0.001206252
351,PAAC_Xc1.G.pa,0.001124237
716,DPC_VL.pa,0.001117458
540,DPC_KQ.pa,0.001113797
784,CTDC_hydrophobicity_ENGD860101.G3.pa,0.001100855
581,DPC_MR.pa,0.001094686
523,DPC_IT.pa,0.001065637
432,DPC_EG.pa,0.001050665
789,CTDC_normwaalsvolume.G2.pa,0.001036274
135,CTriad_g3.g6.g2.pa,0.0010232
610,DPC_PE.pa,0.00101986
155,CTriad_g4.g2.g1.pa,0.000992165
744,DPC_WV.pa,0.000967231
913,CTDD_normwaalsvolume.1.residue50.pa,0.000964341
939,CTDD_polarity.3.residue75.pa,0.000960546
973,CTDD_secondarystruct.1.residue50.pa,0.000931314
151,CTriad_g4.g1.g4.pa,0.000929689
267,CTriad_g6.g4.g1.pa,0.000925878
844,CTDD_hydrophobicity_ZIMJ680101.2.residue75.pa,0.000924885
638,DPC_QN.pa,0.000906399
883,CTDD_hydrophobicity_ENGD860101.1.residue50.pa,0.000893991
446,DPC_EY.pa,0.00089268
680,DPC_SQ.pa,0.000890922
848,CTDD_hydrophobicity_ZIMJ680101.3.residue50.pa,0.000886746
534,DPC_KI.pa,0.00088089
414,DPC_DI.pa,0.000844715
796,CTDC_polarizability.G3.pa,0.000835589
709,DPC_VD.pa,0.000799408
972,CTDD_secondarystruct.1.residue25.pa,0.000789856
897,CTDD_hydrophobicity_FASG890101.1.residue25.pa,0.000759739
424,DPC_DV.pa,0.000756438
194,CTriad_g4.g7.g5.pa,0.000747548
692,DPC_TG.pa,0.000745181
20,CTriad_g1.g3.g6.pa,0.000738167
11,CTriad_g1.g2.g4.pa,0.0007335
646,DPC_QY.pa,0.00073035
752,DPC_YG.pa,0.000728722
590,DPC_NE.pa,0.000724188
823,CTDD_hydrophobicity_ARGP820101.1.residue50.pa,0.000719833
416,DPC_DL.pa,0.000717321
982,CTDD_secondarystruct.3.residue25.pa,0.000715639
23,CTriad_g1.g4.g2.pa,0.000711647
364,PAAC_Xc2.lambda1.pa,0.000708038
154,CTriad_g4.g1.g7.pa,0.000705556
124,CTriad_g3.g4.g5.pa,0.000690946
236,CTriad_g5.g6.g5.pa,0.000686234
933,CTDD_polarity.2.residue50.pa,0.000663379
257,CTriad_g6.g2.g5.pa,0.000660816
673,DPC_SH.pa,0.000644157
372,DPC_AG.pa,0.000634878
994,CTDD_solventaccess.2.residue75.pa,0.000633432
348,PAAC_Xc1.C.pa,0.00063034
510,DPC_IE.pa,0.000629157
532,DPC_KG.pa,0.000626356
705,DPC_TW.pa,0.000624326
682,DPC_SS.pa,0.000620854
863,CTDD_hydrophobicity_PONP930101.3.residue50.pa,0.000620374
204,CTriad_g5.g2.g1.pa,0.000617709
184,CTriad_g4.g6.g2.pa,0.000616549
620,DPC_PQ.pa,0.000615278
120,CTriad_g3.g4.g1.pa,0.000601376
419,DPC_DP.pa,0.000600371
76,CTriad_g2.g4.g6.pa,0.000590571
710,DPC_VE.pa,0.000590521
700,DPC_TQ.pa,0.000587628
583,DPC_MT.pa,0.000587487
923,CTDD_normwaalsvolume.3.residue50.pa,0.000585228
794,CTDC_polarizability.G1.pa,0.00058218
603,DPC_NT.pa,0.000581401
627,DPC_QA.pa,0.000580335
887,CTDD_hydrophobicity_ENGD860101.2.residue25.pa,0.000579148
484,DPC_GV.pa,0.000564415
118,CTriad_g3.g3.g6.pa,0.000558854
804,CTDC_solventaccess.G2.pa,0.000554163
167,CTriad_g4.g3.g6.pa,0.000551877
72,CTriad_g2.g4.g2.pa,0.000550509
829,CTDD_hydrophobicity_ARGP820101.2.residue75.pa,0.000547989
439,DPC_EP.pa,0.000546761
