,var,AUC_loss
805,CTDC_solventaccess.G3.pb2,0.005198228
803,CTDC_solventaccess.G1.pb2,0.004508699
768,CTDC_hydrophobicity_PRAM900101.G2.pb2,0.00442182
794,CTDC_polarizability.G1.pb2,0.004211109
801,CTDC_secondarystruct.G2.pb2,0.004200602
777,CTDC_hydrophobicity_PONP930101.G2.pb2,0.004014681
1033,CTDT_charge.Tr2332.pb2,0.003967508
365,PAAC_Xc2.lambda2.pb2,0.003763545
799,CTDC_charge.G3.pb2,0.003565394
1010,CTDT_hydrophobicity_PONP930101.Tr1221.pb2,0.002952621
778,CTDC_hydrophobicity_PONP930101.G3.pb2,0.002707956
774,CTDC_hydrophobicity_ZIMJ680101.G2.pb2,0.002155035
797,CTDC_charge.G1.pb2,0.001903637
438,DPC_EN.pb2,0.001748596
789,CTDC_normwaalsvolume.G2.pb2,0.001522098
125,CTriad_g3.g4.g6.pb2,0.001376303
357,PAAC_Xc1.F.pb2,0.001321008
1021,CTDT_hydrophobicity_FASG890101.Tr2332.pb2,0.00132032
795,CTDC_polarizability.G2.pb2,0.00130573
863,CTDD_hydrophobicity_PONP930101.3.residue50.pb2,0.001221671
785,CTDC_hydrophobicity_FASG890101.G1.pb2,0.001214312
1034,CTDT_secondarystruct.Tr1221.pb2,0.001197492
839,CTDD_hydrophobicity_ZIMJ680101.1.residue75.pb2,0.001175772
416,DPC_DL.pb2,0.001166674
595,DPC_NK.pb2,0.001153676
129,CTriad_g3.g5.g3.pb2,0.001153586
379,DPC_AP.pb2,0.001057753
646,DPC_QY.pb2,0.000965296
697,DPC_TM.pb2,0.000916589
1013,CTDT_hydrophobicity_CASG920101.Tr1221.pb2,0.000915524
660,DPC_RQ.pb2,0.000908819
281,CTriad_g6.g6.g1.pb2,0.000897474
662,DPC_RS.pb2,0.000881921
86,CTriad_g2.g6.g2.pb2,0.000851999
782,CTDC_hydrophobicity_ENGD860101.G1.pb2,0.000825212
776,CTDC_hydrophobicity_PONP930101.G1.pb2,0.000817843
780,CTDC_hydrophobicity_CASG920101.G2.pb2,0.000815229
209,CTriad_g5.g2.g6.pb2,0.00080762
251,CTriad_g6.g1.g6.pb2,0.000785398
384,DPC_AV.pb2,0.000780662
76,CTriad_g2.g4.g6.pb2,0.000736433
233,CTriad_g5.g6.g2.pb2,0.000695365
649,DPC_RD.pb2,0.000694099
165,CTriad_g4.g3.g4.pb2,0.000631513
935,CTDD_polarity.2.residue100.pb2,0.000631396
658,DPC_RN.pb2,0.000629667
253,CTriad_g6.g2.g1.pb2,0.000624236
681,DPC_SR.pb2,0.000600048
113,CTriad_g3.g3.g1.pb2,0.000596553
