tre.tip.label	V1	PRT	STY	V4	Avian	Canidae	Equidae	Hominidae	Phyllostomidae	Suidae	Prediction	Mismatch
BSN409TCC_AUO32071_Suidae_2017.661111	BSN409TCC	NP	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
BXY398VXF_AUO32141_Suidae_2017.602778	BXY398VXF	NP	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
CMU438LUB_AUO32031_Suidae_2017.658333	CMU438LUB	NP	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
YWA378KBL_AUO32091_Suidae_2017.641667	YWA378KBL	NP	H1N2	Suidae	0.000826446280991736	0	0	0.00396694214876033	0	0.995206611570248	Suidae	TRUE
SEJ526UUK_AUO32131_Suidae_2017.619444	SEJ526UUK	NP	H1N2	Suidae	0.000826446280991736	0	0	0.00396694214876033	0	0.995206611570248	Suidae	TRUE
KTP672HIC_ADZ05668_Suidae_2006.986111	KTP672HIC	NP	H3N2	Suidae	0	0	0	0.1	0	0.9	Suidae	TRUE
WOM100IDF_AHB23221_Suidae_2004.616667	WOM100IDF	NP	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
YPL515QAV_ANK57608_Suidae_2014.172222	YPL515QAV	NP	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
FZF711IJN_ADV58866_Avian_2008.355556	FZF711IJN	NP	H3N2	Avian	0	0	0	0	0	1	Suidae	FALSE
SDT551VBS_AEA29260_Suidae_2009.344444	SDT551VBS	NP	H1N1	Suidae	0.000628930817610063	0	0	0	0	0.99937106918239	Suidae	TRUE
LOX265NQD_ADV58865_Avian_2005.402778	LOX265NQD	NP	H3N2	Avian	0	0	0	0.1	0	0.9	Suidae	FALSE
KHB145GCH_ADV58867_Suidae_2009.391667	KHB145GCH	NP	H3N2	Suidae	0	0	0	0.0333333333333333	0	0.966666666666667	Suidae	TRUE
MXQ621ETX_AEA29269_Suidae_2009.425	MXQ621ETX	NP	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
OJU505MQT_ADV58871_Suidae_2009.372222	OJU505MQT	NP	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
CDL944HGH_AEN68505_Suidae_2010.916667	CDL944HGH	NP	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
HIX036PMN_ANZ03699_Suidae_2014.347222	HIX036PMN	NP	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
NTD137VLD_ANZ03685_Suidae_2011.191667	NTD137VLD	NP	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
WSC040KZI_AHL21285_Suidae_2012.033333	WSC040KZI	NP	H3N2	Suidae	0.1	0	0	0.2	0	0.7	Suidae	TRUE
YXF901ODX_ADZ96200_Suidae_2010.975	YXF901ODX	NP	H3N2	Suidae	0	0	0	0.1	0	0.9	Suidae	TRUE
WNO030EGO_ANZ03686_Suidae_2011.191667	WNO030EGO	NP	H3N2	Suidae	0	0	0	0.6	0	0.4	Hominidae	FALSE
KGF597KQB_ANZ03687_Suidae_2011.188889	KGF597KQB	NP	H3N2	Suidae	0	0	0	0.1	0	0.9	Suidae	TRUE
GYZ412UOG_AUO32151_Suidae_2017.622222	GYZ412UOG	NP	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
KYQ934WGV_AUO32171_Suidae_2017.605556	KYQ934WGV	NP	H1N2	Suidae	0.000826446280991736	0	0	0.00396694214876033	0	0.995206611570248	Suidae	TRUE
XMJ600FON_AUO32041_Suidae_2017.666667	XMJ600FON	NP	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
SPJ686DQH_AEA29275_Suidae_2009.872222	SPJ686DQH	NP	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
ZWS592GTT_AEN68525_Suidae_2010.852778	ZWS592GTT	NP	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
