Name	SubtypeH	SubtypeN
PGZ256ZBC_AAW59414_Avian_2004	H5	N1
MHP499CVF_ABB90233_Avian_1997.2	H5	N2
AXH690RIJ_ABD35643_Avian_2001	H6	N1
HYG758IGC_ABD62797_Suidae_2002	H3	N2
PSH277JBI_ABD62836_Suidae_2001	H3	N2
KAN812BMW_ABD65990_Avian_2002	H6	N2
YJU937EQC_ABF56625_Avian_2000.219444	H9	N2
SCA333HSG_ABF56643_Avian_2000.886111	H9	N2
ZOU364IRU_ABG34248_Suidae_2005	H1	N2
YOG586SIX_ABI36025_Avian_2005.758333	H5	N1
CRR511KKU_ABI84496_Avian_1984.105556	H5	N2
CLQ694HYP_ABI98939_Avian_2003	H5	N1
FNY915RKR_ABJ09536_Avian_2004	H5	N1
AYG667BVI_ABK34766_Avian_2006	H5	N1
NWI803KMH_ABM21888_Avian_2003	H9	N2
VIR921UFM_ABR15822_Suidae_1976	H1	N1
EMF965XNS_ABR28551_Suidae_1977	H1	N1
UJN825KSU_ABR28705_Suidae_1971	H1	N1
ONW260HFM_ABR28727_Suidae_1970	H1	N1
GSD684LJY_ABR29568_Suidae_1991	H1	N1
ALP289REA_ABR29578_Suidae_1987	H1	N1
XFB386APO_ABR31775_Avian_2000	H6	N1
PUF439QFT_ABR37723_Avian_1998	H5	N9
JCO713VYA_ABS00324_Suidae_2004	H1	N1
EDH085IED_ABS89357_Avian_1985	H7	N7
DMN190RJE_ABU80413_Suidae_1977	H1	N1
CUB683MWD_ABU80423_Suidae_1987	H1	N1
RZI120CQD_ABV46329_Avian_2001	H9	N2
ZXX597UUR_ABV47885_Avian_2003	H9	N2
DTS479EWM_ABV48039_Avian_2004	H9	N2
JQK430PMM_ABV48477_Avian_2001	H9	N2
HZJ685LIP_ABV82598_Suidae_1966	H1	N1
YSA952FPF_ABW36347_Suidae_1981	H1	N1
ZCX551NNO_ABW71524_Suidae_1991	H1	N1
LET674BVF_ABW86599_Suidae_1985	H1	N1
SLX039ESB_ABY67922_Avian_2007	H5	N1
COU559UKB_ABY84687_Suidae_1991	H1	N1
ZMJ688EIO_ACA14294_Avian_2005	H3	N2
BIE032ZPL_ACA14298_Avian_2005	H3	N2
VZT972NAZ_ACA14300_Avian_2006	H3	N2
UNJ966XSC_ACA47760_Avian_2003	H5	N1
VSK215LCD_ACD37789_Avian_2007	H5	N1
SAJ426RIO_ACD40326_Avian_2006	H13	N9
XXQ984PIR_ACD84812_Avian_2005	H5	N1
TRQ727JDU_ACE73594_Avian_2008	H5	N1
UXW357ZYZ_ACF25518_Avian_1986	H5	N2
ISM055SWS_ACF25593_Avian_1992	H1	N1
VAO240MWS_ACF25603_Avian_1990	H1	N1
VJA785ULP_ACF25624_Avian_1994	H5	N9
ZDS756TUR_ACF36756_Avian_1983	H5	N1
NJT063VGK_ACI26607_Suidae_1990	H1	N1
ROZ879ZLC_ACI41025_Avian_1988	H1	N1
ERM160XNW_ACJ24954_Avian_2006.125	H5	N1
WTT584KKD_ACJ26189_Avian_2007	H5	N1
LZI585OCY_ACK43766_Avian_2008.025	H9	N2
CWM344BJG_ACL79949_Avian_1994	H5	N2
NFS496TBA_ACN29490_Avian_1999.494444	H5	N2
JHS641LKF_ACN85528_Suidae_1992.686111	H1	N1
AHT885BBC_ACN85537_Suidae_2007.427778	H1	N1
JYB759VJM_ACN90989_Suidae_2003.583333	H3	N1
UEP384BFV_ACP50710_Avian_2008.022222	H9	N2
ZMB102FAA_ACR48935_Avian_2008	H5	N1
KHL977EKU_ACR49049_Avian_2005	H5	N1
MFB324XAP_ACR49054_Avian_2006.833333	H5	N1
KNX405YBE_ACR49061_Avian_2006.833333	H5	N1
QXV808IOA_ACR83963_Suidae_2001.272222	H1	N1
YJF260BOP_ACR83965_Suidae_1993.533333	H1	N1
AGA050DRV_ACR83967_Suidae_2001.969444	H1	N1
ASV632UMG_ACS68395_Avian_1993	H11	N3
PAA269YSH_ACS92886_Avian_1980	H7	N3
PUI379QZQ_ACU82397_Suidae_2009.152778	H1	N2
GFK904PVS_ACU87239_Avian_2009.25	H6	N2
XFT874GUQ_ACV41595_Avian_2004	H4	N6
KZB008ZFA_ACY06412_Suidae_2006	H1	N1
OJL711HHV_ACY56529_Avian_2007	H9	N2
HBW239PIT_ACZ45154_Avian_2004	H5	N1
PTV395KED_ACZ45189_Avian_1983	H5	N2
PBK460LJZ_ACZ45192_Avian_1996	H5	N2
QHI137KLE_ACZ45194_Avian_1986	H5	N2
XOR318XLG_ACZ45232_Avian_1992	H7	N3
RKV879USN_ACZ53980_Suidae_2008.830556	H3	N2
KUU607CZP_ACZ62777_Suidae_1983.377778	H1	N1
WTT079HWD_ADD21449_Suidae_2008.894444	H1	N1
LRJ622SBH_ADD64128_Avian_2006.413889	H4	N6
SYA355TFM_ADE06972_Avian_2007.833333	H5	N3
JUC704DRE_ADG01940_Suidae_2010	H1	N1
XOW518JFO_ADG23202_Suidae_2009.833333	H1	N1
GWK669CSE_ADG43206_Avian_2005	H6	N2
PZG553JIJ_ADG43209_Avian_2005	H6	N2
FQD296AAU_ADG43227_Avian_2005	H6	N2
KKV804UQN_ADG59200_Avian_2005	H5	N1
UTZ975YVT_ADG59215_Avian_2009	H5	N1
EIT713OVZ_ADG59216_Avian_2005	H5	N1
DOB528BEL_ADG59219_Avian_2009	H5	N1
DLY240AAP_ADG59221_Avian_2009	H5	N1
QAY364UUF_ADG59228_Avian_2005	H5	N1
GQU225FND_ADH83353_Suidae_2008.502778	H1	N1
WJU630FQR_ADH83355_Suidae_2009.344444	H1	N1
HOI079HCA_ADH83357_Suidae_2009.505556	H1	N1
SIH624TPH_ADI46340_Suidae_2006	H5	N1
FBR515UWA_ADI46341_Suidae_2006	H5	N1
ERV270WET_ADI79241_Avian_2006.15	H9	N2
DVL623IME_ADJ96304_Avian_2005.333333	H9	N2
YCR619IWJ_ADK35395_Avian_2009.644444	H9	N2
MXL173JLU_ADM95380_Avian_2005.105556	H5	N1
YRZ893OKX_ADM95382_Avian_2006.583333	H5	N1
ZZT048LKC_ADM95387_Avian_2006.6	H5	N1
INL985FRG_ADN23865_Avian_2007.916667	H9	N2
MIO619UTO_ADT79184_Suidae_1984	H3	N2
OND949FJK_ADV69026_Suidae_2010.75	H1	N1
CVH838HWC_ADV69028_Suidae_2005.833333	H1	N1
EBD576GFZ_ADV78484_Suidae_2009.219444	H1	N1
YXC389ZFG_ADY69874_Suidae_1977	H1	N1
JAZ647ORR_ADY70170_Suidae_1977.297222	H1	N1
ORQ411HUZ_ADY70225_Suidae_1977.316667	H1	N1
XYJ118KBS_ADY70547_Suidae_1993.591667	H1	N1
ODX878OKZ_ADY70557_Suidae_1993.611111	H1	N1
SBU349LWX_ADY70577_Suidae_1993.7	H1	N1
