AOT87930.1	AOT87930.1
AOT87952.1	AOT87952.1
AOT88029.1	AOT88029.1
AOT88040.1	AOT88040.1
AOT88040.1	AIM56531.1
AOT88106.1	AOT88106.1
AOT88106.1	AIP92930.1
AOT88106.1	AGV75084.1
AOT88106.1	AGV75535.1
AOT88150.1	AOT88150.1
AOT88172.1	AOT88172.1
AOT88183.1	AOT88183.1
AOT88183.1	ANM93041.1
AOT88183.1	ARH17611.1
AOT88216.1	AOT88216.1
AOT88260.1	AOT88260.1
AOT88326.1	AOT88326.1
AOT88326.1	ANM91435.1
AOT88370.1	AOT88370.1
AOT88524.1	AOT88524.1
AOT88524.1	ANM94944.1
AOT88524.1	ANM87213.1
AOT88524.1	AGI55621.1
AOT88546.1	AOT88546.1
AQN75129.1	AQN75129.1
AQN75874.1	AQN75874.1
AQN75884.1	AQN75884.1
AQN75894.1	AQN75894.1
AQN75954.1	AQN75954.1
AQN75994.1	AQN75994.1
AQN75994.1	AIL90229.1
AQW43096.1	AQW43096.1
AQW43096.1	AGB13347.1
AQW43135.1	AQW43135.1
AQW43294.1	AQW43294.1
AQW43316.1	AQW43316.1
AQW43325.1	AQW43325.1
AQW43325.1	AOT92764.1
AQW43325.1	AOT92819.1
AQW43325.1	AOT93655.1
AQW43325.1	AOT87754.1
AQW43325.1	ANM90885.1
AQW43325.1	ANM91446.1
AQW43325.1	ANM91743.1
AQW43325.1	ANM92370.1
AQW43325.1	ANM94977.1
AQW43325.1	ANM87114.1
AQW43325.1	ANM88663.1
AQW43325.1	ANM90577.1
AQW43325.1	ANM90643.1
AQW43325.1	ANE26828.1
AQW43325.1	ANE26899.1
AQW43325.1	ANE27099.1
AQW43325.1	ANE27215.1
AQW43325.1	ANE27226.1
AQW43325.1	ANE27391.1
AQW43325.1	ANE27424.1
AQW43325.1	ANE27897.1
AQW43325.1	ANE27919.1
AQW43325.1	ANE28216.1
AQW43325.1	ANE28240.1
AQW43325.1	ANE28436.1
AQW43325.1	ANE28732.1
AQW43325.1	ANE28886.1
AQW43325.1	ANE29128.1
AQW43325.1	ANE29412.1
AQW43325.1	ANE29426.1
AQW43325.1	AMA11759.1
AQW43325.1	AMB66935.1
AQW43325.1	AMB66998.1
AQW43325.1	AMB67040.1
AQW43325.1	ATY36336.1
AQW43325.1	ATY36347.1
AQW43325.1	ATY36358.1
AQW43325.1	ATY36380.1
AQW43325.1	ATY36391.1
AQW43325.1	ATY36402.1
AQW43325.1	ATY36413.1
AQW43325.1	ATY36424.1
AQW43325.1	ATY36446.1
AQW43325.1	ATY36457.1
AQW43325.1	ATY36468.1
AQW43325.1	ATY36479.1
AQW43325.1	ATY36490.1
AQW43325.1	ATY36501.1
AQW43325.1	ATY36523.1
AQW43325.1	ATY36534.1
AQW43325.1	ATY36567.1
AQW43325.1	ATY36578.1
AQW43325.1	ATY36589.1
AQW43325.1	ATY36600.1
AQW43325.1	ATY36611.1
AQW43325.1	ATY36622.1
AQW43325.1	ATY36633.1
AQW43325.1	ATY36644.1
AQY18900.1	AQY18900.1
AQY18900.1	ADW82275.1
AQY18900.1	ADX21105.1
AQY18900.1	ADV19026.1
AQY18902.1	AQY18902.1
AQY18904.1	AQY18904.1
AQY18904.1	AGO00368.1
AQY18904.1	AGQ47937.1
AQY63066.1	AQY63066.1
AQY63066.1	AQY63077.1
AQY63066.1	ANM94130.1
AQY63066.1	ANM87389.1
AQY63066.1	AHL81114.1
AQY63066.1	AHL81125.1
AQY63066.1	AHL81371.1
AQY63066.1	AHL81382.1
AQY63066.1	AHL81393.1
AQY63159.1	AQY63159.1
