tre.tip.label	UID	PRT	STY	HOST	Avian	Canidae	Equidae	Hominidae	Phyllostomidae	Suidae	Prediction	Matched
ACZ36899_INR912QWR_Avian_2007	INR912QWR	HA	H5N1	Avian	1	0	0	0	0	0	Avian	TRUE
ADQ92582_ZXY061WEM_Avian_2007.391667	ZXY061WEM	HA	H5N1	Avian	0.9	0	0	0	0	0.1	Avian	TRUE
ACU15967_MRC427SMS_Avian_2007.397222	MRC427SMS	HA	H5N1	Avian	0.9	0	0	0	0	0.1	Avian	TRUE
AGL58350_PKP406ESE_Avian_2007.608333	PKP406ESE	HA	H5N1	Avian	1	0	0	0	0	0	Avian	TRUE
AGL58338_AEW001JYZ_Avian_2007.569444	AEW001JYZ	HA	H5N1	Avian	1	0	0	0	0	0	Avian	TRUE
ASF57790_JRL098QAM_Avian_2011.4	JRL098QAM	HA	H5N2	Avian	1	0	0	0	0	0	Avian	TRUE
ASF57763_MSW026DZQ_Avian_2011.397222	MSW026DZQ	HA	H5N2	Avian	1	0	0	0	0	0	Avian	TRUE
ASF57779_HRE159YGB_Avian_2011.397222	HRE159YGB	HA	H5N3	Avian	1	0	0	0	0	0	Avian	TRUE
AGI65021_RQI790DKM_Avian_2010.947222	RQI790DKM	HA	H5N3	Avian	1	0	0	0	0	0	Avian	TRUE
ACJ10016_XWI516KZS_Avian_2006.372222	XWI516KZS	HA	H5N2	Avian	1	0	0	0	0	0	Avian	TRUE
ACR09610_HAP496DOQ_Avian_2006	HAP496DOQ	HA	H5N2	Avian	1	0	0	0	0	0	Avian	TRUE
AHL82147_LFS301NJI_Avian_2011.791667	LFS301NJI	HA	H5N2	Avian	1	0	0	0	0	0	Avian	TRUE
AGG83801_ITG719FVZ_Avian_2010.7	ITG719FVZ	HA	H5N2	Avian	1	0	0	0	0	0	Avian	TRUE
ASJ82077_LDF734JYK_Avian_2016.4	LDF734JYK	HA	H5N1	Avian	1	0	0	0	0	0	Avian	TRUE
ASV60483_LLE659ZRL_Avian_2016.397222	LLE659ZRL	HA	H5N1	Avian	1	0	0	0	0	0	Avian	TRUE
APD69989_NKD045ZMW_Avian_2016.327778	NKD045ZMW	HA	H5N1	Avian	1	0	0	0	0	0	Avian	TRUE
AQS25082_HCS848SYF_Avian_2015.869444	HCS848SYF	HA	H5N2	Avian	1	0	0	0	0	0	Avian	TRUE
AQS25080_SOJ393ZNO_Avian_2015.658333	SOJ393ZNO	HA	H5N2	Avian	1	0	0	0	0	0	Avian	TRUE
