tre.tip.label	UID	PRT	STY	HOST	Avian	Canidae	Equidae	Hominidae	Phyllostomidae	Suidae	Prediction	Matched
ABL015BDR_ADY70998_Suidae_2001.313889	ABL015BDR	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
RHM906ZIF_ADY71058_Suidae_2001.913889	RHM906ZIF	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
ZEE270XQQ_ADY70868_Suidae_2000.322222	ZEE270XQQ	NA	H1N1	Suidae	0.2	0	0	0	0	0.8	Suidae	TRUE
UHM334RXS_ADY70958_Suidae_2001.083333	UHM334RXS	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
LXC706RWU_ADY70928_Suidae_2000.802778	LXC706RWU	NA	H1N1	Suidae	0.1	0	0	0.1	0	0.8	Suidae	TRUE
FFQ441HFD_ADY71028_Suidae_2001.583333	FFQ441HFD	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
KLY271UUJ_ADY70898_Suidae_2000.622222	KLY271UUJ	NA	H1N1	Suidae	0.2	0	0	0	0	0.8	Suidae	TRUE
AXG371HLI_ADY71048_Suidae_2001.713889	AXG371HLI	NA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
DOB817ZWV_ADY71018_Suidae_2001.455556	DOB817ZWV	NA	H1N1	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
AGA050DRV_ACR83967_Suidae_2001.969444	AGA050DRV	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
NAQ367DNB_ADY70888_Suidae_2000.575	NAQ367DNB	NA	H1N1	Suidae	0.2	0	0	0	0	0.8	Suidae	TRUE
SBU349LWX_ADY70577_Suidae_1993.7	SBU349LWX	NA	H1N1	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
UBW059IOB_ADY71038_Suidae_2001.663889	UBW059IOB	NA	H1N1	Suidae	0.2	0	0	0	0	0.8	Suidae	TRUE
ODX878OKZ_ADY70557_Suidae_1993.611111	ODX878OKZ	NA	H1N1	Suidae	0.2	0	0	0	0	0.8	Suidae	TRUE
YJF260BOP_ACR83965_Suidae_1993.533333	YJF260BOP	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
XYJ118KBS_ADY70547_Suidae_1993.591667	XYJ118KBS	NA	H1N1	Suidae	0.3	0	0	0.1	0	0.6	Suidae	TRUE
GMU272LYC_ADY71068_Suidae_2001.991667	GMU272LYC	NA	H1N1	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
QCL661XLG_ADY70708_Suidae_1994.097222	QCL661XLG	NA	H1N1	Suidae	0.4	0	0	0	0	0.6	Suidae	TRUE
IVL692HII_AGN69269_Suidae_1992	IVL692HII	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
SGB271WKE_ADY70878_Suidae_2000.527778	SGB271WKE	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
EJI707ZVH_ADY70948_Suidae_2001.044444	EJI707ZVH	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
QXV808IOA_ACR83963_Suidae_2001.272222	QXV808IOA	NA	H1N1	Suidae	0.2	0	0	0	0	0.8	Suidae	TRUE
AWT954RTL_AGN69280_Suidae_1991	AWT954RTL	NA	H1N1	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
GQU225FND_ADH83353_Suidae_2008.502778	GQU225FND	NA	H1N1	Suidae	0.4	0	0	0	0	0.6	Suidae	TRUE
OND949FJK_ADV69026_Suidae_2010.75	OND949FJK	NA	H1N1	Suidae	0.5	0	0	0	0	0.5	Avian	FALSE
WJU630FQR_ADH83355_Suidae_2009.344444	WJU630FQR	NA	H1N1	Suidae	0.6	0	0	0	0	0.4	Avian	FALSE
KZB008ZFA_ACY06412_Suidae_2006	KZB008ZFA	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
XOW518JFO_ADG23202_Suidae_2009.833333	XOW518JFO	NA	H1N1	Suidae	0.6	0	0	0	0	0.4	Avian	FALSE
HOI079HCA_ADH83357_Suidae_2009.505556	HOI079HCA	NA	H1N1	Suidae	0.4	0	0	0	0	0.6	Suidae	TRUE
WTT079HWD_ADD21449_Suidae_2008.894444	WTT079HWD	NA	H1N1	Suidae	0.4	0	0	0	0	0.6	Suidae	TRUE
EBD576GFZ_ADV78484_Suidae_2009.219444	EBD576GFZ	NA	H1N1	Suidae	0.4	0	0	0	0	0.6	Suidae	TRUE
CVH838HWC_ADV69028_Suidae_2005.833333	CVH838HWC	NA	H1N1	Suidae	0.4	0	0	0.1	0	0.5	Suidae	TRUE
THS001UYB_ADZ04779_Suidae_1994.316667	THS001UYB	NA	H1N1	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
OEN831ZZG_ADZ04809_Suidae_1994.336111	OEN831ZZG	NA	H1N1	Suidae	0.2	0	0	0	0	0.8	Suidae	TRUE
LVB299NMB_ADZ04719_Suidae_1994.15	LVB299NMB	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
XAQ233DRR_AHB21186_Suidae_2007.816667	XAQ233DRR	NA	H1N1	Suidae	0.3	0	0	0	0	0.7	Suidae	TRUE
