AUI42241.1:1-757	AUI42241.1:1-757
BAV17043.1:1-90	BAV17043.1:1-90
BAV17043.1:1-90	BAP90413.1:1-57
BAV17043.1:1-90	BAV17054.1:1-90
BAV17043.1:1-90	CBW54843.1:1-90
BAV17043.1:1-90	CBW54845.1:1-90
BAV17043.1:1-90	CBW54847.1:1-90
BAV17043.1:1-90	CBW54849.1:1-90
BAV17043.1:1-90	CBW54852.1:1-90
ALB07588.1:1-562	ALB07588.1:1-562
AKM14224.1:1-382	AKM14224.1:1-382
ADI79236.1:1-767	ADI79236.1:1-767
ADI79236.1:1-767	BAS21815.1:1-324
ADI79236.1:1-767	BAS21817.1:1-184
ADI79236.1:1-767	BAS21822.1:1-261
ADI79236.1:1-767	BAS21826.1:1-273
ADI79236.1:1-767	BAS21827.1:1-272
ADI79236.1:1-767	BAS21828.1:1-258
ADI79236.1:1-767	BAS21832.1:1-246
ADI79236.1:1-767	BAS21833.1:1-252
ADI79236.1:1-767	ARG42960.1:1-386
ADI79236.1:1-767	ARG42996.1:1-386
ADI79236.1:1-767	APG38628.1:1-347
ADI79236.1:1-767	APG38650.1:1-401
ADI79236.1:1-767	APG38716.1:1-380
ADI79236.1:1-767	APG38727.1:1-397
ADI79236.1:1-767	APG39190.1:1-365
ADI79236.1:1-767	AGW25744.1:1-159
ADI79236.1:1-767	AHB73782.1:1-223
ADI79236.1:1-767	AHB73792.1:1-223
ADI79236.1:1-767	AHB73802.1:1-223
ADI79236.1:1-767	AHB73812.1:1-223
ADI79236.1:1-767	AHB73822.1:1-223
ADI79236.1:1-767	AHB73832.1:1-223
ADI79236.1:1-767	AHB73842.1:1-223
ADI79236.1:1-767	AHB73852.1:1-223
ADI79236.1:1-767	AHB73862.1:1-221
ADI79236.1:1-767	AHB73872.1:1-223
ADI79236.1:1-767	AHB73882.1:1-223
ADI79236.1:1-767	AHB73892.1:1-223
ADI79236.1:1-767	AHB73902.1:1-223
ADI79236.1:1-767	AHB73912.1:1-223
ADI79236.1:1-767	AHB73922.1:1-219
ADI79236.1:1-767	AHB73932.1:1-219
ADI79236.1:1-767	AHB73942.1:1-223
ADI79236.1:1-767	AHB73952.1:1-223
ADI79236.1:1-767	AGE15526.1:1-138
ADI79236.1:1-767	ADI79245.1:1-766
ADI79236.1:1-767	ADQ27963.1:1-228
ADI79236.1:1-767	AEO52590.1:1-409
ADI79236.1:1-767	AEO52602.1:1-410
ADI79236.1:1-767	AER09388.1:1-427
ADI79236.1:1-767	ACG80369.1:1-388
ADI79236.1:1-767	ACG80371.1:1-331
ADI79236.1:1-767	ACG80373.1:1-331
ADI79236.1:1-767	ACN85458.1:1-179
ADI79236.1:1-767	ACN85466.1:1-179
ADI79236.1:1-767	ACN85468.1:1-179
ADI79236.1:1-767	ACN85470.1:1-179
ADI79236.1:1-767	ACN85474.1:1-179
ADI79236.1:1-767	ACR27193.1:1-90
ADI79236.1:1-767	ACT36345.1:1-299
ADI79236.1:1-767	ACT36347.1:1-299
ADI79236.1:1-767	ACT36348.1:1-299
ADI79236.1:1-767	ACT36350.1:1-299
ADI79236.1:1-767	ACT36352.1:1-299
ADI79236.1:1-767	ACT36354.1:1-299
ADI79236.1:1-767	ACT36355.1:1-299
ADI79236.1:1-767	ABD61021.1:1-109
ADI79236.1:1-767	ABY81662.1:1-266
ADI79236.1:1-767	ABY81663.1:1-393
ADI79236.1:1-767	ABY81664.1:1-276
ADI79236.1:1-767	ABY81665.1:1-266
ADI79236.1:1-767	ABY81666.1:1-236
ADI79236.1:1-767	ABY81667.1:1-186
ADI79236.1:1-767	ABY81668.1:1-393
