Column1,Column2,,CTDT_charge.Tr1221,CTDT_secondarystruct.Tr1221,CTDT_solventaccess.Tr1331,CTDT_hydrophobicity_CASG920101.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr2332,CTDT_polarizability.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr1221,CTDT_hydrophobicity_ZIMJ680101.Tr1331,PAAC_Xc1.C,CTDD_hydrophobicity_ZIMJ680101.2.residue25
ACZ36899_INR912QWR_Avian_2007,A,INR912QWR,0.143872114,0.230905861,0.193605684,0.156305506,0.172291297,0.143872114,0.248667851,0.284191829,11.74241697,18.08510638
ADQ92582_ZXY061WEM_Avian_2007.391667,A,ZXY061WEM,0.14920071,0.227353464,0.191829485,0.156305506,0.168738899,0.145648313,0.248667851,0.280639432,11.72039442,18.08510638
ACU15967_MRC427SMS_Avian_2007.397222,A,MRC427SMS,0.14920071,0.23268206,0.193605684,0.156305506,0.174067496,0.143872114,0.25044405,0.282415631,11.72384196,18.08510638
AGL58350_PKP406ESE_Avian_2007.608333,A,PKP406ESE,0.145648313,0.234458259,0.191829485,0.156305506,0.168738899,0.142095915,0.248667851,0.284191829,11.72649498,18.08510638
AGL58338_AEW001JYZ_Avian_2007.569444,A,AEW001JYZ,0.147424512,0.229129663,0.190053286,0.154529307,0.170515098,0.142095915,0.246891652,0.287744227,11.72455134,17.0212766
AHA57202_CNU749SGL_Avian_2008.058333,A,CNU749SGL,0.152753108,0.23268206,0.191829485,0.154529307,0.170515098,0.142095915,0.246891652,0.285968028,11.70838693,17.0212766
ASF57790_JRL098QAM_Avian_2011.4,A,JRL098QAM,0.151245552,0.227758007,0.193950178,0.158362989,0.167259786,0.138790036,0.247330961,0.284697509,11.70185129,18.11722913
ASF57763_MSW026DZQ_Avian_2011.397222,A,MSW026DZQ,0.145648313,0.234458259,0.188277087,0.165186501,0.1669627,0.140319716,0.243339254,0.291296625,11.70568259,18.08510638
ASF57779_HRE159YGB_Avian_2011.397222,A,HRE159YGB,0.14490161,0.23255814,0.191413238,0.157423971,0.171735242,0.143112701,0.241502683,0.288014311,11.70419542,18.21428571
ASF57744_VGG667QGY_Avian_2011.394444,A,VGG667QGY,0.145648313,0.230905861,0.191829485,0.159857904,0.168738899,0.140319716,0.245115453,0.289520426,11.71190671,18.08510638
AGI65021_RQI790DKM_Avian_2010.947222,A,RQI790DKM,0.145648313,0.234458259,0.190053286,0.156305506,0.168738899,0.134991119,0.241563055,0.291296625,11.70665273,17.37588652
ACJ10016_XWI516KZS_Avian_2006.372222,A,XWI516KZS,0.145907473,0.233096085,0.190391459,0.15480427,0.170818505,0.144128114,0.247330961,0.286476868,11.72633487,18.11722913
ACR09610_HAP496DOQ_Avian_2006,A,HAP496DOQ,0.145648313,0.230905861,0.190053286,0.156305506,0.168738899,0.143872114,0.248667851,0.285968028,11.71797091,18.08510638
AHL82147_LFS301NJI_Avian_2011.791667,A,LFS301NJI,0.145648313,0.23268206,0.190053286,0.159857904,0.1669627,0.143872114,0.246891652,0.287744227,11.71833215,18.08510638
AGG83801_ITG719FVZ_Avian_2010.7,A,ITG719FVZ,0.145648313,0.230905861,0.190053286,0.159857904,0.1669627,0.143872114,0.246891652,0.287744227,11.71852183,18.08510638
ASJ82077_LDF734JYK_Avian_2016.4,A,LDF734JYK,0.145648313,0.234458259,0.191829485,0.161634103,0.174067496,0.138543517,0.243339254,0.294849023,11.70307458,17.37588652
ASV60483_LLE659ZRL_Avian_2016.397222,A,LLE659ZRL,0.147424512,0.23268206,0.193605684,0.158081705,0.175843694,0.143872114,0.245115453,0.291296625,11.70122374,18.08510638
APD69989_NKD045ZMW_Avian_2016.327778,A,NKD045ZMW,0.143872114,0.23268206,0.198934281,0.1669627,0.170515098,0.142095915,0.246891652,0.293072824,11.71892669,18.08510638
AQS25082_HCS848SYF_Avian_2015.869444,A,HCS848SYF,0.145648313,0.234458259,0.193605684,0.159857904,0.172291297,0.142095915,0.248667851,0.287744227,11.69195004,18.08510638
AQS25080_SOJ393ZNO_Avian_2015.658333,A,SOJ393ZNO,0.142095915,0.234458259,0.193605684,0.163410302,0.170515098,0.140319716,0.243339254,0.293072824,11.71128919,18.08510638
ATY72578_IWF508OXX_Avian_2016.808333,A,IWF508OXX,0.145648313,0.236234458,0.193605684,0.165186501,0.174067496,0.142095915,0.243339254,0.293072824,11.71468926,18.79432624
AMQ26366_RTZ733KKB_Avian_2014.641667,A,RTZ733KKB,0.145683453,0.232014388,0.199640288,0.154676259,0.165467626,0.147482014,0.244604317,0.293165468,11.71955193,17.77378815
AMQ30797_XXS772GAG_Avian_2014.655556,A,XXS772GAG,0.145648313,0.236234458,0.197158082,0.156305506,0.172291297,0.145648313,0.245115453,0.294849023,11.70969035,17.37588652
AMQ30809_STA444AHE_Avian_2014.655556,A,STA444AHE,0.145648313,0.234458259,0.195381883,0.156305506,0.168738899,0.145648313,0.248667851,0.293072824,11.71088841,17.37588652
