ATY73852.1:1-758	ATY73852.1:1-758
AUI42246.1:1-759	AUI42246.1:1-759
AUI42250.1:1-759	AUI42250.1:1-759
AUO30205.1:1-759	AUO30205.1:1-759
ARV89976.1:1-759	ARV89976.1:1-759
ARX74702.1:1-759	ARX74702.1:1-759
ARX75212.1:1-759	ARX75212.1:1-759
ARX93234.1:1-758	ARX93234.1:1-758
ASF57564.1:1-759	ASF57564.1:1-759
BAV31846.1:1-759	BAV31846.1:1-759
BBB38741.1:1-758	BBB38741.1:1-758
BBC21031.1:1-758	BBC21031.1:1-758
APY24152.1:1-759	APY24152.1:1-759
AQW43780.1:1-759	AQW43780.1:1-759
AQW43780.1:1-759	AQW43792.1:1-759
AQW43780.1:1-759	AQW43815.1:1-759
AQW43803.1:1-759	AQW43803.1:1-759
AQW43893.1:1-759	AQW43893.1:1-759
AQW43905.1:1-759	AQW43905.1:1-759
AQY17925.1:1-759	AQY17925.1:1-759
AQY17925.1:1-759	ALL26467.1:1-759
AQY17925.1:1-759	AGI40816.1:1-759
AQY17925.1:1-759	AGI40839.1:1-628
AQY17925.1:1-759	AGI41143.1:1-630
AQY17925.1:1-759	AGI41155.1:1-627
AQY17925.1:1-759	ACZ36519.1:1-759
AQY18120.1:1-759	AQY18120.1:1-759
AQY18120.1:1-759	ALA50578.1:1-759
AQY18120.1:1-759	ALA50676.1:1-759
AKV57760.1:1-759	AKV57760.1:1-759
AKZ42208.1:1-759	AKZ42208.1:1-759
AKZ42208.1:1-759	AKZ42232.1:1-759
AKZ42208.1:1-759	AKZ42244.1:1-759
AKZ42208.1:1-759	APY16465.1:1-759
AKZ42208.1:1-759	APY16621.1:1-759
AKZ42208.1:1-759	APY16645.1:1-759
AKZ42208.1:1-759	APY16657.1:1-759
AJK00351.1:1-759	AJK00351.1:1-759
AJY54300.1:1-759	AJY54300.1:1-759
AJY54300.1:1-759	AJY54301.1:1-759
AJY54300.1:1-759	AIQ82565.1:1-759
AJY54300.1:1-759	AHA38317.1:1-759
AJY54300.1:1-759	ACP50616.1:1-759
ALT19161.1:1-759	ALT19161.1:1-759
AEA04353.1:1-754	AEA04353.1:1-754
AEK49452.1:1-754	AEK49452.1:1-754
AEK49523.1:1-755	AEK49523.1:1-755
AEK49720.1:1-755	AEK49720.1:1-755
APG38587.1:1-759	APG38587.1:1-759
APG38616.1:1-759	APG38616.1:1-759
APG39638.1:1-759	APG39638.1:1-759
APG39662.1:1-759	APG39662.1:1-759
APG39674.1:1-759	APG39674.1:1-759
APQ31894.1:1-759	APQ31894.1:1-759
APC30618.1:1-758	APC30618.1:1-758
ALO75953.1:1-759	ALO75953.1:1-759
ALO75953.1:1-759	AIY68600.1:1-759
ALP30131.1:1-759	ALP30131.1:1-759
ALP30281.1:1-759	ALP30281.1:1-759
ALP31328.1:1-759	ALP31328.1:1-759
AHN00500.1:1-758	AHN00500.1:1-758
AHN00248.1:1-705	AHN00248.1:1-705
AHZ13553.1:1-759	AHZ13553.1:1-759
AHZ13579.1:1-756	AHZ13579.1:1-756
AHZ21079.1:1-759	AHZ21079.1:1-759
AHZ59215.1:1-759	AHZ59215.1:1-759
AIA61964.1:1-729	AIA61964.1:1-729
AIK26191.1:1-758	AIK26191.1:1-758
AIR94017.1:1-759	AIR94017.1:1-759
AIR94017.1:1-759	AIR94028.1:1-759
AIR94017.1:1-759	AIR94049.1:1-759
AIR94017.1:1-759	AIR94059.1:1-759
AIR94017.1:1-759	AIR94070.1:1-759
AIR94017.1:1-759	AIR94080.1:1-759
AIR94017.1:1-759	AIR94090.1:1-759
AIR94017.1:1-759	AIU46949.1:1-759
AIR94039.1:1-759	AIR94039.1:1-759
AIR94101.1:1-759	AIR94101.1:1-759
AIT38515.1:1-759	AIT38515.1:1-759
AIU46961.1:1-759	AIU46961.1:1-759
AIW63312.1:1-759	AIW63312.1:1-759
AHA57197.1:1-767	AHA57197.1:1-767
AHA57197.1:1-767	ATB53409.1:1-705
AHA57197.1:1-767	BAS21782.1:1-407
AHA57197.1:1-767	BAS21784.1:1-403
AHA57197.1:1-767	BAS21785.1:1-410
AHA57197.1:1-767	BAS21787.1:1-277
AHA57197.1:1-767	BAS21788.1:1-371
AHA57197.1:1-767	BAS21789.1:1-365
AHA57197.1:1-767	BAS21790.1:1-398
AHA57197.1:1-767	BAS21791.1:1-395
AHA57197.1:1-767	BAS21792.1:1-399
AHA57197.1:1-767	BAS21793.1:1-400
AHA57197.1:1-767	BAS21794.1:1-400
AHA57197.1:1-767	BAS21795.1:1-368
AHA57197.1:1-767	BAS21796.1:1-368
AHA57197.1:1-767	BAS21797.1:1-370
AHA57197.1:1-767	BAS21798.1:1-420
AHA57197.1:1-767	BAS21799.1:1-395
AHA57197.1:1-767	BAS21800.1:1-395
AHA57197.1:1-767	BAS21803.1:1-479
AHA57197.1:1-767	BAS21804.1:1-301
AHA57197.1:1-767	BAS21813.1:1-370
AHA57197.1:1-767	AQW43928.1:1-739
AHA57197.1:1-767	AQW43939.1:1-739
AHA57197.1:1-767	AQW43950.1:1-739
AHA57197.1:1-767	AQW43983.1:1-572
AHA57197.1:1-767	ARG43064.1:1-533
AHA57197.1:1-767	ARG43135.1:1-702
AHA57197.1:1-767	APG38671.1:1-654
AHA57197.1:1-767	APG38682.1:1-575
AHA57197.1:1-767	APG38715.1:1-378
AHA57197.1:1-767	APG39189.1:1-389
AHA57197.1:1-767	AMK48429.1:1-737
AHA57197.1:1-767	AKM13953.1:1-382
AHA57197.1:1-767	AKM13975.1:1-380
AHA57197.1:1-767	AKM13986.1:1-340
AHA57197.1:1-767	AKM14018.1:1-336
AHA57197.1:1-767	AKM14029.1:1-304
AHA57197.1:1-767	AKM14040.1:1-376
AHA57197.1:1-767	AKM14082.1:1-365
AHA57197.1:1-767	AKM14115.1:1-287
AHA57197.1:1-767	AKM14127.1:1-381
AHA57197.1:1-767	AKM14138.1:1-379
AHA57197.1:1-767	AKM14161.1:1-380
AHA57197.1:1-767	AKM14173.1:1-371
AHA57197.1:1-767	AKM14202.1:1-338
AHA57197.1:1-767	AKM14214.1:1-381
AHA57197.1:1-767	AKM14225.1:1-382
AHA57197.1:1-767	AKM14236.1:1-376
AHA57197.1:1-767	AKM14258.1:1-381
AHA57197.1:1-767	AKV57655.1:1-745
AHA57197.1:1-767	AKV57667.1:1-746
AHA57197.1:1-767	ALB07587.1:1-168
AHA57197.1:1-767	AJJ95407.1:1-736
AHA57197.1:1-767	AIW60831.1:1-383
AHA57197.1:1-767	AIZ69334.1:1-722
AHA57197.1:1-767	AGW25708.1:1-724
AHA57197.1:1-767	AHA57079.1:1-257
AHA57197.1:1-767	AHB73781.1:1-300
AHA57197.1:1-767	AHB73791.1:1-290
AHA57197.1:1-767	AHB73801.1:1-309
AHA57197.1:1-767	AHB73811.1:1-295
AHA57197.1:1-767	AHB73821.1:1-309
AHA57197.1:1-767	AHB73831.1:1-309
AHA57197.1:1-767	AHB73841.1:1-309
AHA57197.1:1-767	AHB73851.1:1-302
AHA57197.1:1-767	AHB73861.1:1-309
AHA57197.1:1-767	AHB73871.1:1-294
AHA57197.1:1-767	AHB73881.1:1-301
AHA57197.1:1-767	AHB73891.1:1-300
AHA57197.1:1-767	AHB73901.1:1-292
AHA57197.1:1-767	AHB73911.1:1-287
AHA57197.1:1-767	AHB73921.1:1-285
AHA57197.1:1-767	AHB73931.1:1-286
AHA57197.1:1-767	AHB73941.1:1-284
AHA57197.1:1-767	AHB73951.1:1-309
AHA57197.1:1-767	AHL20796.1:1-749
AHA57197.1:1-767	AHN13705.1:1-744
AHA57197.1:1-767	AHX37728.1:1-454
AHA57197.1:1-767	AGK23621.1:1-278
AHA57197.1:1-767	AGK23622.1:1-278
AHA57197.1:1-767	AGK23623.1:1-278
AHA57197.1:1-767	AGK23625.1:1-278
AHA57197.1:1-767	AGK24018.1:1-273
AHA57197.1:1-767	AGK24028.1:1-160
AHA57197.1:1-767	AGK24038.1:1-394
AHA57197.1:1-767	AGK24048.1:1-158
AHA57197.1:1-767	AGK24058.1:1-165
AHA57197.1:1-767	AGK24077.1:1-159
AHA57197.1:1-767	AGK24087.1:1-158
AHA57197.1:1-767	AGK24097.1:1-164
AHA57197.1:1-767	AGK24107.1:1-160
AHA57197.1:1-767	AGK24117.1:1-159
AHA57197.1:1-767	AGK24135.1:1-395
AHA57197.1:1-767	AGK24154.1:1-396
AHA57197.1:1-767	AGL04106.1:1-159
AHA57197.1:1-767	AGL04116.1:1-159
AHA57197.1:1-767	AGL04126.1:1-158
AHA57197.1:1-767	AGL04136.1:1-159
AHA57197.1:1-767	AGL04164.1:1-163
AHA57197.1:1-767	AGL04182.1:1-160
AHA57197.1:1-767	AGL04201.1:1-159
AHA57197.1:1-767	AGL04211.1:1-163
AHA57197.1:1-767	AGL04230.1:1-159
AHA57197.1:1-767	AGL04257.1:1-163
AHA57197.1:1-767	AGL04267.1:1-163
AHA57197.1:1-767	AGL04277.1:1-163
AHA57197.1:1-767	AGL04287.1:1-163
AHA57197.1:1-767	AGL04297.1:1-163
AHA57197.1:1-767	AGL96973.1:1-741
AHA57197.1:1-767	AGM16068.1:1-394
AHA57197.1:1-767	AGN69224.1:1-343
AHA57197.1:1-767	AGN69227.1:1-343
AHA57197.1:1-767	AGN69228.1:1-343
AHA57197.1:1-767	AGN69230.1:1-343
AHA57197.1:1-767	AGN69231.1:1-343
AHA57197.1:1-767	AGQ83749.1:1-426
AHA57197.1:1-767	AGS08869.2:1-665
AHA57197.1:1-767	AFM09016.1:1-741
AHA57197.1:1-767	AFM09016.1:1-741
AHA57197.1:1-767	AFM09038.1:1-746
AHA57197.1:1-767	AFM09048.1:1-746
AHA57197.1:1-767	AFM09048.1:1-746
AHA57197.1:1-767	AFM09256.1:1-743
AHA57197.1:1-767	AFM09267.1:1-746
AHA57197.1:1-767	AFM09288.1:1-748
AHA57197.1:1-767	AFM09407.1:1-748
AHA57197.1:1-767	AFM09418.1:1-745
AHA57197.1:1-767	AFM09429.1:1-747
AHA57197.1:1-767	AFM09704.1:1-745
AHA57197.1:1-767	AFO83257.1:1-731
AHA57197.1:1-767	AFP99723.1:1-710
AHA57197.1:1-767	AFP99734.1:1-710
AHA57197.1:1-767	AFP99745.1:1-710
AHA57197.1:1-767	AFP99756.1:1-710
AHA57197.1:1-767	AFP99767.1:1-710
AHA57197.1:1-767	AFP99778.1:1-710
AHA57197.1:1-767	AFP99789.1:1-710
AHA57197.1:1-767	AGE15515.1:1-158
AHA57197.1:1-767	AGE15525.1:1-158
AHA57197.1:1-767	AGE15535.1:1-158
AHA57197.1:1-767	AGE15545.1:1-158
AHA57197.1:1-767	AGE15555.1:1-158
AHA57197.1:1-767	AGE83554.1:1-739
AHA57197.1:1-767	AGE83620.1:1-158
AHA57197.1:1-767	AGE83630.1:1-158
AHA57197.1:1-767	AGE83640.1:1-158
AHA57197.1:1-767	AGE83650.1:1-158
AHA57197.1:1-767	AGE83660.1:1-152
AHA57197.1:1-767	AGE83670.1:1-158
AHA57197.1:1-767	AGE83680.1:1-158
AHA57197.1:1-767	AGE83690.1:1-152
AHA57197.1:1-767	AGE83700.1:1-158
AHA57197.1:1-767	AGE83710.1:1-158
AHA57197.1:1-767	AGE83720.1:1-158
AHA57197.1:1-767	AGE83730.1:1-158
AHA57197.1:1-767	AGE83740.1:1-158
AHA57197.1:1-767	AGE83750.1:1-158
AHA57197.1:1-767	AGE83788.1:1-158
