tre.tip.label	UID	PRT	STY	HOST	Avian	Canidae	Equidae	Hominidae	Phyllostomidae	Suidae	Prediction	Matched
MPB496GRB_ALH32786_Hominidae_2014.958333	MPB496GRB	M1	H3N2	Hominidae	0	0	0	0.8	0	0.2	Hominidae	TRUE
KFG417YAB_ARB17181_Hominidae_2017.061111	KFG417YAB	M1	H3N2	Hominidae	0	0	0	0.9	0	0.1	Hominidae	TRUE
RMV631UKQ_ALH37527_Hominidae_2015.580556	RMV631UKQ	M1	H3N2	Hominidae	0	0	0	0.9	0	0.1	Hominidae	TRUE
IHR163NLN_ATP80008_Hominidae_2017.688889	IHR163NLN	M1	H3N2	Hominidae	0	0	0	0.7	0	0.3	Hominidae	TRUE
EZZ285ZZT_APC58701_Hominidae_2016.683333	EZZ285ZZT	M1	H3N2	Hominidae	0	0	0	0.711111111111111	0	0.288888888888889	Hominidae	TRUE
OUZ706RIB_AGK73538_Hominidae_2010.997222	OUZ706RIB	M1	H3N2	Hominidae	0	0	0	0.711111111111111	0	0.288888888888889	Hominidae	TRUE
LCL892YGB_ALH31770_Hominidae_2014.941667	LCL892YGB	M1	H3N2	Hominidae	0.2	0	0	0.6	0	0.2	Hominidae	TRUE
FZI344WDN_ASZ79565_Hominidae_2017.436111	FZI344WDN	M1	H3N2	Hominidae	0	0	0	0.676923076923077	0	0.323076923076923	Hominidae	TRUE
SSL845GOM_ALH31035_Hominidae_2014.919444	SSL845GOM	M1	H3N2	Hominidae	0	0	0	0.7	0	0.3	Hominidae	TRUE
IBM263UIR_APT38823_Hominidae_2016.752778	IBM263UIR	M1	H3N2	Hominidae	0	0	0	0.8	0	0.2	Hominidae	TRUE
AAA000AAA_ADW82136_Hominidae_2009.786111	AAA000AAA	M1	H3N2	Hominidae	0.2	0	0	0.6	0	0.2	Hominidae	TRUE
KAH290UIV_ADX21071_Hominidae_2009.786111	KAH290UIV	M1	H1N1	Hominidae	0.6	0	0	0.2	0	0.2	Avian	FALSE
TYQ760VXL_ADX36110_Hominidae_2009.788889	TYQ760VXL	M1	H3N2	Hominidae	0.4	0	0	0.5	0	0.1	Hominidae	TRUE
HUZ723ARF_AID47941_Hominidae_2013.027778	HUZ723ARF	M1	H3N2	Hominidae	0	0	0	0.8	0	0.2	Hominidae	TRUE
RWX503SGC_ANM97224_Hominidae_2016.180556	RWX503SGC	M1	H3N2	Hominidae	0	0	0	0.776923076923077	0	0.223076923076923	Hominidae	TRUE
EYD402DPF_ANM95656_Hominidae_2015.683333	EYD402DPF	M1	H3N2	Hominidae	0.2	0	0	0.8	0	0	Hominidae	TRUE
BCF312TAT_AUH30193_Hominidae_2017.888889	BCF312TAT	M1	H3N2	Hominidae	0	0	0	0.6	0	0.4	Hominidae	TRUE
URR260PFX_AUP49298_Hominidae_2017.9	URR260PFX	M1	H3N2	Hominidae	0	0	0	0.776923076923077	0	0.223076923076923	Hominidae	TRUE
HHW456BMS_ASU06880_Hominidae_2017.066667	HHW456BMS	M1	H3N2	Hominidae	0	0	0	0.776923076923077	0	0.223076923076923	Hominidae	TRUE
UVF135VDW_ATZ78764_Hominidae_2017.794444	UVF135VDW	M1	H3N2	Hominidae	0	0	0	1	0	0	Hominidae	TRUE
