tre.tip.label	UID	PRT	STY	HOST	Avian	Canidae	Equidae	Hominidae	Phyllostomidae	Suidae	Prediction	Matched
EBD576GFZ_ADV78481_Suidae_2009.219444	EBD576GFZ	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
BOF309GZI_AEH42740_Suidae_2008.580556	BOF309GZI	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
SSB752HLG_ACY06468_Suidae_2006	SSB752HLG	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
DQF458HEU_ACY06465_Suidae_2006	DQF458HEU	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
KZB008ZFA_ACY06469_Suidae_2006	KZB008ZFA	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
LHO451TDU_ADD21464_Suidae_2008.863889	LHO451TDU	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
KPK138CJO_ADH83326_Suidae_2008.666667	KPK138CJO	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
OND949FJK_ADV69011_Suidae_2010.75	OND949FJK	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
WJU630FQR_ADH83327_Suidae_2009.344444	WJU630FQR	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
HOI079HCA_ADH83329_Suidae_2009.505556	HOI079HCA	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
XOW518JFO_ADG23204_Suidae_2009.833333	XOW518JFO	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
TGN687FSQ_ACN50274_Suidae_2005.5	TGN687FSQ	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
LSR315ANT_ACY06466_Suidae_2006	LSR315ANT	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
GIX319LET_ACA25345_Suidae_2005.502778	GIX319LET	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
CVH838HWC_ADV69013_Suidae_2005.833333	CVH838HWC	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
LRT835TIG_ADZ04786_Suidae_1994.316667	LRT835TIG	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
AKW063VGW_ADZ04816_Suidae_1994.336111	AKW063VGW	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
THS001UYB_ADZ04776_Suidae_1994.316667	THS001UYB	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
LVB299NMB_ADY70725_Suidae_1994.15	LVB299NMB	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
QCL661XLG_ADY70705_Suidae_1994.097222	QCL661XLG	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
FBZ008ZCH_ADY70626_Suidae_1993.861111	FBZ008ZCH	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
UBW059IOB_ADY71035_Suidae_2001.663889	UBW059IOB	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
GLR391UOE_ADY70524_Suidae_1993.55	GLR391UOE	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
AWT954RTL_AGN69276_Suidae_1991	AWT954RTL	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
KLY271UUJ_ADY70895_Suidae_2000.622222	KLY271UUJ	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
VJJ554PLS_ADY70905_Suidae_2000.661111	VJJ554PLS	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
QNP506WBZ_ADY71095_Suidae_2002.133333	QNP506WBZ	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
LXC706RWU_ADY70925_Suidae_2000.802778	LXC706RWU	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
FFQ441HFD_ADY71025_Suidae_2001.583333	FFQ441HFD	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
UHM334RXS_ADY70955_Suidae_2001.083333	UHM334RXS	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
ABL015BDR_ADY70995_Suidae_2001.313889	ABL015BDR	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
WQL814KXI_ADY71156_Suidae_2002.938889	WQL814KXI	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
AXG371HLI_ADY71045_Suidae_2001.713889	AXG371HLI	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
DOB817ZWV_ADY71015_Suidae_2001.455556	DOB817ZWV	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
NJL580RDY_ADY71115_Suidae_2002.45	NJL580RDY	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
AGA050DRV_ACR84012_Suidae_2001.969444	AGA050DRV	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
YKQ900IHT_ADY70855_Suidae_2000.247222	YKQ900IHT	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
SBX954EQR_ADZ04836_Suidae_1999.972222	SBX954EQR	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
NAQ367DNB_ADY70885_Suidae_2000.575	NAQ367DNB	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
XYJ118KBS_ADY70544_Suidae_1993.591667	XYJ118KBS	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
IVL692HII_AGN69265_Suidae_1992	IVL692HII	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
YJF260BOP_ACR84010_Suidae_1993.533333	YJF260BOP	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
SBU349LWX_ADY70574_Suidae_1993.7	SBU349LWX	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
VKX987QFX_ADY70665_Suidae_1993.913889	VKX987QFX	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
RYO235HZS_AEM60098_Suidae_1990	RYO235HZS	PA	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
ISM055SWS_ACF25599_Avian_1992	ISM055SWS	PA	H1N1	Avian	0	0	0	0	0	1	Suidae	FALSE
XXV243NCR_ADY71284_Suidae_2004.213889	XXV243NCR	PA	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
WNE473DKQ_ADY71338_Suidae_2004.786111	WNE473DKQ	PA	H1N2	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
BPL423QWG_ADY71232_Suidae_2003.791667	BPL423QWG	PA	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
TUE897UWU_ADY71253_Suidae_2003.955556	TUE897UWU	PA	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
PVC886ZRH_ADY71274_Suidae_2004.144444	PVC886ZRH	PA	H1N2	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
