tre.tip.label	UID	PRT	STY	HOST	Avian	Canidae	Equidae	Hominidae	Phyllostomidae	Suidae	Prediction	Matched
VCW720YFI_AUO32054_Suidae_2017.641667	VCW720YFI	NS1	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
ZAU637MWE_AUO32064_Suidae_2017.663889	ZAU637MWE	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
IBH583TMD_ATI21477_Suidae_2017.261111	IBH583TMD	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
JAN801KHG_AUO32124_Suidae_2017.586111	JAN801KHG	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
GFZ540MDS_AIN25610_Suidae_2014.566667	GFZ540MDS	NS1	H3N2	Suidae	0	0	0	0.00666666666666667	0	0.993333333333333	Suidae	TRUE
ZFF963RCN_AOO54837_Suidae_2015.994444	ZFF963RCN	NS1	H3N2	Suidae	0.00909090909090909	0	0	0.00909090909090909	0	0.981818181818182	Suidae	TRUE
USP515ZKZ_AOT22706_Suidae_2016.244444	USP515ZKZ	NS1	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
DHU745JRU_ATL15321_Suidae_2015.819444	DHU745JRU	NS1	H1N2	Suidae	0	0	0	0.0333333333333333	0	0.966666666666667	Suidae	TRUE
QTC591RQL_ATP61402_Suidae_2017.397222	QTC591RQL	NS1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
HTY888MEG_APD69533_Suidae_2015.061111	HTY888MEG	NS1	H3N2	Suidae	0	0	0	0.1	0	0.9	Suidae	TRUE
CMU438LUB_AUO32034_Suidae_2017.658333	CMU438LUB	NS1	H3N2	Suidae	0	0	0	0.08	0	0.92	Suidae	TRUE
CQC868VHS_ARX97244_Suidae_2015.763889	CQC868VHS	NS1	H3N2	Suidae	0.00909090909090909	0	0	0.00909090909090909	0	0.981818181818182	Suidae	TRUE
VZX846QML_AUO32006_Suidae_2017.608333	VZX846QML	NS1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
VSF986AIT_ATI21507_Suidae_2017.277778	VSF986AIT	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
XMJ600FON_AUO32044_Suidae_2017.666667	XMJ600FON	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
GWZ664JXP_AHI97859_Suidae_2012.463889	GWZ664JXP	NS1	H1N2	Suidae	0	0	0	0.0444444444444444	0	0.955555555555555	Suidae	TRUE
XIL506CSS_AUO32194_Suidae_2017.647222	XIL506CSS	NS1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
KKQ879RAQ_AMY15835_Suidae_2012.902778	KKQ879RAQ	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
LOC754YAC_AMY15902_Suidae_2012.872222	LOC754YAC	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
BTB530ETR_AKQ43527_Suidae_2014.841667	BTB530ETR	NS1	H1N2	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
EOB838RJL_AMY16074_Suidae_2012.475	EOB838RJL	NS1	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
TEA738MWN_AKV57627_Suidae_2014	TEA738MWN	NS1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
JZT895JLF_ASF58122_Suidae_2017.044444	JZT895JLF	NS1	H1N2	Suidae	0	0	0	0.1	0	0.9	Suidae	TRUE
RJD905DOQ_AHI43495_Suidae_2013.866667	RJD905DOQ	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
ZYR471FNW_AFR75841_Suidae_2009	ZYR471FNW	NS1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
KPK814BFE_ATB53866_Suidae_2016.127778	KPK814BFE	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
PEV816GFS_AUO32024_Suidae_2017.644444	PEV816GFS	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
BSN409TCC_AUO32074_Suidae_2017.661111	BSN409TCC	NS1	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
FCO566FJU_ANK57513_Suidae_2014.463889	FCO566FJU	NS1	H3N2	Suidae	0.0027027027027027	0	0	0.0027027027027027	0	0.994594594594595	Suidae	TRUE
CNS049INU_ANZ03625_Suidae_2015.155556	CNS049INU	NS1	H3N2	Suidae	0.05	0	0	0.00476190476190476	0	0.945238095238095	Suidae	TRUE
FOG636YPR_ATJ01531_Suidae_2015.461111	FOG636YPR	NS1	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
ADF673ZGF_ATJ02099_Suidae_2016.341667	ADF673ZGF	NS1	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
MQZ636GHX_ANK57633_Suidae_2014.052778	MQZ636GHX	NS1	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
GUL330VBW_ATJ01825_Suidae_2016.033333	GUL330VBW	NS1	H3N2	Suidae	0	0	0	0.00476190476190476	0	0.995238095238095	Suidae	TRUE
MXQ621ETX_AEA29240_Suidae_2009.425	MXQ621ETX	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
MKV857IBK_ANK57623_Suidae_2014.055556	MKV857IBK	NS1	H1N2	Suidae	0	0	0	0.1	0	0.9	Suidae	TRUE
DDW320IJF_ADZ05651_Suidae_2007.136111	DDW320IJF	NS1	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
BDC123CIR_AHB23100_Suidae_2009.555556	BDC123CIR	NS1	H1N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
GTM442MZC_AEA29226_Suidae_2009.35	GTM442MZC	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
SDT551VBS_AEA29224_Suidae_2009.344444	SDT551VBS	NS1	H1N1	Suidae	0.1	0	0	0	0	0.9	Suidae	TRUE
GEY985UMA_AHB22560_Suidae_2011.805556	GEY985UMA	NS1	H3N2	Suidae	0.0027027027027027	0	0	0.0027027027027027	0	0.994594594594595	Suidae	TRUE
GYZ412UOG_AUO32154_Suidae_2017.622222	GYZ412UOG	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
EYU174NAO_AEA29232_Suidae_2009.347222	EYU174NAO	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
BSZ018ZIZ_ANZ03587_Suidae_2014.327778	BSZ018ZIZ	NS1	H1N1	Suidae	0	0	0	0	0	1	Suidae	TRUE
ZYW830JIN_ADZ05645_Suidae_2007.063889	ZYW830JIN	NS1	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
YPL515QAV_ANK57613_Suidae_2014.172222	YPL515QAV	NS1	H3N2	Suidae	0.1	0	0	0.0388888888888889	0	0.861111111111111	Suidae	TRUE
GBB582BST_AMY15718_Suidae_2012.797222	GBB582BST	NS1	H3N2	Suidae	0	0	0	0	0	1	Suidae	TRUE
