Seq	UID	Host	CTDT_charge.Tr1221	CTDT_secondarystruct.Tr1221	CTDT_solventaccess.Tr1331	CTDT_hydrophobicity_CASG920101.Tr1331	CTDT_hydrophobicity_ARGP820101.Tr2332	CTDT_polarizability.Tr1331	CTDT_hydrophobicity_ARGP820101.Tr1221	CTDT_hydrophobicity_ZIMJ680101.Tr1331
ABV47432_LEO924JPI_Avian_2002	LEO924JPI	Avian	0.174950298	0.232604374	0.190854871	0.145129225	0.145129225	0.16500994	0.272365805	0.276341948
ABV48629_RCS821XRW_Avian_2001	RCS821XRW	Avian	0.17693837	0.254473161	0.186878728	0.155069583	0.13916501	0.159045726	0.270377734	0.284294235
AEK65882_GCT198JHB_Avian_2007.736111	GCT198JHB	Avian	0.184729064	0.24137931	0.201970443	0.226600985	0.192118227	0.150246305	0.24137931	0.285714286
AGL97634_LYA710IDG_Avian_2012.180556	LYA710IDG	Avian	0.16468254	0.244047619	0.19047619	0.186507937	0.123015873	0.152777778	0.257936508	0.297619048
ABV47234_PQN845GWB_Avian_2005	PQN845GWB	Avian	0.163708087	0.24260355	0.201183432	0.153846154	0.138067061	0.159763314	0.287968442	0.280078895
ABV46629_SPV948WWJ_Avian_2001	SPV948WWJ	Avian	0.177165354	0.246062992	0.188976378	0.141732283	0.149606299	0.167322835	0.267716535	0.269685039
ABV47190_KOY047FGV_Avian_2002	KOY047FGV	Avian	0.177165354	0.244094488	0.190944882	0.143700787	0.147637795	0.163385827	0.269685039	0.273622047
ABV48356_WLM715JGC_Avian_2001	WLM715JGC	Avian	0.177042802	0.250972763	0.192607004	0.159533074	0.142023346	0.16536965	0.266536965	0.285992218
ABV46865_PPW356IIA_Avian_2004	PPW356IIA	Avian	0.176356589	0.244186047	0.195736434	0.143410853	0.147286822	0.158914729	0.26744186	0.277131783
ABV47069_AHE525TUG_Avian_2002	AHE525TUG	Avian	0.174418605	0.240310078	0.195736434	0.141472868	0.145348837	0.162790698	0.269379845	0.273255814
ABV47311_VTQ018TVY_Avian_2002	VTQ018TVY	Avian	0.176356589	0.244186047	0.195736434	0.141472868	0.141472868	0.168604651	0.269379845	0.273255814
ABV47927_OYL638NFF_Avian_2003	OYL638NFF	Avian	0.170542636	0.240310078	0.197674419	0.145348837	0.147286822	0.158914729	0.263565891	0.277131783
ABV47960_DOY181NKM_Avian_2003	DOY181NKM	Avian	0.170542636	0.238372093	0.197674419	0.141472868	0.145348837	0.156976744	0.269379845	0.273255814
ABV48048_XQU623DSN_Avian_2004	XQU623DSN	Avian	0.170542636	0.238372093	0.197674419	0.141472868	0.145348837	0.156976744	0.269379845	0.269379845
ABV48070_HWP275CZM_Avian_2004	HWP275CZM	Avian	0.174418605	0.240310078	0.197674419	0.143410853	0.143410853	0.160852713	0.26744186	0.275193798
ABV48136_NOK901NIZ_Avian_2004	NOK901NIZ	Avian	0.176356589	0.242248062	0.189922481	0.145348837	0.145348837	0.160852713	0.265503876	0.277131783
ABV48224_PGS558NAF_Avian_2004	PGS558NAF	Avian	0.174418605	0.244186047	0.195736434	0.143410853	0.147286822	0.158914729	0.26744186	0.277131783
ABV48345_AMD373PQA_Avian_2004	AMD373PQA	Avian	0.170542636	0.244186047	0.197674419	0.143410853	0.145348837	0.158914729	0.265503876	0.279069767
AKJ81556_LDZ876JQQ_Suidae_1994.011111	LDZ876JQQ	Suidae	0.154142582	0.221579961	0.210019268	0.16955684	0.134874759	0.150289017	0.244701349	0.310211946
AHL82862_YJZ433DQU_Avian_2011.919444	YJZ433DQU	Avian	0.174664107	0.249520154	0.172744722	0.203454894	0.149712092	0.126679463	0.26487524	0.289827255
ABV47223_YLJ993CLO_Avian_2005	YLJ993CLO	Avian	0.170498084	0.245210728	0.197318008	0.153256705	0.139846743	0.157088123	0.285440613	0.277777778
ABV47355_VPF506DHC_Avian_2005	VPF506DHC	Avian	0.17208413	0.252390057	0.196940727	0.152963671	0.141491396	0.156787763	0.284894837	0.273422562
ACY80607_YTN148EPR_Avian_2006	YTN148EPR	Avian	0.145315488	0.233269598	0.193116635	0.154875717	0.154875717	0.143403442	0.24665392	0.286806883
ACY80609_QTD117YAI_Avian_2006	QTD117YAI	Avian	0.149139579	0.233269598	0.191204589	0.156787763	0.158699809	0.147227533	0.24665392	0.286806883
ACZ48574_JRE639ESP_Avian_1995	JRE639ESP	Avian	0.151051625	0.223709369	0.193116635	0.17208413	0.156787763	0.137667304	0.240917782	0.294455067
ABV47278_VKR349ZHV_Avian_2005	VKR349ZHV	Avian	0.171755725	0.251908397	0.198473282	0.152671756	0.139312977	0.15648855	0.280534351	0.278625954
ACZ48657_JXL616TFA_Avian_2002.655556	JXL616TFA	Avian	0.145038168	0.240458015	0.194656489	0.15648855	0.16221374	0.145038168	0.240458015	0.299618321
BAK61665_KPG965MDD_Avian_2011.127778	KPG965MDD	Avian	0.177480916	0.236641221	0.198473282	0.160305344	0.16221374	0.145038168	0.259541985	0.297709924
ABV46393_OVR310RTM_Avian_2002	OVR310RTM	Avian	0.176806084	0.254752852	0.19391635	0.146387833	0.144486692	0.153992395	0.271863118	0.273764259
ABV47366_GTL678OTA_Avian_2005	GTL678OTA	Avian	0.171102662	0.252851711	0.211026616	0.150190114	0.146387833	0.157794677	0.273764259	0.273764259
ABV47388_KKI424HOV_Avian_2002	KKI424HOV	Avian	0.188212928	0.245247148	0.203422053	0.150190114	0.148288973	0.161596958	0.268060837	0.281368821
ABV47421_NVX349IHV_Avian_2005	NVX349IHV	Avian	0.171102662	0.258555133	0.199619772	0.157794677	0.142585551	0.155893536	0.281368821	0.27756654
ABV47520_CVW246LVX_Avian_2002	CVW246LVX	Avian	0.184410646	0.241444867	0.199619772	0.142585551	0.142585551	0.16539924	0.273764259	0.271863118
ABV47575_TGB241KEK_Avian_2004	TGB241KEK	Avian	0.180608365	0.241444867	0.201520913	0.146387833	0.140684411	0.163498099	0.271863118	0.275665399
ACY29890_XOR173KYL_Avian_2005	XOR173KYL	Avian	0.171102662	0.25095057	0.201520913	0.155893536	0.142585551	0.155893536	0.27756654	0.27756654
ACY80618_SOZ465RWS_Avian_2006	SOZ465RWS	Avian	0.144486692	0.228136882	0.190114068	0.161596958	0.155893536	0.146387833	0.241444867	0.298479087
ACZ48564_WAT160NKJ_Avian_1998	WAT160NKJ	Avian	0.157495256	0.225806452	0.19544592	0.163187856	0.163187856	0.134724858	0.24288425	0.290322581
