UID,Subtype,Classification
UCK136ZHI,H9N2,Avian
YJI223MMC,H5N1,Avian
YBN129LQZ,H5N1,Avian
MLN410AQC,H9N2,Avian
SMP447YCU,H5N1,Avian
CIC265FSG,H12N9,Avian
IOM824GRG,H7N1,Avian
SLD793ATA,H10N5,Avian
DCL317XRF,H9N2,Avian
PJS977ELY,H5N2,Avian
FKY524HJN,H2N1,Avian
IXI013ZHW,H6N8,Avian
LRJ622SBH,H4N6,Avian
YLZ584UVY,H9N2,Avian
ISU019NOE,H9N2,Avian
PVH109FYG,H9N2,Avian
PUA617KWM,H9N2,Avian
VLP455CZQ,H9N2,Avian
VNZ360EAT,H5N1,Avian
YPS112NSU,H1N1,Hominidae
KNH753ZAE,H11N2,Avian
SPJ692ZJI,H4N6,Avian
FIQ619QFT,H4N8,Avian
ZXS295BGN,H4N6,Avian
OMJ493SNB,H3N8,Avian
HEW811ETJ,H4N6,Avian
AZM546FIO,H4N6,Avian
AWF928TRH,H4N6,Avian
GEH988VUZ,H4N6,Avian
APW143XCT,H4N6,Avian
GHG381XWK,H4N6,Avian
WKZ731NOR,H10N7,Avian
HXY997ZQW,H1N1,Avian
NSI419RJF,H5N4,Avian
TYE345IVD,H11N9,Avian
OEA909SEY,H10N3,Avian
IRE490MBX,H3N8,Avian
EVJ790NFU,H6N1,Avian
HZT699ETG,H5N2,Avian
WYC322ZLU,H5N1,Avian
KCB303QLL,H9N2,Avian
FWQ329GUL,H9N2,Avian
YJG809BOV,H9N2,Avian
DIQ602RBQ,H5N2,Avian
CES746SQV,H13N8,Avian
ZRJ658GYJ,H16N3,Avian
QCZ939JSR,H5N1,Avian
AFL356QLL,H7N2,Avian
UGV637BIT,H7N2,Avian
JQK430PMM,H9N2,Avian
GRX160XCD,H9N2,Avian
ZEF276AXS,H9N2,Avian
CHS183ONW,H5N1,Avian
YWD281HHD,H9N2,Avian
RXQ706BJJ,H6N8,Avian
RKH286PTH,H6N1,Avian
HLP108DHN,H9N2,Avian
LAG650RZI,H7N2,Avian
YBL932VOT,H5N1,Avian
LLB841IDR,H5N1,Avian
KPJ026MKA,H6N8,Avian
CZB980QND,H6N1,Avian
LGR697SMD,H3N8,Avian
ROM386SBF,H9N2,Avian
LSM347EXK,H5N1,Avian
ZBM614SUS,H3N2,Avian
QZM628PNK,H3N1,Avian
BXU152OZK,H3N3,Avian
BMZ208WCQ,H3N2,Avian
CFT767TLS,H3N8,Avian
CXA968RPP,H3N2,Avian
GSU468DYD,H3N8,Avian
GLA198OXS,H3N8,Avian
VNZ977ZDU,H10N7,Avian
SDU960AQA,H10N7,Avian
LCV751NIS,H10N7,Avian
GLP749YHI,H9N2,Avian
AIO100PZJ,H3N6,Avian
MDC881GMX,H6N2,Avian
DVL623IME,H9N2,Avian
KXJ290EBG,H13N6,Avian
QCJ904VYQ,H13N8,Avian
CCM104EEE,H16N3,Avian
COD100OSK,H16N3,Avian
ZRZ537ELC,H16N3,Avian
BRL810BDB,H3N2,Avian
ZFB327DCJ,H10N3,Avian
TDH436FMY,H3N8,Avian
ITK694TQN,H6N2,Avian
RLD391UGQ,H4N9,Avian
NMU730NGN,H5N8,Avian
EQS084CZC,H3N2,Avian
KLF152STR,H9N2,Avian
HSN094ROT,H5N1,Avian
KQE534YRI,H5N1,Avian
YLS489DFC,H5N1,Avian
OMH356DIF,H5N1,Avian
OVT048FSV,H5N1,Avian
UDD043DWA,H5N1,Avian
DAU956RTH,H5N1,Avian
VVP675ZJY,H9N2,Avian
CHQ929DOU,H5N1,Avian
AMD945LCN,H5N1,Avian
REP673RKJ,H9N2,Avian
SAR984BHT,H9N2,Avian
BQP335EPM,H9N2,Avian
YVI902GRS,H5N1,Avian
XKH503KUR,H5N1,Avian
AJK187SXQ,H9N2,Avian
FYN588FGU,H9N2,Avian
UXE279CDN,H9N2,Avian
GPZ165ORO,H9N2,Avian
JRF509AQK,H9N2,Avian
LMP343WOY,H3N2,Suidae
YHB617IWV,H5N1,Avian
YSC721XYO,H5N1,Avian
KDL267FLV,H5N1,Avian
SWY350KAE,H5N1,Avian
CML818FVJ,H5N1,Avian
KYK014ENU,H5N1,Avian
YJU937EQC,H9N2,Avian
CXW924BMB,H5N2,Avian
NAR395QPH,H5N1,Avian
LJS530LSH,H9N2,Avian
MKC228FOP,H5N2,Avian
UUM848VNP,H5N1,Avian
FNQ019GZW,H5N1,Avian
OBU408QNT,H6N2,Avian
CSQ025IXJ,H5N1,Avian
UNX773ODB,H9N2,Avian
URO047XFE,H9N2,Avian
TMT214ETD,H5N1,Avian
PWX580XTG,H9N2,Avian
EHA044ARW,H5N1,Avian
USB813MVL,H9N2,Avian
KHK393DSZ,H9N2,Avian
KNP875IRE,H9N2,Avian
BGR194POD,H9N2,Avian
CZA516TJX,H9N2,Avian
