tre.tip.label	V1	PRT	STY	V4	Avian	Canidae	Equidae	Hominidae	Phyllostomidae	Suidae	Prediction	Mismatch
DCN321RFF_AGH99304_Hominidae_2009.041667	DCN321RFF	PB2	H1N1	Hominidae	0.1	0	0	0.6	0	0.3	Hominidae	TRUE
OFL502XXU_AEX35130_Hominidae_2008.563889	OFL502XXU	PB2	H1N1	Hominidae	0.4	0.1	0	0.3	0	0.2	Avian	FALSE
THG271QXQ_AEN02502_Hominidae_2008.116667	THG271QXQ	PB2	H1N1	Hominidae	0	0	0	0.4	0	0.6	Suidae	FALSE
FXT583ELJ_AHL90288_Hominidae_2008.116667	FXT583ELJ	PB2	H1N1	Hominidae	0.1	0	0	0.4	0	0.5	Suidae	FALSE
VKJ767XHM_ADN89753_Hominidae_2009.352778	VKJ767XHM	PB2	H1N1	Hominidae	0.3	0	0	0.5	0	0.2	Hominidae	TRUE
LIZ759NMC_AJJ99805_Hominidae_2008.111111	LIZ759NMC	PB2	H1N1	Hominidae	0.2	0	0	0.3	0	0.5	Suidae	FALSE
PPM185JMB_AEX34899_Hominidae_2008.536111	PPM185JMB	PB2	H1N1	Hominidae	0.2	0.1	0	0.4	0	0.3	Hominidae	TRUE
DJP043BAL_AEX35218_Hominidae_2008.558333	DJP043BAL	PB2	H1N1	Hominidae	0.4	0	0	0.3	0	0.3	Avian	FALSE
BQU060MFC_ADN92905_Hominidae_2008.827778	BQU060MFC	PB2	H1N1	Hominidae	0.2	0.1	0	0.2	0	0.5	Suidae	FALSE
KEE374DAF_ADN92906_Hominidae_2008.916667	KEE374DAF	PB2	H1N1	Hominidae	0	0.1	0	0.3	0	0.6	Suidae	FALSE
LZX741HQH_AEX35053_Hominidae_2008.886111	LZX741HQH	PB2	H1N1	Hominidae	0.2	0.1	0	0.3	0	0.4	Suidae	FALSE
IGG274EUI_ADW10570_Hominidae_2009.116667	IGG274EUI	PB2	H1N1	Hominidae	0.4	0	0	0.3	0	0.3	Avian	FALSE
BJK922RGE_ADN89478_Hominidae_2009.316667	BJK922RGE	PB2	H1N1	Hominidae	0.3	0	0	0.5	0	0.2	Hominidae	TRUE
IUI536QOV_ADN89159_Hominidae_2009.327778	IUI536QOV	PB2	H1N1	Hominidae	0.2	0	0	0.5	0	0.3	Hominidae	TRUE
DPB875UJN_ADI75916_Hominidae_2009.316667	DPB875UJN	PB2	H1N1	Hominidae	0.1	0	0	0.4	0	0.5	Suidae	FALSE
HVS556HZJ_AJJ99420_Hominidae_2009.077778	HVS556HZJ	PB2	H1N1	Hominidae	0.2	0.1	0	0.3	0	0.4	Suidae	FALSE
AOY639HEC_AHY84539_Hominidae_2009.708333	AOY639HEC	PB2	H1N1	Hominidae	0.2	0	0	0.3	0	0.5	Suidae	FALSE
PNW903VVS_ARI69053_Hominidae_2009.627778	PNW903VVS	PB2	H1N1	Hominidae	0	0	0	0.8	0	0.2	Hominidae	TRUE
ZUY306BKJ_ARI70179_Hominidae_2009.580556	ZUY306BKJ	PB2	H1N1	Hominidae	0.4	0	0	0.3	0	0.3	Avian	FALSE
OXG084DJU_ADW10863_Hominidae_2009.133333	OXG084DJU	PB2	H1N1	Hominidae	0.2	0.1	0	0.3	0	0.4	Suidae	FALSE
IGS897OKD_AHL90901_Hominidae_2009.130556	IGS897OKD	PB2	H1N1	Hominidae	0.3	0.1	0	0.4	0	0.2	Hominidae	TRUE
PXX349QBV_ADN89808_Hominidae_2009.319444	PXX349QBV	PB2	H1N1	Hominidae	0.2	0	0	0.5	0	0.3	Hominidae	TRUE
ODZ382NGO_AEX35075_Hominidae_2008.9	ODZ382NGO	PB2	H1N1	Hominidae	0.2	0	0	0.3	0	0.5	Suidae	FALSE
PZL133AVZ_ADI75828_Hominidae_2009.322222	PZL133AVZ	PB2	H1N1	Hominidae	0.4	0.1	0	0.3	0	0.2	Avian	FALSE
YMS481VNA_ADN89324_Hominidae_2009	YMS481VNA	PB2	H1N1	Hominidae	0.3	0	0	0.4	0	0.3	Hominidae	TRUE
DYH302LIY_AEX35152_Hominidae_2008.488889	DYH302LIY	PB2	H1N1	Hominidae	0.2	0.1	0	0.3	0	0.4	Suidae	FALSE
BZU299FVY_AJJ99319_Hominidae_2008.791667	BZU299FVY	PB2	H1N1	Hominidae	0.1	0.1	0	0.5	0	0.3	Hominidae	TRUE
TYW298QPY_ADP92464_Hominidae_2009	TYW298QPY	PB2	H1N1	Hominidae	0.3	0.1	0	0.2	0	0.4	Suidae	FALSE
OTY844ISJ_AFJ78660_Hominidae_2009.127778	OTY844ISJ	PB2	H1N1	Hominidae	0.1	0.1	0	0.3	0	0.5	Suidae	FALSE
JVP434VYC_AJJ99408_Hominidae_2009.502778	JVP434VYC	PB2	H1N1	Hominidae	0.1	0	0	0.3	0	0.6	Suidae	FALSE
EBZ961ABT_AJJ99793_Hominidae_2009.111111	EBZ961ABT	PB2	H1N1	Hominidae	0.3	0	0	0.2	0	0.5	Suidae	FALSE
ZAM366WGH_AJJ99770_Hominidae_2009.577778	ZAM366WGH	PB2	H1N1	Hominidae	0.2	0	0	0.3	0	0.5	Suidae	FALSE
OWM823VUG_ADN92907_Hominidae_2009.033333	OWM823VUG	PB2	H1N1	Hominidae	0.3	0	0	0.4	0	0.3	Hominidae	TRUE
DWJ114WDF_AGR49789_Hominidae_2009.127778	DWJ114WDF	PB2	H1N1	Hominidae	0.2	0.1	0	0.4	0	0.3	Hominidae	TRUE
XHJ463UON_ADN89203_Hominidae_2009.327778	XHJ463UON	PB2	H1N1	Hominidae	0.3	0	0	0.4	0	0.3	Hominidae	TRUE
XTF810VFF_AHI97822_Hominidae_2009.452778	XTF810VFF	PB2	H1N1	Hominidae	0.3	0.1	0	0.2	0	0.4	Suidae	FALSE
IPS711MQC_AEB71906_Hominidae_2009.111111	IPS711MQC	PB2	H1N1	Hominidae	0.4	0.1	0	0.3	0	0.2	Avian	FALSE
BGD955FAQ_AHL90252_Hominidae_2008.097222	BGD955FAQ	PB2	H1N1	Hominidae	0.1	0.1	0	0.3	0	0.5	Suidae	FALSE
MLT818DPS_AEO01705_Hominidae_2008.941667	MLT818DPS	PB2	H1N1	Hominidae	0.2	0.2	0	0.2	0	0.4	Suidae	FALSE
CPW061UPR_AEA73726_Hominidae_2009.058333	CPW061UPR	PB2	H1N1	Hominidae	0.2	0.2	0	0.3	0	0.3	Hominidae	TRUE
ILA512BYL_AEA73759_Hominidae_2009.091667	ILA512BYL	PB2	H1N1	Hominidae	0.2	0.1	0	0.4	0	0.3	Hominidae	TRUE
XXV406OSU_ADN89115_Hominidae_2009.322222	XXV406OSU	PB2	H1N1	Hominidae	0	0	0	0.4	0	0.6	Suidae	FALSE
YZD805EZD_ADN92903_Hominidae_2008.336111	YZD805EZD	PB2	H1N1	Hominidae	0.2	0	0	0.3	0	0.5	Suidae	FALSE
VHS963MEN_AEA73660_Hominidae_2009.116667	VHS963MEN	PB2	H1N1	Hominidae	0.3	0.2	0	0.3	0	0.2	Avian	FALSE
RGM624DEI_ADW10603_Hominidae_2009.155556	RGM624DEI	PB2	H1N1	Hominidae	0.2	0.1	0	0.3	0	0.4	Suidae	FALSE
JXQ034AVS_ADW10614_Hominidae_2009.158333	JXQ034AVS	PB2	H1N1	Hominidae	0.2	0.1	0	0.4	0	0.3	Hominidae	TRUE
OVE935FRO_AGH99302_Hominidae_2007.477778	OVE935FRO	PB2	H1N1	Hominidae	0.2	0	0	0.6	0	0.2	Hominidae	TRUE
QIB763JWR_AEX35108_Hominidae_2008.063889	QIB763JWR	PB2	H1N1	Hominidae	0.2	0.2	0	0.3	0	0.3	Hominidae	TRUE
ZRD820VNV_ATU81626_Hominidae_2007	ZRD820VNV	PB2	H1N1	Hominidae	0.2	0.1	0	0.3	0	0.4	Suidae	FALSE
ENK840HFV_ADW10537_Hominidae_2009.166667	ENK840HFV	PB2	H1N1	Hominidae	0.1	0.1	0	0.4	0	0.4	Hominidae	TRUE
ZVR465GXW_AJK00086_Hominidae_2007.930556	ZVR465GXW	PB2	H1N1	Hominidae	0	0	0	0.3	0	0.7	Suidae	FALSE
PGN915DQG_ADW09207_Hominidae_2009.108333	PGN915DQG	PB2	H1N1	Hominidae	0	0.1	0	0.3	0	0.6	Suidae	FALSE
WFS202BUC_ADW10548_Hominidae_2009.172222	WFS202BUC	PB2	H1N1	Hominidae	0.1	0.1	0	0.3	0	0.5	Suidae	FALSE
OTP246AOG_AHL90168_Hominidae_2008.055556	OTP246AOG	PB2	H1N1	Hominidae	0.2	0	0	0.5	0	0.3	Hominidae	TRUE
QER621PPR_AEA73671_Hominidae_2009.141667	QER621PPR	PB2	H1N1	Hominidae	0.2	0	0	0.4	0	0.4	Hominidae	TRUE
JWP838NEL_ADW09337_Hominidae_2009.147222	JWP838NEL	PB2	H1N1	Hominidae	0.3	0	0	0.4	0	0.3	Hominidae	TRUE
ISE512CMW_ADW09262_Hominidae_2009.136111	ISE512CMW	PB2	H1N1	Hominidae	0	0.1	0	0.4	0	0.5	Suidae	FALSE
RQY656DMJ_AHL90384_Hominidae_2008.180556	RQY656DMJ	PB2	H1N1	Hominidae	0.1	0.1	0	0.3	0	0.5	Suidae	FALSE
MMV201PKO_AHL90805_Hominidae_2009.061111	MMV201PKO	PB2	H1N1	Hominidae	0.1	0.1	0.1	0.3	0	0.4	Suidae	FALSE
ULN240TVP_ADW10526_Hominidae_2009.166667	ULN240TVP	PB2	H1N1	Hominidae	0.3	0.1	0	0.4	0	0.2	Hominidae	TRUE
ZZV102KKJ_AHL89569_Hominidae_2006.944444	ZZV102KKJ	PB2	H1N1	Hominidae	0.2	0	0	0.4	0	0.4	Hominidae	TRUE
WBN330RKS_AHL89773_Hominidae_2007.158333	WBN330RKS	PB2	H1N1	Hominidae	0.2	0	0	0.2	0	0.6	Suidae	FALSE
FHY116LKW_AHL89581_Hominidae_2006.95	FHY116LKW	PB2	H1N1	Hominidae	0.2	0	0	0.4	0	0.4	Hominidae	TRUE
HTM083HKH_AHL89857_Hominidae_2007.111111	HTM083HKH	PB2	H1N1	Hominidae	0.3	0	0	0.4	0	0.3	Hominidae	TRUE
IZY969UOV_AHL89689_Hominidae_2007.097222	IZY969UOV	PB2	H1N1	Hominidae	0.1	0	0	0.5	0	0.4	Hominidae	TRUE
RZL499TXR_ADM31389_Hominidae_2007.113889	RZL499TXR	PB2	H1N1	Hominidae	0.2	0	0	0.4	0	0.4	Hominidae	TRUE
QPW247IXS_AHL89641_Hominidae_2007.077778	QPW247IXS	PB2	H1N1	Hominidae	0.2	0	0	0.5	0	0.3	Hominidae	TRUE
IBM122IZW_AHL89557_Hominidae_2006.241667	IBM122IZW	PB2	H1N1	Hominidae	0.2	0	0	0.5	0	0.3	Hominidae	TRUE
DBF068QBX_AGH99240_Hominidae_2004.877778	DBF068QBX	PB2	H1N1	Hominidae	0.2	0	0	0.5	0	0.3	Hominidae	TRUE
RSY160MFE_AGH99245_Hominidae_2005.047222	RSY160MFE	PB2	H1N1	Hominidae	0.2	0	0	0.5	0	0.3	Hominidae	TRUE
VZZ901WLN_AGH99237_Hominidae_2003	VZZ901WLN	PB2	H1N1	Hominidae	0.2	0	0	0.5	0	0.3	Hominidae	TRUE
GDB231YPE_AEX33868_Hominidae_2005.65	GDB231YPE	PB2	H1N1	Hominidae	0.2	0	0	0.5	0	0.3	Hominidae	TRUE
